NM0:vgs X,NM0:vgs Y,NM0:vds X,NM0:vds Y,NM0:vth X,NM0:vth Y,NM0:vdsat X,NM0:vdsat Y,NM0:gmoverid X,NM0:gmoverid Y,NM0:self_gain X,NM0:self_gain Y,NM0:gds X,NM0:gds Y,NM0:gm X,NM0:gm Y,NM0:cgs X,NM0:cgs Y,NM0:id X,NM0:id Y,NM0:csb X,NM0:csb Y,NM0:cgd X,NM0:cgd Y,NM0:cdb X,NM0:cdb Y
0.08000000000000002,0.08000000000000002,0.08000000000000002,0.2,0.08000000000000002,0.2753397149937514,0.08000000000000002,0.04362284366252202,0.08000000000000002,30.76964955151407,0.08000000000000002,62.02599010146199,0.08000000000000002,3.353523144094796e-08,0.08000000000000002,2.080055933406475e-06,0.08000000000000002,-2.957514952986878e-15,0.08000000000000002,6.760089797979474e-08,0.08000000000000002,-6.212493612000654e-15,0.08000000000000002,-2.900084927320138e-15,0.08000000000000002,-5.325915081238244e-15
0.08800000000000002,0.08800000000000002,0.08800000000000002,0.2,0.08800000000000002,0.2753397149937514,0.08800000000000002,0.0436699049998139,0.08800000000000002,30.59039165109401,0.08800000000000002,61.67440974333494,0.08800000000000002,4.285785104780953e-08,0.08800000000000002,2.643232666241422e-06,0.08800000000000002,-2.976795435875673e-15,0.08800000000000002,8.640728445550136e-08,0.08800000000000002,-6.215676908467044e-15,0.08800000000000002,-2.900109936881251e-15,0.08800000000000002,-5.325951453335013e-15
0.09600000000000003,0.09600000000000003,0.09600000000000003,0.2,0.09600000000000003,0.2753397149937514,0.09600000000000003,0.0437295044132361,0.09600000000000003,30.3949424583675,0.09600000000000003,61.29257186699953,0.09600000000000003,5.468786147935216e-08,0.09600000000000003,3.351959679975707e-06,0.09600000000000003,-3.001885931978024e-15,0.09600000000000003,1.102801787265631e-07,0.09600000000000003,-6.219770857751081e-15,0.09600000000000003,-2.90014230055475e-15,0.09600000000000003,-5.3259982534976e-15
0.104,0.104,0.104,0.2,0.104,0.2753397149937514,0.104,0.04380477423073574,0.104,30.18288440354389,0.104,60.8801694290354,0.104,6.966611947780674e-08,0.104,4.241285157272297e-06,0.104,-3.034490994023609e-15,0.104,1.405195443628347e-07,0.104,-6.225033271123777e-15,0.104,-2.900184174651795e-15,0.104,-5.326058449312583e-15
0.112,0.112,0.112,0.2,0.112,0.2753397149937514,0.112,0.04389954411375395,0.112,29.95404818225067,0.112,60.4374947634775,0.112,8.858479023654874e-08,0.112,5.353842796045167e-06,0.112,-3.07680951632953e-15,0.112,1.787352003338511e-07,0.112,-6.231793206658427e-15,0.112,-2.900238343784387e-15,0.112,-5.326135838714879e-15
0.1200000000000001,0.1200000000000001,0.1200000000000001,0.2,0.1200000000000001,0.2753397149937514,0.1200000000000001,0.04401846276718863,0.1200000000000001,29.70855974970112,0.1200000000000001,59.96554411021032,0.1200000000000001,1.124188626865171e-07,0.1200000000000001,6.741258269248017e-06,0.1200000000000001,-3.131673538638701e-15,0.1200000000000001,2.269129951976492e-07,0.1200000000000001,-6.240469490754933e-15,0.1200000000000001,-2.900308401265879e-15,0.1200000000000001,-5.326235272777978e-15
0.1280000000000001,0.1280000000000001,0.1280000000000001,0.2,0.1280000000000001,0.2753397149937514,0.1280000000000001,0.04416712812157433,0.1280000000000001,29.44687714930045,0.1280000000000001,59.46609907887554,0.1280000000000001,1.423630209461416e-07,0.1280000000000001,8.465773508751287e-06,0.1280000000000001,-3.202722376560279e-15,0.1280000000000001,2.874930836412839e-07,0.1280000000000001,-6.251593242155841e-15,0.1280000000000001,-2.900398979430091e-15,0.1280000000000001,-5.326362931546382e-15
0.1360000000000001,0.1360000000000001,0.1360000000000001,0.2,0.1360000000000001,0.2753397149937514,0.1360000000000001,0.0443522214561475,0.1360000000000001,29.16980873274828,0.1360000000000001,58.94176615702035,0.1360000000000001,1.798745251570254e-07,0.1360000000000001,1.060212219941047e-05,0.1360000000000001,-3.294617961222808e-15,0.1360000000000001,3.63462177726028e-07,0.1360000000000001,-6.265834664004309e-15,0.1360000000000001,-2.900516042309956e-15,0.1360000000000001,-5.326526660522038e-15
0.1440000000000001,0.1440000000000001,0.1440000000000001,0.2,0.1440000000000001,0.2753397149937514,0.1440000000000001,0.04458163875157642,0.1440000000000001,28.87850283736019,0.1440000000000001,58.39595174693017,0.1440000000000001,2.267228084235011e-07,0.1440000000000001,1.323969418062726e-05,0.1440000000000001,-3.413305347059708e-15,0.1440000000000001,4.584619314087362e-07,0.1440000000000001,-6.284033866901006e-15,0.1440000000000001,-2.900667255166562e-15,0.1440000000000001,-5.326736372344196e-15
0.1520000000000001,0.1520000000000001,0.1520000000000001,0.2,0.1520000000000001,0.2753397149937514,0.1520000000000001,0.04486461012554643,0.1520000000000001,28.5743984897383,0.1520000000000001,57.8327484748928,0.1520000000000001,2.850465490600635e-07,0.1520000000000001,1.648502537542684e-05,0.1520000000000001,-3.566317058138497e-15,0.1520000000000001,5.769159196005942e-07,0.1520000000000001,-6.307234488709807e-15,0.1520000000000001,-2.900862446867683e-15,0.1520000000000001,-5.327004510813323e-15
0.1600000000000001,0.1600000000000001,0.1600000000000001,0.2,0.1600000000000001,0.2753397149937514,0.1600000000000001,0.04521179571893696,0.1600000000000001,28.25912796780758,0.1600000000000001,57.25671020815108,0.1600000000000001,3.574190089098419e-07,0.1600000000000001,2.046463661603538e-05,0.1600000000000001,-3.763108515029649e-15,0.1600000000000001,7.241779238762467e-07,0.1600000000000001,-6.33671708065638e-15,0.1600000000000001,-2.901114181157843e-15,0.1600000000000001,-5.327346559625987e-15
0.1680000000000001,0.1680000000000001,0.1680000000000001,0.2,0.1680000000000001,0.2753397149937514,0.1680000000000001,0.04563534418261592,0.1680000000000001,27.93436588838304,0.1680000000000001,56.67250002592149,0.1680000000000001,4.469223998135474e-07,0.1680000000000001,2.532820971501816e-05,0.1680000000000001,-4.015390094074392e-15,0.1680000000000001,9.067043018765726e-07,0.1680000000000001,-6.374026244713605e-15,0.1680000000000001,-2.901438449837123e-15,0.1680000000000001,-5.327781551729965e-15
0.1760000000000001,0.1760000000000001,0.1760000000000001,0.2,0.1760000000000001,0.2753397149937514,0.1760000000000001,0.04614889838986936,0.1760000000000001,27.60162650898081,0.1760000000000001,56.08440869722222,0.1760000000000001,5.572318895370964e-07,0.1760000000000001,3.12520210319239e-05,0.1760000000000001,-4.337384381817825e-15,0.1760000000000001,1.132252877483678e-06,0.1760000000000001,-6.420980969982719e-15,0.1760000000000001,-2.901855492242444e-15,0.1760000000000001,-5.328332492292602e-15
0.1840000000000001,0.1840000000000001,0.1840000000000001,0.2,0.1840000000000001,0.2753397149937514,0.1840000000000001,0.04676753266551752,0.1840000000000001,27.26202117996455,0.1840000000000001,55.4957613879865,0.1840000000000001,6.927095068255506e-07,0.1840000000000001,3.844244150198056e-05,0.1840000000000001,-4.745881244523841e-15,0.1840000000000001,1.41010973670056e-06,0.1840000000000001,-6.479651513319083e-15,0.1840000000000001,-2.902390727685218e-15,0.1840000000000001,-5.329026546252449e-15
0.1920000000000001,0.1920000000000001,0.1920000000000001,0.2,0.1920000000000001,0.2753397149937514,0.1920000000000001,0.047507607182923,0.1920000000000001,26.91600038496634,0.1920000000000001,54.90825589432721,0.1920000000000001,8.585075778895663e-07,0.1920000000000001,4.713915377397935e-05,0.1920000000000001,-5.259892128238003e-15,0.1920000000000001,1.751343182706162e-06,0.1920000000000001,-6.552279530750216e-15,0.1920000000000001,-2.903075756728971e-15,0.1920000000000001,-5.329894765963319e-15
0.2000000000000001,0.2000000000000001,0.2000000000000001,0.2,0.2000000000000001,0.2753397149937514,0.2000000000000001,0.04838652863878147,0.2000000000000001,26.56311725940117,0.2000000000000001,54.32130274964608,0.2000000000000001,1.060680393367957e-06,0.2000000000000001,5.761754076875451e-05,0.2000000000000001,-5.899640342400375e-15,0.2000000000000001,2.169080541713624e-06,0.2000000000000001,-6.641114118649803e-15,0.2000000000000001,-2.903949341070885e-15,0.2000000000000001,-5.330971069897565e-15
0.2080000000000001,0.2080000000000001,0.2080000000000001,0.2,0.2080000000000001,0.2753397149937514,0.2080000000000001,0.04942241205297849,0.2080000000000001,26.20185829948256,0.2080000000000001,53.73145968314932,0.2080000000000001,1.306301638335256e-06,0.2080000000000001,7.018949381424273e-05,0.2080000000000001,-6.684617987534704e-15,0.2080000000000001,2.678798313378365e-06,0.2080000000000001,-6.7481410719124e-15,0.2080000000000001,-2.905058213715281e-15,0.2080000000000001,-5.332290183348345e-15
0.2160000000000001,0.2160000000000001,0.2160000000000001,0.2,0.2160000000000001,0.2753397149937514,0.2160000000000001,0.05063364639306558,0.2160000000000001,25.82958801276864,0.2160000000000001,53.13206235946771,0.2160000000000001,1.603583954621897e-06,0.2160000000000001,8.520172267561245e-05,0.2160000000000001,-7.630574295989907e-15,0.2160000000000001,3.29860943346063e-06,0.2160000000000001,-6.874704188378778e-15,0.2160000000000001,-2.906457515957329e-15,0.2160000000000001,-5.333884396270313e-15
0.2240000000000001,0.2240000000000001,0.2240000000000001,0.2,0.2240000000000001,0.2753397149937514,0.2240000000000001,0.05203837610316862,0.2240000000000001,25.4426441885957,0.2240000000000001,52.51314334153472,0.2240000000000001,1.961996278782897e-06,0.2240000000000001,0.000103030591823284,0.2240000000000001,-8.745647333613728e-15,0.2240000000000001,4.049523747028159e-06,0.2240000000000001,-7.021061043491892e-15,0.2240000000000001,-2.908210635529299e-15,0.2240000000000001,-5.33577934823946e-15
