NM0:vgs X,NM0:vgs Y,NM0:vds X,NM0:vds Y,NM0:vth X,NM0:vth Y,NM0:vdsat X,NM0:vdsat Y,NM0:gmoverid X,NM0:gmoverid Y,NM0:self_gain X,NM0:self_gain Y,NM0:gds X,NM0:gds Y,NM0:gm X,NM0:gm Y,NM0:cgs X,NM0:cgs Y,NM0:id X,NM0:id Y,NM0:csb X,NM0:csb Y,NM0:cgd X,NM0:cgd Y,NM0:cdb X,NM0:cdb Y
0,0,0,0.2,0,0.284921589583243,0,0.04353915114022612,0,31.32099882196638,0,56.25394902441445,0,3.0177244978265e-09,0,1.697589200704586e-07,0,-2.899529442606057e-15,0,5.419971692368355e-09,0,-6.20205658970071e-15,0,-2.900004274227072e-15,0,-5.325795936964229e-15
0.008,0.008,0.008,0.2,0.008,0.284921589583243,0.008,0.04354233492714819,0.008,31.26720090729657,0.008,56.15849295561488,0.008,3.87613716270314e-09,0.008,2.176780215466613e-07,0.008,-2.900198757832178e-15,0.008,6.961864898027286e-09,0.008,-6.202236208506065e-15,0.008,-2.900005508563865e-15,0.008,-5.325797986065822e-15
0.016,0.016,0.016,0.2,0.016,0.284921589583243,0.016,0.04354641538656509,0.016,31.20706555448961,0.016,56.05190298926312,0.016,4.976442550440641e-09,0.016,2.7893907506894e-07,0.016,-2.901171680927387e-15,0.016,8.93833101603285e-09,0.016,-6.202466467928565e-15,0.016,-2.9000070990237e-15,0.016,-5.325800612959139e-15
0.024,0.024,0.024,0.2,0.024,0.284921589583243,0.024,0.04355164115546907,0.024,31.13990358002344,0.024,55.93299906242789,0.024,6.385802673613983e-09,0.024,3.571770949561004e-07,0.024,-2.902535079368547e-15,0.024,1.147007732119365e-08,0.024,-6.202761623786624e-15,0.024,-2.900009148303082e-15,0.024,-5.325803980350701e-15
0.032,0.032,0.032,0.2,0.032,0.284921589583243,0.032,0.04355832808802108,0.032,31.06497609326291,0.032,55.80052571458915,0.032,8.189593950090055e-09,0.032,4.569836478040438e-07,0.032,-2.904401005801378e-15,0.032,1.47105748060716e-08,0.032,-6.203139935879886e-15,0.032,-2.90001178869348e-15,0.032,-5.325808296680142e-15
0.04,0.04,0.04,0.2,0.04,0.284921589583243,0.04,0.04356687666778685,0.04,30.98149821766817,0.04,55.6531620214588,0.04,1.049616285764347e-08,0.04,5.841446521200503e-07,0.04,-2.906913976293026e-15,0.04,1.885462913582412e-08,0.04,-6.203624787992255e-15,0.04,-2.900015190600545e-15,0.04,-5.325813828935168e-15
0.048,0.048,0.048,0.2,0.048,0.284921589583243,0.048,0.04357779359975585,0.048,30.88864545602161,0.048,55.48953696123876,0.048,1.34427471456172e-08,0.048,7.459318145973125e-07,0.048,-2.910260344589033e-15,0.048,2.414906223340579e-08,0.048,-6.204246118595137e-15,0.048,-2.900019573510502e-15,0.048,-5.325820919036133e-15
0.056,0.056,0.056,0.2,0.056,0.284921589583243,0.056,0.04359171844270164,0.056,30.78556332959443,0.056,55.30825145041602,0.056,1.720281802668176e-08,0.056,9.514577850754642e-07,0.056,-2.914680371343289e-15,0.056,3.090597309173814e-08,0.056,-6.205042246858641e-15,0.056,-2.900025220103614e-15,0.056,-5.325830004771867e-15
0.064,0.064,0.064,0.2,0.064,0.284921589583243,0.064,0.04360945625769912,0.064,30.67138095922188,0.064,55.10790835351023,0.064,2.199514338891376e-08,0.064,1.212106346098576e-06,0.064,-2.920483755330645e-15,0.064,3.951913200412598e-08,0.064,-6.206062200601581e-15,0.064,-2.900032494412784e-15,0.064,-5.32584164653036e-15
0.07200000000000001,0.07200000000000001,0.07200000000000001,0.2,0.07200000000000001,0.284921589583243,0.07200000000000001,0.04363201735092765,0.07200000000000001,30.5452292471534,0.07200000000000001,54.88715174428063,0.07200000000000001,2.809492053796829e-08,0.07200000000000001,1.542050166810972e-06,0.07200000000000001,-2.928069606563657e-15,0.07200000000000001,5.04841578068874e-08,0.07200000000000001,-6.20736867988733e-15,0.07200000000000001,-2.900041865178385e-15,0.07200000000000001,-5.325856561394204e-15
