NM0:vgs X,NM0:vgs Y,NM0:vds X,NM0:vds Y,NM0:vth X,NM0:vth Y,NM0:vdsat X,NM0:vdsat Y,NM0:gmoverid X,NM0:gmoverid Y,NM0:self_gain X,NM0:self_gain Y,NM0:gds X,NM0:gds Y,NM0:gm X,NM0:gm Y,NM0:cgs X,NM0:cgs Y,NM0:id X,NM0:id Y,NM0:cgd X,NM0:cgd Y,NM0:cdb X,NM0:cdb Y,NM0:csb X,NM0:csb Y
0,0,0,0.2,0,0.2567686427463655,0,0.04321169090976629,0,32.84284458969195,0,88.23896027327352,0,1.951270092407902e-09,0,1.721780441664076e-07,0,-2.903121678113943e-15,0,5.242482908378955e-09,0,-2.900014498381744e-15,0,-5.325809735256246e-15,0,-6.203266124524126e-15
0.008,0.008,0.008,0.2,0.008,0.2567686427463655,0.008,0.04321809884013223,0.008,32.75450553420389,0.008,88.00251732091458,0.008,2.536706213969615e-09,0.008,2.232365325329327e-07,0.008,-2.90571839748018e-15,0.008,6.815445268679004e-09,0.008,-2.900018951561129e-15,0.008,-5.325816091236312e-15,0.008,-6.203823230588628e-15
0.016,0.016,0.016,0.2,0.016,0.2567686427463655,0.016,0.04322639964878153,0.016,32.65545039541394,0.016,87.73754181116844,0.016,3.295311115750423e-09,0.016,2.891224967989608e-07,0.016,-2.909330312499579e-15,0.016,8.853728872646417e-09,0.016,-2.90002477166209e-15,0.016,-5.325824363850355e-15,0.016,-6.204548290382686e-15
0.024,0.024,0.024,0.2,0.024,0.2567686427463655,0.024,0.04323713908915018,0.024,32.54458467088086,0.024,87.44116496220219,0.024,4.277171324046207e-09,0.024,3.740008433175252e-07,0.024,-2.914268286970432e-15,0.024,1.149195340150862e-08,0.024,-2.900032377999589e-15,0.024,-5.325835130256522e-15,0.024,-6.205491851559649e-15
0.032,0.032,0.032,0.2,0.032,0.2567686427463655,0.032,0.04325101405490901,0.032,32.42077148923585,0.032,87.1104228778249,0.032,5.546351186586125e-09,0.032,4.831449972924433e-07,0.032,-2.920938929455691e-15,0.032,1.49023290398004e-08,0.032,-2.90004231838786e-15,0.032,-5.325849141005326e-15,0.032,-6.206719627586987e-15
0.04,0.04,0.04,0.2,0.04,0.2567686427463655,0.04,0.04326891160246443,0.04,32.28285156083544,0.04,86.74231445295605,0.04,7.184573257286545e-09,0.04,6.232065126938482e-07,0.04,-2.929873967921657e-15,0.04,1.930456851537102e-08,0.04,-2.900055308445837e-15,0.04,-5.325867371890939e-15,0.04,-6.208317018964156e-15
0.048,0.048,0.048,0.2,0.048,0.2567686427463655,0.048,0.04329195677976906,0.048,32.1296702132815,0.048,86.33387904384725,0.048,9.295776935743867e-09,0.048,8.02540481589096e-07,0.048,-2.941768575100108e-15,0.048,2.497817386116058e-08,0.048,-2.900072282878823e-15,0.048,-5.325891091152927e-15,0.048,-6.210394963133719e-15
0.056,0.056,0.056,0.2,0.056,0.2567686427463655,0.056,0.04332157068942454,0.056,31.96011241214879,0.056,85.88229632532453,0.056,1.20117303052186e-08,0.056,1.031594981452665e-06,0.056,-2.957531328074942e-15,0.056,3.227757697507547e-08,0.056,-2.900094462354027e-15,0.056,-5.325921946466843e-15,0.056,-6.213097490344647e-15
0.064,0.064,0.064,0.2,0.064,0.2567686427463655,0.064,0.0433595401946068,0.064,31.77314632255875,0.064,85.38500976256644,0.064,1.549889332027541e-08,0.064,1.323373157460692e-06,0.064,-2.978349256844569e-15,0.064,4.165068045345958e-08,0.064,-2.900123440657924e-15,0.064,-5.325962077369968e-15,0.064,-6.216611460437283e-15
0.07200000000000001,0.07200000000000001,0.07200000000000001,0.2,0.07200000000000001,0.2567686427463655,0.07200000000000001,0.04340810051941326,0.07200000000000001,31.56787535064499,0.07200000000000001,84.83987336397875,0.07200000000000001,1.9966753752561e-08,0.07200000000000001,1.693976859857023e-06,0.07200000000000001,-3.005772402550162e-15,0.07200000000000001,5.366141522090964e-08,0.07200000000000001,-2.900161298194357e-15,0.07200000000000001,-5.326014260249245e-15,0.07200000000000001,-6.221179071550373e-15
0.08000000000000002,0.08000000000000002,0.08000000000000002,0.2,0.08000000000000002,0.2567686427463655,0.08000000000000002,0.04347003164003862,0.08000000000000002,31.34359763540677,0.08000000000000002,84.24531862911913,0.08000000000000002,2.567788035064305e-08,0.08000000000000002,2.163241211860321e-06,0.08000000000000002,-3.041823492056986e-15,0.08000000000000002,6.901700449162693e-08,0.08000000000000002,-2.900210749625542e-15,0.08000000000000002,-5.3260820947889e-15,0.08000000000000002,-6.227113863828698e-15
0.08800000000000002,0.08800000000000002,0.08800000000000002,0.2,0.08800000000000002,0.2567686427463655,0.08800000000000002,0.0435487687397942,0.08800000000000002,31.09987057253152,0.08800000000000002,83.60053466654836,0.08800000000000002,3.295996082574167e-08,0.08800000000000002,2.755470347620493e-06,0.08800000000000002,-3.089139745740499e-15,0.08800000000000002,8.860070166744218e-08,0.08800000000000002,-2.900275335652922e-15,0.08800000000000002,-5.326170242810141e-15,0.08800000000000002,-6.234821080913501e-15
0.09600000000000003,0.09600000000000003,0.09600000000000003,0.2,0.09600000000000003,0.2567686427463655,0.09600000000000003,0.04364852603663393,0.09600000000000003,30.83657611282991,0.09600000000000003,82.90564924048626,0.09600000000000003,4.222011677945096e-08,0.09600000000000003,3.50028619260953e-06,0.09600000000000003,-3.151155420895905e-15,0.09600000000000003,1.135108575808275e-07,0.09600000000000003,-2.900359671658162e-15,0.09600000000000003,-5.326284732618984e-15,0.09600000000000003,-6.24482337913045e-15
0.104,0.104,0.104,0.2,0.104,0.2567686427463655,0.104,0.04377443192213521,0.104,30.55398033881093,0.104,82.16189213554486,0.104,5.396181593543462e-08,0.104,4.433604900325305e-06,0.104,-3.232335289848479e-15,0.104,1.451072776087822e-07,0.104,-2.900469769231252e-15,0.104,-5.326433344019743e-15,0.104,-6.257792947098952e-15
0.112,0.112,0.112,0.2,0.112,0.2567686427463655,0.112,0.0439326715379617,0.112,30.25277836656249,0.112,81.37171518918818,0.112,6.880473743410831e-08,0.112,5.598759498155137e-06,0.112,-3.338470460127774e-15,0.112,1.850659611161046e-07,0.112,-2.900613450493245e-15,0.112,-5.326626090429927e-15,0.112,-6.274591037189278e-15
0.1200000000000001,0.1200000000000001,0.1200000000000001,0.2,0.1200000000000001,0.2567686427463655,0.1200000000000001,0.04413063067155337,0.1200000000000001,29.93411332171291,0.1200000000000001,80.53883663374275,0.1200000000000001,8.750799205170766e-08,0.1200000000000001,7.047791875999341e-06,0.1200000000000001,-3.477047910615225e-15,0.1200000000000001,2.354434823864319e-07,0.1200000000000001,-2.900800879423075e-15,0.1200000000000001,-5.326875813840512e-15,0.1200000000000001,-6.296315570473094e-15
0.1280000000000001,0.1280000000000001,0.1280000000000001,0.2,0.1280000000000001,0.2567686427463655,0.1280000000000001,0.04437703226758134,0.1280000000000001,29.5995566118383,0.1280000000000001,79.66817266383043,0.1280000000000001,1.109971577039185e-07,0.1280000000000001,8.842940725150194e-06,0.1280000000000001,-3.657702158024508e-15,0.1280000000000001,2.987524728040816e-07,0.1280000000000001,-2.901045238680706e-15,0.1280000000000001,-5.327198903496239e-15,0.1280000000000001,-6.324356609697768e-15
