NM0:vgs X,NM0:vgs Y,NM0:vds X,NM0:vds Y,NM0:vth X,NM0:vth Y,NM0:vdsat X,NM0:vdsat Y,NM0:gmoverid X,NM0:gmoverid Y,NM0:gds X,NM0:gds Y,NM0:gm X,NM0:gm Y,NM0:cgs X,NM0:cgs Y,NM0:id X,NM0:id Y,NM0:csb X,NM0:csb Y,NM0:cgd X,NM0:cgd Y,NM0:cdb X,NM0:cdb Y,NM0:self_gain X,NM0:self_gain Y
0.08800000000000002,0.08800000000000002,0.08800000000000002,0.2,0.08800000000000002,0.2337845729304348,0.08800000000000002,0.04330562645429667,0.08800000000000002,31.37878891017128,0.08800000000000002,1.195573073956743e-08,0.08800000000000002,1.937935955132333e-06,0.08800000000000002,-3.789785377137675e-15,0.08800000000000002,6.175942505665771e-08,0.08800000000000002,-6.354250554379242e-15,0.08800000000000002,-2.901377431897862e-15,0.08800000000000002,-5.327536991572328e-15,0.08800000000000002,162.092639701122
0.09600000000000003,0.09600000000000003,0.09600000000000003,0.2,0.09600000000000003,0.2337845729304348,0.09600000000000003,0.04349522977410916,0.09600000000000003,31.01097551266873,0.09600000000000003,1.535189745587977e-08,0.09600000000000003,2.458139757108e-06,0.09600000000000003,-4.086674096249907e-15,0.09600000000000003,7.926676679218246e-08,0.09600000000000003,-6.402263746349142e-15,0.09600000000000003,-2.901819716848068e-15,0.09600000000000003,-5.328088350680478e-15,0.09600000000000003,160.1196050307471
0.104,0.104,0.104,0.2,0.104,0.2337845729304348,0.104,0.04373301071019774,0.104,30.62425145414486,0.104,1.965570715173839e-08,0.104,3.106226219277215e-06,0.104,-4.478649298275057e-15,0.104,1.01430274326726e-07,0.104,-6.465093240387063e-15,0.104,-2.902403299333567e-15,0.104,-5.328811403774626e-15,0.104,158.0317713983897
0.112,0.112,0.112,0.2,0.112,0.2337845729304348,0.112,0.04402941322135139,0.112,30.2211801778613,0.112,2.509036303726572e-08,0.112,3.910053029802118e-06,0.112,-4.995187471605991e-15,0.112,1.293812158714012e-07,0.112,-6.547114440109383e-15,0.112,-2.903172791905092e-15,0.112,-5.329757995227659e-15,0.112,155.8388383617516
0.1200000000000001,0.1200000000000001,0.1200000000000001,0.2,0.1200000000000001,0.2337845729304348,0.1200000000000001,0.04439649186757665,0.1200000000000001,29.80469671945371,0.1200000000000001,3.192860822522453e-08,0.1200000000000001,4.902695916312742e-06,0.1200000000000001,-5.674219434569863e-15,0.1200000000000001,1.644940718252286e-07,0.1200000000000001,-6.653848088935451e-15,0.1200000000000001,-2.904186490516949e-15,0.1200000000000001,-5.33099439302446e-15,0.1200000000000001,153.5518204153813
0.1280000000000001,0.1280000000000001,0.1280000000000001,0.2,0.1280000000000001,0.2337845729304348,0.1280000000000001,0.04484794470631148,0.1280000000000001,29.37787646158402,0.1280000000000001,4.050273683075821e-08,0.1280000000000001,6.123275656556292e-06,0.1280000000000001,-6.563957496360872e-15,0.1280000000000001,2.084315274133345e-07,0.1280000000000001,-6.792148889266755e-15,0.1280000000000001,-2.905520258125602e-15,0.1280000000000001,-5.3326043503426e-15,0.1280000000000001,151.1817752499681
0.1360000000000001,0.1360000000000001,0.1360000000000001,0.2,0.1360000000000001,0.2337845729304348,0.1360000000000001,0.04539907524941162,0.1360000000000001,28.94362974466522,0.1360000000000001,5.121657987449663e-08,0.1360000000000001,7.617859162220388e-06,0.1360000000000001,-7.724580395046487e-15,0.1360000000000001,2.631964005834629e-07,0.1360000000000001,-6.970336452741571e-15,0.1360000000000001,-2.907272263571763e-15,0.1360000000000001,-5.334692062242985e-15,0.1360000000000001,148.7381465316022
0.1440000000000001,0.1440000000000001,0.1440000000000001,0.2,0.1440000000000001,0.2337845729304348,0.1440000000000001,0.04606666805921034,0.1440000000000001,28.50434701402267,0.1440000000000001,6.455982784379741e-08,0.1440000000000001,9.440380583965873e-06,0.1440000000000001,-9.229211764493906e-15,0.1440000000000001,3.31190908727731e-07,0.1440000000000001,-7.198183959238332e-15,0.1440000000000001,-2.909568567455006e-15,0.1440000000000001,-5.33738431796459e-15,0.1440000000000001,146.2268549849124
0.1520000000000001,0.1520000000000001,0.1520000000000001,0.2,0.1520000000000001,0.2337845729304348,0.1520000000000001,0.04686876665305049,0.1520000000000001,28.06153734704964,0.1520000000000001,8.112505028533614e-08,0.1520000000000001,1.165348122299238e-05,0.1520000000000001,-1.116320933623747e-14,0.1520000000000001,4.152830646827921e-07,0.1520000000000001,-7.486633988739129e-15,0.1520000000000001,-2.912569370724671e-15,0.1520000000000001,-5.340830668952449e-15,0.1520000000000001,143.6483697945863
0.1600000000000001,0.1600000000000001,0.1600000000000001,0.2,0.1600000000000001,0.2337845729304348,0.1600000000000001,0.04782434879741929,0.1600000000000001,27.61551803322609,0.1600000000000001,1.016277330900393e-07,0.1600000000000001,1.432911134913483e-05,0.1600000000000001,-1.362030920530399e-14,0.1600000000000001,5.188789628352066e-07,0.1600000000000001,-7.847070116535881e-15,0.1600000000000001,-2.916475449837301e-15,0.1600000000000001,-5.345199912046965e-15,0.1600000000000001,140.9960737433713
