PM0:vgs X,PM0:vgs Y,PM0:vds X,PM0:vds Y,PM0:vth X,PM0:vth Y,PM0:vdsat X,PM0:vdsat Y,PM0:gmoverid X,PM0:gmoverid Y,PM0:self_gain X,PM0:self_gain Y,PM0:gds X,PM0:gds Y,PM0:gm X,PM0:gm Y,PM0:cgs X,PM0:cgs Y,PM0:id X,PM0:id Y,PM0:csb X,PM0:csb Y,PM0:cgd X,PM0:cgd Y,PM0:cdb X,PM0:cdb Y
0.08000000000000002,-0.08000000000000007,0.08000000000000002,-0.2,0.08000000000000002,-0.2621414054296405,0.08000000000000002,-0.0387949854243291,0.08000000000000002,30.25830911428964,0.08000000000000002,234.2413219382836,0.08000000000000002,1.473728196841418e-09,0.08000000000000002,3.452080410058569e-07,0.08000000000000002,-3.15014416931058e-15,0.08000000000000002,-1.14087023366686e-08,0.08000000000000002,-8.845110277578142e-15,0.08000000000000002,-3.10005631025296e-15,0.08000000000000002,-7.995366637386839e-15
0.08800000000000002,-0.08800000000000008,0.08800000000000002,-0.2,0.08800000000000002,-0.2621414054296405,0.08800000000000002,-0.03886137332241079,0.08800000000000002,30.05326393264888,0.08800000000000002,232.7303736001519,0.08800000000000002,1.875216216492787e-09,0.08800000000000002,4.364197706454298e-07,0.08800000000000002,-3.16979812789567e-15,0.08800000000000002,-1.452154323428634e-08,0.08800000000000002,-8.849576325214011e-15,0.08800000000000002,-3.100072744530488e-15,0.08800000000000002,-7.995417632232459e-15
0.09600000000000003,-0.09600000000000009,0.09600000000000003,-0.2,0.09600000000000003,-0.2621414054296405,0.09600000000000003,-0.03894489531943698,0.09600000000000003,29.83236279094109,0.09600000000000003,231.0897449674202,0.09600000000000003,2.382079816419928e-09,0.09600000000000003,5.504742172685202e-07,0.09600000000000003,-3.195393035826276e-15,0.09600000000000003,-1.84522500615717e-08,0.09600000000000003,-8.855321953568536e-15,0.09600000000000003,-3.100093971782086e-15,0.09600000000000003,-7.995483257098894e-15
0.104,-0.1040000000000001,0.104,-0.2,0.104,-0.2621414054296405,0.104,-0.03904963015007629,0.104,29.59582762617894,0.104,229.3169428598839,0.104,3.020546144129126e-09,0.104,6.926624075389015e-07,0.104,-3.228655297624216e-15,0.104,-2.340405604324789e-08,0.104,-8.862710814892855e-15,0.104,-3.100121387965343e-15,0.104,-7.99556768262425e-15
0.112,-0.1120000000000001,0.112,-0.2,0.112,-0.2621414054296405,0.112,-0.03918049309670957,0.112,29.34422034619001,0.112,227.4111585638273,0.112,3.822922774191142e-09,0.112,8.693752971788483e-07,0.112,-3.271806483621974e-15,0.112,-2.962679831958188e-08,0.112,-8.872208028273762e-15,0.112,-3.100156794479009e-15,0.112,-7.995676251684413e-15
0.1200000000000001,-0.1200000000000001,0.1200000000000001,-0.2,0.1200000000000001,-0.2621414054296405,0.1200000000000001,-0.03934335758132183,0.1200000000000001,29.07846335557564,0.1200000000000001,225.3733356654745,0.1200000000000001,4.82889939315814e-09,0.1200000000000001,1.088305163829036e-06,0.1200000000000001,-3.327700744269426e-15,0.1200000000000001,-3.742650192262091e-08,0.1200000000000001,-8.884407268440317e-15,0.1200000000000001,-3.100202515211054e-15,0.1200000000000001,-7.995815798073205e-15
0.1280000000000001,-0.1280000000000001,0.1280000000000001,-0.2,0.1280000000000001,-0.2621414054296405,0.1280000000000001,-0.03954517652137169,0.1280000000000001,28.79983263496841,0.1280000000000001,223.2060437944827,0.1280000000000001,6.087117001205465e-09,0.1280000000000001,1.358681303953208e-06,0.1280000000000001,-3.399997250536431e-15,0.1280000000000001,-4.717670835179075e-08,0.1280000000000001,-8.900064279830363e-15,0.1280000000000001,-3.100261546927141e-15,0.1280000000000001,-7.995995044715426e-15
0.1360000000000001,-0.1360000000000001,0.1360000000000001,-0.2,0.1360000000000001,-0.2621414054296405,0.1360000000000001,-0.03979409620319114,0.1360000000000001,28.5099129442734,0.1360000000000001,220.9130844971591,0.1360000000000001,7.657064627954227e-09,0.1360000000000001,1.691545765155461e-06,0.1360000000000001,-3.493374423659597e-15,0.1360000000000001,-5.93318460600135e-08,0.1360000000000001,-8.920137793494701e-15,0.1360000000000001,-3.100337752208149e-15,0.1360000000000001,-7.996225096491729e-15
0.1440000000000001,-0.1440000000000001,0.1440000000000001,-0.2,0.1440000000000001,-0.2621414054296405,0.1440000000000001,-0.04009955335625728,0.1440000000000001,28.2105056414693,0.1440000000000001,218.4987618261026,0.1440000000000001,9.611378194820106e-09,0.1440000000000001,2.100074235010594e-06,0.1440000000000001,-3.61379240684907e-15,0.1440000000000001,-7.444298455796708e-08,0.1440000000000001,-8.945838570047982e-15,0.1440000000000001,-3.100436106503629e-15,0.1440000000000001,-7.996520042218019e-15
0.1520000000000001,-0.1520000000000001,0.1520000000000001,-0.2,0.1520000000000001,-0.2621414054296405,0.1520000000000001,-0.04047234421277456,0.1520000000000001,27.90348291815052,0.1520000000000001,215.9667745798191,0.1520000000000001,1.203863225652781e-08,0.1520000000000001,2.59994457879488e-06,0.1520000000000001,-3.76880838257396e-15,0.1520000000000001,-9.317634602253898e-08,0.1520000000000001,-8.978686656624622e-15,0.1520000000000001,-3.100563013708003e-15,0.1520000000000001,-7.996897676745279e-15
0.1600000000000001,-0.1600000000000001,0.1600000000000001,-0.2,0.1600000000000001,-0.2621414054296405,0.1600000000000001,-0.0409246529345454,0.1600000000000001,27.59058859757639,0.1600000000000001,213.3187348027167,0.1600000000000001,1.504673124839612e-08,0.1600000000000001,3.209749672824361e-06,0.1600000000000001,-3.967944663837526e-15,0.1600000000000001,-1.163349474145625e-07,0.1600000000000001,-9.020575669068148e-15,0.1600000000000001,-3.100726707997478e-15,0.1600000000000001,-7.997380345139485e-15
0.1680000000000001,-0.1680000000000001,0.1680000000000001,-0.2,0.1680000000000001,-0.2621414054296405,0.1680000000000001,-0.04147002626911898,0.1680000000000001,27.27319518424686,0.1680000000000001,210.55238995988,0.1680000000000001,1.876702005380047e-08,0.1680000000000001,3.951440924752685e-06,0.1680000000000001,-4.22309994877575e-15,0.1680000000000001,-1.448836815364134e-07,0.1680000000000001,-9.07384061408124e-15,0.1680000000000001,-3.100937763409945e-15,0.1680000000000001,-7.997995892838142e-15
0.1760000000000001,-0.1760000000000002,0.1760000000000001,-0.2,0.1760000000000001,-0.2621414054296405,0.1760000000000001,-0.0421232820539672,0.1760000000000001,26.95203886560951,0.1760000000000001,207.6597189462491,0.1760000000000001,2.335924123588203e-08,0.1760000000000001,4.850773469840895e-06,0.1760000000000001,-4.548976717418657e-15,0.1760000000000001,-1.799779784683807e-07,0.1760000000000001,-9.141321949726431e-15,0.1760000000000001,-3.101209736544939e-15,0.1760000000000001,-7.998778673461425e-15
0.1840000000000001,-0.1840000000000002,0.1840000000000001,-0.2,0.1840000000000001,-0.2621414054296405,0.1840000000000001,-0.04290034154740655,0.1840000000000001,26.62696668195766,0.1840000000000001,204.6251697187272,0.1840000000000001,2.901746563770632e-08,0.1840000000000001,5.93770383092299e-06,0.1840000000000001,-4.963468493950056e-15,0.1840000000000001,-2.229958786754906e-07,0.1840000000000001,-9.226412689426824e-15,0.1840000000000001,-3.101559971163699e-15,0.1840000000000001,-7.999770513256534e-15
0.1920000000000001,-0.1920000000000002,0.1920000000000001,-0.2,0.1920000000000001,-0.2621414054296405,0.1920000000000001,-0.04381797969510028,0.1920000000000001,26.29673986869001,0.1920000000000001,201.424383493495,0.1920000000000001,3.597711361512325e-08,0.1920000000000001,7.246667929801623e-06,0.1920000000000001,-5.487905390649927e-15,0.1920000000000001,-2.755728644219987e-07,0.1920000000000001,-9.333066996718775e-15,0.1920000000000001,-3.102010594985456e-15,0.1920000000000001,-8.001021451949755e-15
0.2000000000000001,-0.2000000000000002,0.2000000000000001,-0.2,0.2000000000000001,-0.2621414054296405,0.2000000000000001,-0.04489349325926933,0.2000000000000001,25.95894046676906,0.2000000000000001,198.0237756032768,0.2000000000000001,4.452316897660208e-08,0.2000000000000001,8.816646022569427e-06,0.2000000000000001,-6.146992993841187e-15,0.2000000000000001,-3.39638131017691e-07,0.2000000000000001,-9.465738212768544e-15,0.2000000000000001,-3.102589735786689e-15,0.2000000000000001,-8.002589972569872e-15
0.2080000000000001,-0.2080000000000002,0.2080000000000001,-0.2,0.2080000000000001,-0.2621414054296405,0.2080000000000001,-0.04614429385194992,0.2080000000000001,25.61002118461753,0.2080000000000001,194.3812881701339,0.2080000000000001,5.49996751936609e-08,0.2080000000000001,1.069090771308276e-05,0.2080000000000001,-6.968204036058478e-15,0.2080000000000001,-4.174501706487241e-07,0.2080000000000001,-9.629203631401779e-15,0.2080000000000001,-3.103332970742074e-15,0.2080000000000001,-8.004542309324991e-15
0.2160000000000001,-0.2160000000000002,0.2160000000000001,-0.2,0.2160000000000001,-0.2621414054296405,0.2160000000000001,-0.04758744062025252,0.2160000000000001,25.24551976826506,0.2160000000000001,190.4484833031477,0.2160000000000001,6.782060831434218e-08,0.2160000000000001,1.291633199016331e-05,0.2160000000000001,-7.980317653981356e-15,0.2160000000000001,-5.116286814241931e-07,0.2160000000000001,-9.82822775715913e-15,0.2160000000000001,-3.104284990968867e-15,0.2160000000000001,-8.006950321731528e-15
0.2240000000000001,-0.2240000000000002,0.2240000000000001,-0.2,0.2240000000000001,-0.2621414054296405,0.2240000000000001,-0.04923913468140243,0.2240000000000001,24.86043090446469,0.2240000000000001,186.1739240335567,0.2240000000000001,8.348226364226122e-08,0.2240000000000001,1.554222060948369e-05,0.2240000000000001,-9.210799321434751e-15,0.2240000000000001,-6.251790513986496e-07,0.2240000000000001,-1.006702473590532e-14,0.2240000000000001,-3.105501400209775e-15,0.2240000000000001,-8.009887425446212e-15
0.2320000000000002,-0.2320000000000002,0.2320000000000002,-0.2,0.2320000000000002,-0.2621414054296405,0.2320000000000002,-0.05111420334721294,0.2320000000000002,24.44969689324342,0.2320000000000002,181.5075403281573,0.2320000000000002,1.025773972116788e-07,0.2320000000000002,1.86185710611562e-05,0.2320000000000002,-1.06818583680071e-14,0.2320000000000002,-7.61505189335108e-07,0.2320000000000002,-1.034851683230429e-14,0.2320000000000002,-3.107050461397547e-15,0.2320000000000002,-8.01342229682572e-15
0.2400000000000002,-0.2400000000000002,0.2400000000000002,-0.2,0.2400000000000002,-0.2621414054296405,0.2400000000000002,-0.05322560574398512,0.2400000000000002,24.00875140198334,0.2400000000000002,176.4054648548761,0.2400000000000002,1.258115510725639e-07,0.2400000000000002,2.219384515106862e-05,0.2400000000000002,-1.240539280942231e-14,0.2400000000000002,-9.244064707980346e-07,0.2400000000000002,-1.067345856171512e-14,0.2400000000000002,-3.109014460719857e-15,0.2400000000000002,-8.017610634656373e-15
0.2480000000000002,-0.2480000000000002,0.2480000000000002,-0.2,0.2480000000000002,-0.2621414054296405,0.2480000000000002,-0.05558399193658928,0.2480000000000002,23.53403659878327,0.2480000000000002,170.8347097000599,0.2480000000000002,1.540222804548713e-07,0.2480000000000002,2.631235156884914e-05,0.2480000000000002,-1.437763583025887e-14,0.2480000000000002,-1.118055181868023e-06,0.2480000000000002,-1.103959760388777e-14,0.2480000000000002,-3.111490215363717e-15,0.2480000000000002,-8.022486163918431e-15
0.2560000000000002,-0.2560000000000002,0.2560000000000002,-0.2,0.2560000000000002,-0.2621414054296405,0.2560000000000002,-0.05819734484409303,0.2560000000000002,23.02341737953166,0.2560000000000002,164.7770750685232,0.2560000000000002,1.882023987037117e-07,0.2560000000000002,3.101144077927764e-05,0.2560000000000002,-1.657496773231652e-14,0.2560000000000002,-1.346952117000871e-06,0.2560000000000002,-1.144113467681757e-14,0.2560000000000002,-3.114588200445229e-15,0.2560000000000002,-8.028053033178262e-15
0.2640000000000002,-0.2640000000000002,0.2640000000000002,-0.2,0.2640000000000002,-0.2621414054296405,0.2640000000000002,-0.06107072832561072,0.2640000000000002,22.4764363534163,0.2640000000000002,158.231826620336,0.2640000000000002,2.295288595468698e-07,0.2640000000000002,3.631877070818374e-05,0.2640000000000002,-1.895264844610716e-14,0.2640000000000002,-1.615859833728694e-06,0.2640000000000002,-1.18687577015158e-14,0.2640000000000002,-3.11842993361447e-15,0.2640000000000002,-8.034282228730302e-15
0.2720000000000002,-0.2720000000000002,0.2720000000000002,-0.2,0.2720000000000002,-0.2621414054296405,0.2720000000000002,-0.06420615651875843,0.2720000000000002,21.89438379473392,0.2720000000000002,151.2169041310486,0.2720000000000002,2.793994943573265e-07,0.2720000000000002,4.224992655249528e-05,0.2720000000000002,-2.144773723993833e-14,0.2720000000000002,-1.929715261650858e-06,0.2720000000000002,-1.231040423698695e-14,0.2720000000000002,-3.123143693992303e-15,0.2720000000000002,-8.041114023904665e-15
0.2800000000000002,-0.2800000000000002,0.2800000000000002,-0.2,0.2800000000000002,-0.2621414054296405,0.2800000000000002,-0.06760258986771765,0.2800000000000002,21.28018935298815,0.2800000000000002,143.768666333648,0.2800000000000002,3.394804997129383e-07,0.2800000000000002,4.880665869000949e-05,0.2800000000000002,-2.398614795367325e-14,0.2800000000000002,-2.293525582928237e-06,0.2800000000000002,-1.275266510454162e-14,0.2800000000000002,-3.12885925786593e-15,0.2800000000000002,-8.048466713190688e-15
0.2880000000000002,-0.2880000000000003,0.2880000000000002,-0.2,0.2880000000000002,-0.2621414054296405,0.2880000000000002,-0.07125605347512728,0.2880000000000002,20.63816898000714,0.2880000000000002,135.9403759449545,0.2880000000000002,4.117683154672814e-07,0.2880000000000002,5.597593960684285e-05,0.2880000000000002,-2.649220137343688e-14,0.2880000000000002,-2.712253187851867e-06,0.2880000000000002,-1.318249127796594e-14,0.2880000000000002,-3.135702820113734e-15,0.2880000000000002,-8.056249668119347e-15
0.2960000000000002,-0.2960000000000003,0.2960000000000002,-0.2,0.2960000000000002,-0.2621414054296405,0.2960000000000002,-0.0751598645953732,0.2960000000000002,19.97367637461327,0.2960000000000002,127.7997488204479,0.2960000000000002,4.986703403518296e-07,0.2960000000000002,6.372994424117111e-05,0.2960000000000002,-2.889807267398658e-14,0.2960000000000002,-3.190696747382967e-06,0.2960000000000002,-1.358874867983909e-14,0.2960000000000002,-3.143793339335871e-15,0.2960000000000002,-8.064377271734363e-15
0.3040000000000002,-0.3040000000000003,0.3040000000000002,-0.2,0.3040000000000002,-0.2621414054296405,0.3040000000000002,-0.07930494917367302,0.3040000000000002,19.29271223594294,0.3040000000000002,119.4259244968637,0.3040000000000002,6.031098015608002e-07,0.3040000000000002,7.202694562451854e-05,0.3040000000000002,-3.115074146142663e-14,0.3040000000000002,-3.733375833538712e-06,0.3040000000000002,-1.39632486451253e-14,0.3040000000000002,-3.153241121036327e-15,0.3040000000000002,-8.072780320484987e-15
0.3120000000000002,-0.3120000000000003,0.3120000000000002,-0.2,0.3120000000000002,-0.2621414054296405,0.3120000000000002,-0.08368022290016683,0.3120000000000002,18.6015388939894,0.3120000000000002,110.9061781445215,0.3120000000000002,7.286610247100699e-07,0.3120000000000002,8.081300941346458e-05,0.3120000000000002,-3.321522026297263e-14,0.3120000000000002,-4.344426010910544e-06,0.3120000000000002,-1.430110491005178e-14,0.3120000000000002,-3.164148758083971e-15,0.3120000000000002,-8.081412843123305e-15
0.3200000000000002,-0.3200000000000003,0.3200000000000002,-0.2,0.3200000000000002,-0.2621414054296405,0.3200000000000002,-0.08827301047583334,0.3200000000000002,17.90633622170732,0.3200000000000002,102.3326147559606,0.3200000000000002,8.797223165312891e-07,0.3200000000000002,9.002428490981761e-05,0.3200000000000002,-3.507422156220918e-14,0.3200000000000002,-5.02751002749577e-06,0.3200000000000002,-1.460049896723723e-14,0.3200000000000002,-3.176613929781969e-15,0.3200000000000002,-8.090254078157027e-15
0.3280000000000002,-0.3280000000000003,0.3280000000000002,-0.2,0.3280000000000002,-0.2621414054296405,0.3280000000000002,-0.09306947750201915,0.3280000000000002,17.21292101140189,0.3280000000000002,93.79899546316541,0.3280000000000002,1.06173459536412e-06,0.3280000000000002,9.958963849364488e-05,0.3280000000000002,-3.672535209650244e-14,0.3280000000000002,-5.785748881795407e-06,0.3280000000000002,-1.486207147398532e-14,0.3280000000000002,-3.190733255483426e-15,0.3280000000000002,-8.099306692135767e-15
0.3360000000000002,-0.3360000000000003,0.3360000000000002,-0.2,0.3360000000000002,-0.2621414054296405,0.3360000000000002,-0.09805505215072691,0.3360000000000002,16.52653922002353,0.3360000000000002,85.39776749381859,0.3360000000000002,1.281454602620158e-06,0.3360000000000002,0.0001094333622084399,0.3360000000000002,-3.817717494953373e-14,0.3360000000000002,-6.621674432378238e-06,0.3360000000000002,-1.508817611533876e-14,0.3360000000000002,-3.206606424166357e-15,0.3360000000000002,-8.108592846841203e-15
0.3440000000000003,-0.3440000000000003,0.3440000000000003,-0.2,0.3440000000000003,-0.2621414054296405,0.3440000000000003,-0.1032148179287813,0.3440000000000003,15.85173040786402,0.3440000000000003,77.21731837045863,0.3440000000000003,1.547291654340024e-06,0.3440000000000003,0.0001194777122851272,0.3440000000000003,-3.944523147184109e-14,0.3440000000000003,-7.537203145110313e-06,0.3440000000000003,-1.528217371903775e-14,0.3440000000000003,-3.224340046822427e-15,0.3440000000000003,-8.118149577172304e-15
0.3520000000000003,-0.3520000000000003,0.3520000000000003,-0.2,0.3520000000000003,-0.2621414054296405,0.3520000000000003,-0.1085338637456897,0.3520000000000003,15.19225693091428,0.3520000000000003,69.3394565919012,0.3520000000000003,1.869715852105778e-06,0.3520000000000003,0.0001296450811662782,0.3520000000000003,-4.054867375237538e-14,0.3520000000000003,-8.533628792369485e-06,0.3520000000000003,-1.544786269706114e-14,0.3520000000000003,-3.244050949328319e-15,0.3520000000000003,-8.128024473400533e-15
