PM0:vgs X,PM0:vgs Y,PM0:vds X,PM0:vds Y,PM0:vth X,PM0:vth Y,PM0:vdsat X,PM0:vdsat Y,PM0:gmoverid X,PM0:gmoverid Y,PM0:self_gain X,PM0:self_gain Y,PM0:gm X,PM0:gm Y,PM0:cgs X,PM0:cgs Y,PM0:id X,PM0:id Y,PM0:csb X,PM0:csb Y,PM0:cgd X,PM0:cgd Y,PM0:cdb X,PM0:cdb Y,PM0:gds X,PM0:gds Y
0.3200000000000002,-0.3200000000000003,0.3200000000000002,-0.2,0.3200000000000002,-0.253895118075244,0.3200000000000002,-0.08969582026620584,0.3200000000000002,17.17576388860412,0.3200000000000002,154.4548769935641,0.3200000000000002,3.963889855476865e-05,0.3200000000000002,-8.877047759973057e-14,0.3200000000000002,-2.307839046481869e-06,0.3200000000000002,-2.459172583124602e-14,0.3200000000000002,-3.389979087146331e-15,0.3200000000000002,-8.276052972504794e-15,0.3200000000000002,2.566374032748758e-07
0.3280000000000002,-0.3280000000000003,0.3280000000000002,-0.2,0.3280000000000002,-0.253895118075244,0.3280000000000002,-0.09449723634425995,0.3280000000000002,16.48905643067345,0.3280000000000002,138.373424632452,0.3280000000000002,4.353911728073174e-05,0.3280000000000002,-9.242565719048377e-14,0.3280000000000002,-2.640485673893621e-06,0.3280000000000002,-2.517316614751937e-14,0.3280000000000002,-3.43797878931079e-15,0.3280000000000002,-8.30216691357075e-15,0.3280000000000002,3.146494162183274e-07
0.3360000000000002,-0.3360000000000003,0.3360000000000002,-0.2,0.3360000000000002,-0.253895118075244,0.3360000000000002,-0.09946300928172193,0.3360000000000002,15.81579282671488,0.3360000000000002,123.1257042526338,0.3360000000000002,4.752142031578909e-05,0.3360000000000002,-9.56092975803024e-14,0.3360000000000002,-3.004681512771498e-06,0.3360000000000002,-2.567003565692108e-14,0.3360000000000002,-3.49153377461159e-15,0.3360000000000002,-8.329231857569413e-15,0.3360000000000002,3.859585665254991e-07
0.3440000000000003,-0.3440000000000003,0.3440000000000003,-0.2,0.3440000000000003,-0.253895118075244,0.3440000000000003,-0.1045789969517339,0.3440000000000003,15.15955812815466,0.3440000000000003,108.8234115305639,0.3440000000000003,5.155717525414474e-05,0.3440000000000003,-9.837356553762712e-14,0.3440000000000003,-3.400968208884501e-06,0.3440000000000003,-2.609285307482825e-14,0.3440000000000003,-3.551070036934208e-15,0.3440000000000003,-8.357398887851476e-15,0.3440000000000003,4.737691506727348e-07
0.3520000000000003,-0.3520000000000003,0.3520000000000003,-0.2,0.3520000000000003,-0.253895118075244,0.3520000000000003,-0.1098314149388737,0.3520000000000003,14.52314815040973,0.3520000000000003,95.54911943654773,0.3520000000000003,5.561874864728281e-05,0.3520000000000003,-1.007724281006919e-13,0.3520000000000003,-3.829662003836328e-06,0.3520000000000003,-2.645203473903414e-14,0.3520000000000003,-3.617060767799719e-15,0.3520000000000003,-8.386839070786749e-15,0.3520000000000003,5.820958788031334e-07
0.3600000000000003,-0.3600000000000003,0.3600000000000003,-0.2,0.3600000000000003,-0.253895118075244,0.3600000000000003,-0.1152070549716395,0.3600000000000003,13.90859991692951,0.3600000000000003,83.35643213635902,0.3600000000000003,5.967990328833743e-05,0.3600000000000003,-1.028575116684106e-13,0.3600000000000003,-4.290863469018497e-06,0.3600000000000003,-2.675725310483432e-14,0.3600000000000003,-3.690031669933582e-15,0.3600000000000003,-8.417736900146095e-15,0.3600000000000003,7.159603855250159e-07
0.3680000000000003,-0.3680000000000003,0.3680000000000003,-0.2,0.3680000000000003,-0.253895118075244,0.3680000000000003,-0.1206934500058595,0.3680000000000003,13.31724866733695,0.3680000000000003,72.27123548924449,0.3680000000000003,6.371597018332319e-05,0.3680000000000003,-1.046757886557493e-13,0.3680000000000003,-4.784469508329467e-06,0.3680000000000003,-2.701711275823226e-14,0.3680000000000003,-3.7705657082511e-15,0.3680000000000003,-8.45028605842171e-15,0.3680000000000003,8.816228164911542e-07
0.3760000000000003,-0.3760000000000003,0.3760000000000003,-0.2,0.3760000000000003,-0.253895118075244,0.3760000000000003,-0.1262789894806936,0.3760000000000003,12.74980161348569,0.3760000000000003,62.29384456717546,0.3760000000000003,6.77038167697351e-05,0.3760000000000003,-1.062685611729242e-13,0.3760000000000003,-5.310185901127949e-06,0.3760000000000003,-2.723904251200403e-14,0.3760000000000003,-3.859307474140362e-15,0.3760000000000003,-8.484686984276078e-15,0.3760000000000003,1.086846015688207e-06
0.3840000000000003,-0.3840000000000003,0.3840000000000003,-0.2,0.3840000000000003,-0.253895118075244,0.3840000000000003,-0.1319529901374802,0.3840000000000003,12.20642094548182,0.3840000000000003,53.40184872456834,0.3840000000000003,7.162164970915179e-05,0.3840000000000003,-1.076712810708529e-13,0.3840000000000003,-5.867538898535315e-06,0.3840000000000003,-2.742932023333301e-14,0.3840000000000003,-3.956967285561147e-15,0.3840000000000003,-8.521145717943648e-15,0.3840000000000003,1.341182963132158e-06
0.3920000000000003,-0.3920000000000003,0.3920000000000003,-0.2,0.3920000000000003,-0.253895118075244,0.3920000000000003,-0.1377057288467191,0.3920000000000003,11.68681097661287,0.3920000000000003,45.55345631068608,0.3920000000000003,7.544870477029174e-05,0.3920000000000003,-1.089138570871193e-13,0.3920000000000003,-6.455884750905964e-06,0.3920000000000003,-2.759316974056572e-14,0.3920000000000003,-4.064325084835101e-15,0.3920000000000003,-8.559873569085104e-15,0.3920000000000003,1.65626740275672e-06
0.4000000000000003,-0.4000000000000004,0.4000000000000003,-0.2,0.4000000000000003,-0.253895118075244,0.4000000000000003,-0.1435284442654937,0.4000000000000003,11.19030648596374,0.4000000000000003,38.69114500327999,0.4000000000000003,7.916488902274591e-05,0.4000000000000003,-1.100212078935582e-13,0.4000000000000003,-7.074416515970623e-06,0.4000000000000003,-2.773488944018098e-14,0.4000000000000003,-4.18223413644464e-15,0.4000000000000003,-8.601087249645402e-15,0.4000000000000003,2.046072531997562e-06
0.4080000000000003,-0.4080000000000004,0.4080000000000003,-0.2,0.4080000000000003,-0.253895118075244,0.4080000000000003,-0.1494133140068862,0.4080000000000003,10.71596103300381,0.4080000000000003,32.74543201451099,0.4080000000000003,8.275045208582238e-05,0.4080000000000003,-1.110139069233021e-13,0.4080000000000003,-7.722168066053675e-06,0.4080000000000003,-2.785798800778866e-14,0.4080000000000003,-4.311624471513351e-15,0.4080000000000003,-8.645009205589262e-15,0.4080000000000003,2.527083840248371e-06
0.4160000000000003,-0.4160000000000004,0.4160000000000003,-0.2,0.4160000000000003,-0.253895118075244,0.4160000000000003,-0.1553534135031421,0.4160000000000003,10.26263504937121,0.4160000000000003,27.63859277697702,0.4160000000000003,8.618577195877758e-05,0.4160000000000003,-1.119088279497346e-13,0.4160000000000003,-8.398015864781241e-06,0.4160000000000003,-2.796531333630508e-14,0.4160000000000003,-4.45350597391298e-15,0.4160000000000003,-8.691867954017342e-15,0.4160000000000003,3.118312594792106e-06
0.4240000000000003,-0.4240000000000004,0.4240000000000003,-0.2,0.4240000000000003,-0.253895118075244,0.4240000000000003,-0.1613426620256497,0.4240000000000003,9.829083633888194,0.4240000000000003,23.28817754390284,0.4240000000000003,8.945134269897087e-05,0.4240000000000003,-1.127197428142191e-13,0.4240000000000003,-9.100679781669e-06,0.4240000000000003,-2.805916806648466e-14,0.4240000000000003,-4.608970954088901e-15,0.4240000000000003,-8.741898284604665e-15,0.4240000000000003,3.841062381559798e-06
0.4320000000000003,-0.4320000000000004,0.4320000000000003,-0.2,0.4320000000000003,-0.253895118075244,0.4320000000000003,-0.1673757605025128,0.4320000000000003,9.414043034427465,0.4320000000000003,19.61020152215886,0.4320000000000003,9.252803893791282e-05,0.4320000000000003,-1.134578495050907e-13,0.4320000000000003,-9.828724874085623e-06,0.4320000000000003,-2.81414093274791e-14,0.4320000000000003,-4.779196009646717e-15,0.4320000000000003,-8.795341219517533e-15,0.4320000000000003,4.718362472377414e-06
0.4400000000000003,-0.4400000000000004,0.4400000000000003,-0.2,0.4400000000000003,-0.253895118075244,0.4400000000000003,-0.1734481249343078,0.4400000000000003,9.016312864747103,0.4400000000000003,16.52191358565744,0.4400000000000003,9.539769827177849e-05,0.4400000000000003,-1.141322247128089e-13,0.4400000000000003,-1.058056654677982e-05,0.4400000000000003,-2.82135327530438e-14,0.4400000000000003,-4.965442925948142e-15,0.4400000000000003,-8.852443648222698e-15,0.4400000000000003,5.774010242650862e-06
0.4480000000000003,-0.4480000000000004,0.4480000000000003,-0.2,0.4480000000000003,-0.253895118075244,0.4480000000000003,-0.1795558184097722,0.4480000000000003,8.634828656467528,0.4480000000000003,13.94407905108793,0.4480000000000003,9.804400315302409e-05,0.4480000000000003,-1.1475020375995e-13,0.4480000000000003,-1.135448160628441e-05,0.4480000000000003,-2.827674208374636e-14,0.4480000000000003,-5.169058325682158e-15,0.4480000000000003,-8.913457567053978e-15,0.4480000000000003,7.031228293658775e-06
