PM0:vgs X,PM0:vgs Y,PM0:vds X,PM0:vds Y,PM0:vth X,PM0:vth Y,PM0:vdsat X,PM0:vdsat Y,PM0:gmoverid X,PM0:gmoverid Y,PM0:self_gain X,PM0:self_gain Y,PM0:gds X,PM0:gds Y,PM0:gm X,PM0:gm Y,PM0:cgs X,PM0:cgs Y,PM0:id X,PM0:id Y,PM0:csb X,PM0:csb Y,PM0:cgd X,PM0:cgd Y,PM0:cdb X,PM0:cdb Y
0,0,0,-0.2,0,-0.2587078206719424,0,-0.03792320378485945,0,31.78338258310343,0,326.5369342111118,0,7.404169846411312e-11,0,2.417734922025509e-08,0,-3.090581920128656e-15,0,-7.606915372168348e-10,0,-8.831309827937266e-15,0,-3.10000819546778e-15,0,-7.995210481295169e-15
0.008,-0.008000000000000007,0.008,-0.2,0.008,-0.2587078206719424,0.008,-0.03792949552914857,0.008,31.70066663489569,0.008,325.6931452139442,0.008,9.544519889177817e-11,0.008,3.108584702263369e-08,0.008,-3.091833818987494e-15,0.008,-9.806054968200106e-10,0.008,-8.831813272709297e-15,0.008,-3.100010619689764e-15,0.008,-7.995216224480762e-15
0.016,-0.01600000000000001,0.016,-0.2,0.016,-0.2587078206719424,0.016,-0.03793757795490911,0.016,31.60833561036878,0.016,324.7494768716362,0.016,1.229502438936713e-10,0.016,3.992802738570984e-08,0.016,-3.093739072271339e-15,0.016,-1.263211983306704e-09,0.016,-8.83246343174304e-15,0.016,-3.100013760714917e-15,0.016,-7.995223641529329e-15
0.024,-0.02400000000000002,0.024,-0.2,0.024,-0.2587078206719424,0.024,-0.03794794854547275,0.024,31.50546757348911,0.024,323.6958035842964,0.024,1.582589133019999e-10,0.024,5.122774611566835e-08,0.024,-3.09648915816523e-15,0.024,-1.625995453736333e-09,0.024,-8.833303011444178e-15,0.024,-3.100017830384857e-15,0.024,-7.995233219799114e-15
0.032,-0.03200000000000003,0.032,-0.2,0.032,-0.2587078206719424,0.032,-0.03796123756899958,0.032,31.39111477640672,0.032,322.5215242220615,0.032,2.035323148028615e-10,0.032,6.564355239866334e-08,0.032,-3.10033236001661e-15,0.032,-2.091150753629795e-09,0.032,-8.834387125276234e-15,0.032,-3.100023103102227e-15,0.032,-7.995245588316984e-15
0.04,-0.04000000000000004,0.04,-0.2,0.04,-0.2587078206719424,0.04,-0.03797824113777412,0.04,31.26432215886762,0.04,321.2156990191284,0.04,2.615079953262372e-10,0.04,8.400047351780824e-08,0.04,-3.105590550749163e-15,0.04,-2.686783804572347e-09,0.04,-8.835786884629237e-15,0.04,-3.100029934282635e-15,0.04,-7.995261558835206e-15
0.048,-0.04800000000000004,0.048,-0.2,0.048,-0.2587078206719424,0.048,-0.03799996147076172,0.048,31.124151737289,0.048,319.7672366452157,0.048,3.356449840555224e-10,0.048,1.073282690452619e-07,0.048,-3.112680906508365e-15,0.048,-3.448391810534764e-09,0.048,-8.837594020564895e-15,0.048,-3.100038784235152e-15,0.048,-7.995282178711946e-15
0.056,-0.05600000000000005,0.056,-0.2,0.056,-0.2587078206719424,0.056,-0.03802765549241402,0.056,30.96971352367032,0.056,318.1651370143605,0.056,4.303021768920576e-10,0.056,1.369071510684391e-07,0.056,-3.122143977562781e-15,0.056,-4.420678669652679e-09,0.056,-8.839926826953835e-15,0.056,-3.100050249059791e-15,0.056,-7.995308798972603e-15
0.064,-0.06400000000000006,0.064,-0.2,0.064,-0.2587078206719424,0.064,-0.03806289288955184,0.064,30.80020330348224,0.064,316.3987924377806,0.064,5.50956758606975e-10,0.064,1.743220531086807e-07,0.064,-3.134679945118039e-15,0.064,-5.659769589731591e-09,0.064,-8.84293779378326e-15,0.064,-3.100065100609548e-15,0.064,-7.995343161830864e-15
0.07200000000000001,-0.07200000000000006,0.07200000000000001,-0.2,0.07200000000000001,-0.2587078206719424,0.07200000000000001,-0.03810762463772045,0.07200000000000001,30.61494707073064,0.07200000000000001,314.4583446883117,0.07200000000000001,7.044705151467852e-10,0.07200000000000001,2.215266320747803e-07,0.07200000000000001,-3.151195396746838e-15,0.07200000000000001,-7.235897957407876e-09,0.07200000000000001,-8.846823396306715e-15,0.07200000000000001,-3.100084338152596e-15,0.07200000000000001,-7.995387513101679e-15
