PM0:vgs X,PM0:vgs Y,PM0:vds X,PM0:vds Y,PM0:vth X,PM0:vth Y,PM0:vdsat X,PM0:vdsat Y,PM0:gmoverid X,PM0:gmoverid Y,PM0:self_gain X,PM0:self_gain Y,PM0:gds X,PM0:gds Y,PM0:gm X,PM0:gm Y,PM0:cgs X,PM0:cgs Y,PM0:id X,PM0:id Y,PM0:csb X,PM0:csb Y,PM0:cdb X,PM0:cdb Y,PM0:cgd X,PM0:cgd Y
0.1200000000000001,-0.1200000000000001,0.1200000000000001,-0.2,0.1200000000000001,-0.2601822703780106,0.1200000000000001,-0.03901538911242937,0.1200000000000001,29.12856904017706,0.1200000000000001,265.4332761142268,0.1200000000000001,3.687546322158183e-09,0.1200000000000001,9.787975011134143e-07,0.1200000000000001,-3.378658852860943e-15,0.1200000000000001,-3.360266344083396e-08,0.1200000000000001,-8.89666372485003e-15,0.1200000000000001,-7.995956653376681e-15,0.1200000000000001,-3.100309708078145e-15
0.1280000000000001,-0.1280000000000001,0.1280000000000001,-0.2,0.1280000000000001,-0.2601822703780106,0.1280000000000001,-0.0392259523548306,0.1280000000000001,28.84179612522705,0.1280000000000001,262.65555813834,0.1280000000000001,4.652835757723912e-09,0.1280000000000001,1.222093172871001e-06,0.1280000000000001,-3.467327024501335e-15,0.1280000000000001,-4.237229777275864e-08,0.1280000000000001,-8.915927799188495e-15,0.1280000000000001,-7.996177236729232e-15,0.1280000000000001,-3.100400560672796e-15
0.1360000000000001,-0.1360000000000001,0.1360000000000001,-0.2,0.1360000000000001,-0.2601822703780106,0.1360000000000001,-0.03948553476939894,0.1360000000000001,28.54387547909845,0.1360000000000001,259.7200821874725,0.1360000000000001,5.858433323462828e-09,0.1360000000000001,1.521552784259594e-06,0.1360000000000001,-3.58196654946758e-15,0.1360000000000001,-5.330575332047395e-08,0.1360000000000001,-8.940653326977618e-15,0.1360000000000001,-7.996460673935058e-15,0.1360000000000001,-3.100517969774978e-15
0.1440000000000001,-0.1440000000000001,0.1440000000000001,-0.2,0.1440000000000001,-0.2601822703780106,0.1440000000000001,-0.03980387486465804,0.1440000000000001,28.23669226242007,0.1440000000000001,256.632264358978,0.1440000000000001,7.360663812631215e-09,0.1440000000000001,1.888983821420737e-06,0.1440000000000001,-3.729948274934546e-15,0.1440000000000001,-6.689819773137114e-08,0.1440000000000001,-8.97234310174909e-15,0.1440000000000001,-7.996824471058048e-15,0.1440000000000001,-3.100669637398789e-15
0.1520000000000001,-0.1520000000000001,0.1520000000000001,-0.2,0.1520000000000001,-0.2601822703780106,0.1520000000000001,-0.04019207826775269,0.1520000000000001,27.92216511803123,0.1520000000000001,253.3963549948387,0.1520000000000001,9.228325631029874e-09,0.1520000000000001,2.338424077608414e-06,0.1520000000000001,-3.920619860849923e-15,0.1520000000000001,-8.374794965020829e-08,0.1520000000000001,-9.01288381579189e-15,0.1520000000000001,-7.99729074755824e-15,0.1520000000000001,-3.100865459924009e-15
0.1600000000000001,-0.1600000000000001,0.1600000000000001,-0.2,0.1600000000000001,-0.2601822703780106,0.1600000000000001,-0.04066263235958836,0.1600000000000001,27.60203087378037,0.1600000000000001,250.0134969298385,0.1600000000000001,1.154538854594655e-08,0.1600000000000001,2.886502963785801e-06,0.1600000000000001,-4.165757314300795e-15,0.1600000000000001,-1.045757458136745e-07,0.1600000000000001,-9.064624758188947e-15,0.1600000000000001,-7.997887280455246e-15,0.1600000000000001,-3.101118127479156e-15
0.1680000000000001,-0.1680000000000001,0.1680000000000001,-0.2,0.1680000000000001,-0.2601822703780106,0.1680000000000001,-0.04122936346676528,0.1680000000000001,27.27758895443724,0.1680000000000001,246.4794778021084,0.1680000000000001,1.441427941300574e-08,0.1680000000000001,3.552824062611337e-06,0.1680000000000001,-4.480064537941522e-15,0.1680000000000001,-1.302469976121445e-07,0.1680000000000001,-9.130459642377179e-15,0.1680000000000001,-7.998648670848542e-15,0.1680000000000001,-3.101443870120748e-15
0.1760000000000001,-0.1760000000000002,0.1760000000000001,-0.2,0.1760000000000001,-0.2601822703780106,0.1760000000000001,-0.04190732475864983,0.1760000000000001,26.94943107426632,0.1760000000000001,242.7824288317999,0.1760000000000001,1.795986580468572e-08,0.1760000000000001,4.360339841554788e-06,0.1760000000000001,-4.881683005872755e-15,0.1760000000000001,-1.61797101776708e-07,0.1760000000000001,-9.213901588879165e-15,0.1760000000000001,-7.999617564930748e-15,0.1760000000000001,-3.101863375578245e-15
0.1840000000000001,-0.1840000000000002,0.1840000000000001,-0.2,0.1840000000000001,-0.2601822703780106,0.1840000000000001,-0.04271260589715074,0.1840000000000001,26.61719417365724,0.1840000000000001,238.9008393650506,0.1840000000000001,2.233425052382897e-08,0.1840000000000001,5.335671196732064e-06,0.1840000000000001,-5.392634932116318e-15,0.1840000000000001,-2.00459566200092e-07,0.1840000000000001,-9.319133554735839e-15,0.1840000000000001,-8.000845791949812e-15,0.1840000000000001,-3.10240289972925e-15
0.1920000000000001,-0.1920000000000002,0.1920000000000001,-0.2,0.1920000000000001,-0.2601822703780106,0.1920000000000001,-0.04366206016255483,0.1920000000000001,26.27938308196603,0.1920000000000001,234.8023354997343,0.1920000000000001,2.772248723473755e-08,0.1920000000000001,6.509304748577949e-06,0.1920000000000001,-6.039064194211778e-15,0.1920000000000001,-2.476962540957761e-07,0.1920000000000001,-9.451005723322099e-15,0.1920000000000001,-8.002395178425167e-15,0.1920000000000001,-3.103095580549303e-15
0.2000000000000001,-0.2000000000000002,0.2000000000000001,-0.2,0.2000000000000001,-0.2601822703780106,0.2000000000000001,-0.04477295105143259,0.2000000000000001,25.93330996351456,0.2000000000000001,230.4436724922239,0.2000000000000001,3.434932143061291e-08,0.2000000000000001,7.915583778086291e-06,0.2000000000000001,-6.851058524359772e-15,0.2000000000000001,-3.05228441336083e-07,0.2000000000000001,-9.614938224931425e-15,0.2000000000000001,-8.004337661486809e-15,0.2000000000000001,-3.103982944805504e-15
0.2080000000000001,-0.2080000000000002,0.2080000000000001,-0.2,0.2080000000000001,-0.2601822703780106,0.2080000000000001,-0.0460625277152247,0.2080000000000001,25.57518708886285,0.2080000000000001,225.7722837086855,0.2080000000000001,4.248705829887971e-08,0.2080000000000001,9.592400180202131e-06,0.2080000000000001,-7.8617442539716e-15,0.2080000000000001,-3.750666670638567e-07,0.2080000000000001,-9.816675151954783e-15,0.2080000000000001,-8.006754173821019e-15,0.2080000000000001,-3.105116558890613e-15
0.2160000000000001,-0.2160000000000002,0.2160000000000001,-0.2,0.2160000000000001,-0.2601822703780106,0.2160000000000001,-0.04754754628553531,0.2160000000000001,25.20038734216815,0.2160000000000001,220.7295087521092,0.2160000000000001,5.246467107082022e-08,0.2160000000000001,1.158050107230314e-05,0.2160000000000001,-9.105275589571559e-15,0.2160000000000001,-4.595366299654667e-07,0.2160000000000001,-1.006183151343295e-14,0.2160000000000001,-8.009731664979891e-15,0.2160000000000001,-3.106559715725991e-15
0.2240000000000001,-0.2240000000000002,0.2240000000000001,-0.2,0.2240000000000001,-0.2601822703780106,0.2240000000000001,-0.04924376111653317,0.2240000000000001,24.80385643494799,0.2240000000000001,215.2553229205132,0.2240000000000001,6.467830570589473e-08,0.2240000000000001,1.392234958067404e-05,0.2240000000000001,-1.061336575973875e-14,0.2240000000000001,-5.612977811703248e-07,0.2240000000000001,-1.035519128654974e-14,0.2240000000000001,-8.013357668974607e-15,0.2240000000000001,-3.108388967025972e-15
0.2320000000000002,-0.2320000000000002,0.2320000000000002,-0.2,0.2320000000000002,-0.2601822703780106,0.2320000000000002,-0.05116541522672574,0.2320000000000002,24.38062904851779,0.2320000000000002,209.2940782921586,0.2320000000000002,7.960342822466155e-08,0.2320000000000002,1.666052613917654e-05,0.2320000000000002,-1.241023346651216e-14,0.2320000000000002,-6.833509548395556e-07,0.2320000000000002,-1.069976778177508e-14,0.2320000000000002,-8.017712180699037e-15,0.2320000000000002,-3.110695213376635e-15
0.2400000000000002,-0.2400000000000002,0.2400000000000002,-0.2,0.2400000000000002,-0.2601822703780106,0.2400000000000002,-0.05332476185320328,0.2400000000000002,23.92637686068242,0.2400000000000002,202.8005294195805,0.2400000000000002,9.780901709235987e-08,0.2400000000000002,1.983572044833938e-05,0.2400000000000002,-1.450635652175587e-14,0.2400000000000002,-8.290315146560544e-07,0.2400000000000002,-1.109573578771502e-14,0.2400000000000002,-8.022857389062586e-15,0.2400000000000002,-3.113583982708881e-15
0.2480000000000002,-0.2480000000000002,0.2480000000000002,-0.2,0.2480000000000002,-0.2601822703780106,0.2480000000000002,-0.05573164848773705,0.2480000000000002,23.43790705599882,0.2480000000000002,195.7453257847787,0.2480000000000002,1.1997443834399e-07,0.2480000000000002,2.348443551949017e-05,0.2480000000000002,-1.68921992351163e-14,0.2480000000000002,-1.001985179993655e-06,0.2480000000000002,-1.153947163939139e-14,0.2480000000000002,-8.028826970955905e-15,0.2480000000000002,-3.117174516354893e-15
0.2560000000000002,-0.2560000000000002,0.2560000000000002,-0.2,0.2560000000000002,-0.2601822703780106,0.2560000000000002,-0.05839319094866361,0.2560000000000002,22.91353855422564,0.2560000000000002,188.1192377622739,0.2560000000000002,1.469099628230448e-07,0.2560000000000002,2.76365902259552e-05,0.2560000000000002,-1.953381969165194e-14,0.2560000000000002,-1.206124936191163e-06,0.2560000000000002,-1.202303485089685e-14,0.2560000000000002,-8.035617761502762e-15,0.2560000000000002,-3.121597411123835e-15
0.2640000000000002,-0.2640000000000002,0.2640000000000002,-0.2,0.2640000000000002,-0.2601822703780106,0.2640000000000002,-0.06131355834786493,0.2640000000000002,22.3533072531153,0.2640000000000002,179.9356168007718,0.2640000000000002,1.795822930754051e-07,0.2640000000000002,3.231325067101999e-05,0.2640000000000002,-2.237243710064501e-14,0.2640000000000002,-1.445569118957736e-06,0.2640000000000002,-1.253440752753003e-14,0.2640000000000002,-8.043186945929402e-15,0.2640000000000002,-3.126990877033315e-15
0.2720000000000002,-0.2720000000000002,0.2720000000000002,-0.2,0.2720000000000002,-0.2601822703780106,0.2720000000000002,-0.06449388105455199,0.2720000000000002,21.75898394520974,0.2720000000000002,171.2309040667388,0.2720000000000002,2.191469567455768e-07,0.2720000000000002,3.752473152701962e-05,0.2720000000000002,-2.532919202347826e-14,0.2720000000000002,-1.724562673613292e-06,0.2720000000000002,-1.305861960417629e-14,0.2720000000000002,-8.05145683341826e-15,0.2720000000000002,-3.133496112282368e-15
0.2800000000000002,-0.2800000000000002,0.2800000000000002,-0.2,0.2800000000000002,-0.2601822703780106,0.2800000000000002,-0.06793228402991322,0.2800000000000002,21.13392042332793,0.2800000000000002,162.063309546014,0.2800000000000002,2.669899865867338e-07,0.2800000000000002,4.326928084189196e-05,0.2800000000000002,-2.831456881557047e-14,0.2800000000000002,-2.047385434211832e-06,0.2800000000000002,-1.357957537362692e-14,0.2800000000000002,-8.060326883619583e-15,0.2800000000000002,-3.141252698227037e-15
0.2880000000000002,-0.2880000000000003,0.2880000000000002,-0.2,0.2880000000000002,-0.2601822703780106,0.2880000000000002,-0.07162403838902255,0.2880000000000002,20.48276331025834,0.2880000000000002,152.510015279167,0.2880000000000002,3.247819395920157e-07,0.2880000000000002,4.95324985695758e-05,0.2880000000000002,-3.124010998418942e-14,0.2880000000000002,-2.418252743533437e-06,0.2880000000000002,-1.408211546005909e-14,0.2880000000000002,-8.069690048245125e-15,0.2880000000000002,-3.150395057373338e-15
0.2960000000000002,-0.2960000000000003,0.2960000000000002,-0.2,0.2960000000000002,-0.2601822703780106,0.2960000000000002,-0.07556181581040405,0.2960000000000002,19.81108753795594,0.2960000000000002,142.6633761446454,0.2960000000000002,3.945480094905141e-07,0.2960000000000002,5.628755108506633e-05,0.2960000000000002,-3.402920385937449e-14,0.2960000000000002,-2.841214596513597e-06,0.2960000000000002,-1.455376366716092e-14,0.2960000000000002,-8.079449088687593e-15,0.2960000000000002,-3.161050780251235e-15
0.3040000000000002,-0.3040000000000003,0.3040000000000002,-0.2,0.3040000000000002,-0.2601822703780106,0.3040000000000002,-0.07973602426954007,0.3040000000000002,19.12500221048814,0.3040000000000002,132.6266008477326,0.3040000000000002,4.787587617886159e-07,0.3040000000000002,6.349614720209344e-05,0.3040000000000002,-3.66243322846493e-14,0.3040000000000002,-3.320059600716527e-06,0.3040000000000002,-1.498576464754765e-14,0.3040000000000002,-8.089529033480077e-15,0.3040000000000002,-3.17334110495757e-15
0.3120000000000002,-0.3120000000000003,0.3120000000000002,-0.2,0.3120000000000002,-0.2601822703780106,0.3120000000000002,-0.08413519997125593,0.3120000000000002,18.43077364048617,0.3120000000000002,122.5093229178078,0.3120000000000002,5.804468685582293e-07,0.3120000000000002,7.111015285683043e-05,0.3120000000000002,-3.898974356697363e-14,0.3120000000000002,-3.858229407210971e-06,0.3120000000000002,-1.53733088215465e-14,0.3120000000000002,-8.099883840834016e-15,0.3120000000000002,-3.187383273875293e-15
0.3200000000000002,-0.3200000000000003,0.3200000000000002,-0.2,0.3200000000000002,-0.2601822703780106,0.3200000000000002,-0.08874642937004763,0.3200000000000002,17.73449763044855,0.3200000000000002,112.4233563998038,0.3200000000000002,7.0335612087201e-07,0.3200000000000002,7.907365585277748e-05,0.3200000000000002,-4.111011192225805e-14,0.3200000000000002,-4.458748000706638e-06,0.3200000000000002,-1.571510114471598e-14,0.3200000000000002,-8.110497450669121e-15,0.3200000000000002,-3.203294128821568e-15
0.3280000000000002,-0.3280000000000003,0.3280000000000002,-0.2,0.3280000000000002,-0.2601822703780106,0.3280000000000002,-0.09355577653169822,0.3280000000000002,17.04183929877165,0.3280000000000002,102.4788111048369,0.3280000000000002,8.521298825556918e-07,0.3280000000000002,8.732525727121159e-05,0.3280000000000002,-4.298665671783582e-14,0.3280000000000002,-5.12416856776763e-06,0.3280000000000002,-1.601255702617751e-14,0.3280000000000002,-8.121380795639317e-15,0.3280000000000002,-3.221194224970651e-15
