PM0:vgs X,PM0:vgs Y,PM0:vds X,PM0:vds Y,PM0:vth X,PM0:vth Y,PM0:vdsat X,PM0:vdsat Y,PM0:gmoverid X,PM0:gmoverid Y,PM0:self_gain X,PM0:self_gain Y,PM0:gm X,PM0:gm Y,PM0:cgs X,PM0:cgs Y,PM0:id X,PM0:id Y,PM0:csb X,PM0:csb Y,PM0:cgd X,PM0:cgd Y,PM0:cdb X,PM0:cdb Y,PM0:gds X,PM0:gds Y
0.1280000000000001,-0.1280000000000001,0.1280000000000001,-0.2,0.1280000000000001,-0.2566417921368623,0.1280000000000001,-0.03859436534057566,0.1280000000000001,28.90967230902885,0.1280000000000001,348.8870716804822,0.1280000000000001,9.330771154517926e-07,0.1280000000000001,-3.671897073781674e-15,0.1280000000000001,-3.227560334575962e-08,0.1280000000000001,-8.964346149899927e-15,0.1280000000000001,-3.100715269365548e-15,0.1280000000000001,-7.996732435148881e-15,0.1280000000000001,2.67443878317831e-09
0.1360000000000001,-0.1360000000000001,0.1360000000000001,-0.2,0.1360000000000001,-0.2566417921368623,0.1360000000000001,-0.03887379940579321,0.1360000000000001,28.59691450640565,0.1360000000000001,344.536535050417,0.1360000000000001,1.161704178668408e-06,0.1360000000000001,-3.851290764460782e-15,0.1360000000000001,-4.062340988743042e-08,0.1360000000000001,-9.00331703007483e-15,0.1360000000000001,-3.100927028906376e-15,0.1360000000000001,-7.997179401181755e-15,0.1360000000000001,3.371788070308458e-09
0.1440000000000001,-0.1440000000000001,0.1440000000000001,-0.2,0.1440000000000001,-0.2566417921368623,0.1440000000000001,-0.03921604076531029,0.1440000000000001,28.27536340648971,0.1440000000000001,339.959996398843,0.1440000000000001,1.442062467308872e-06,0.1440000000000001,-4.08326726971147e-15,0.1440000000000001,-5.100066964336695e-08,0.1440000000000001,-9.05335730468569e-15,0.1440000000000001,-3.101201117523032e-15,0.1440000000000001,-7.997754251688381e-15,0.1440000000000001,4.241859285164353e-09
0.1520000000000001,-0.1520000000000001,0.1520000000000001,-0.2,0.1520000000000001,-0.2566417921368623,0.1520000000000001,-0.03963272285209947,0.1520000000000001,27.94699990156395,0.1520000000000001,335.1608208349637,0.1520000000000001,1.784764871771329e-06,0.1520000000000001,-4.382647973533948e-15,0.1520000000000001,-6.386248537874183e-08,0.1520000000000001,-9.117480348464376e-15,0.1520000000000001,-3.101555643191468e-15,0.1520000000000001,-7.998492421682182e-15,0.1520000000000001,5.32509995447876e-09
0.1600000000000001,-0.1600000000000001,0.1600000000000001,-0.2,0.1600000000000001,-0.2566417921368623,0.1600000000000001,-0.04013683439923448,0.1600000000000001,27.6135153425409,0.1600000000000001,330.1366479624798,0.1600000000000001,2.202354761929254e-06,0.1600000000000001,-4.768093656726333e-15,0.1600000000000001,-7.975640679651294e-08,0.1600000000000001,-9.199434213678561e-15,0.1600000000000001,-3.102013817031437e-15,0.1600000000000001,-7.999438407388945e-15,0.1600000000000001,6.671039933075085e-09
0.1680000000000001,-0.1680000000000001,0.1680000000000001,-0.2,0.1680000000000001,-0.2566417921368623,0.1680000000000001,-0.04074264273843078,0.1680000000000001,27.27603653287236,0.1680000000000001,324.8762420002653,0.1680000000000001,2.70957265684568e-06,0.1680000000000001,-5.262865916798242e-15,0.1680000000000001,-9.933894370549174e-08,0.1680000000000001,-9.303824490336239e-15,0.1680000000000001,-3.102605286956247e-15,0.1680000000000001,-8.000647585970327e-15,0.1680000000000001,8.340322579954822e-09
0.1760000000000001,-0.1760000000000002,0.1760000000000001,-0.2,0.1760000000000001,-0.2566417921368623,0.1760000000000001,-0.04146554300646187,0.1760000000000001,26.93485227577283,0.1760000000000001,319.3565557009128,0.1760000000000001,3.32360337018956e-06,0.1760000000000001,-5.895573107085974e-15,0.1760000000000001,-1.23394156275781e-07,0.1760000000000001,-9.436219272110045e-15,0.1760000000000001,-3.103367750809188e-15,0.1760000000000001,-8.002188067889811e-15,0.1760000000000001,1.040718692276421e-08
0.1840000000000001,-0.1840000000000002,0.1840000000000001,-0.2,0.1840000000000001,-0.2566417921368623,0.1840000000000001,-0.04232182669599735,0.1840000000000001,26.58918572419109,0.1840000000000001,313.5406034759696,0.1840000000000001,4.064263828100773e-06,0.1840000000000001,-6.700757528276094e-15,0.1840000000000001,-1.528540163298468e-07,0.1840000000000001,-9.60320386155786e-15,0.1840000000000001,-3.104348861512702e-15,0.1840000000000001,-8.004142324880147e-15,0.1840000000000001,1.296248008405797e-08
0.1920000000000001,-0.1920000000000002,0.1920000000000001,-0.2,0.1920000000000001,-0.2566417921368623,0.1920000000000001,-0.04332836858240725,0.1920000000000001,26.23706201680766,0.1920000000000001,307.3767951510136,0.1920000000000001,4.954078388944321e-06,0.1920000000000001,-7.719078347677465e-15,0.1920000000000001,-1.888198604913312e-07,0.1920000000000001,-9.812334611304291e-15,0.1920000000000001,-3.105608402923089e-15,0.1920000000000001,-8.006608158444477e-15,0.1920000000000001,1.611728167869794e-08
0.2000000000000001,-0.2000000000000002,0.2000000000000001,-0.2,0.2000000000000001,-0.2566417921368623,0.2000000000000001,-0.04450223799304787,0.2000000000000001,25.87531582504322,0.2000000000000001,300.8002984855906,0.2000000000000001,6.018178985665675e-06,0.2000000000000001,-8.996711733478018e-15,0.2000000000000001,-2.325837886238317e-07,0.2000000000000001,-1.00719205015089e-14,0.2000000000000001,-3.107220657127092e-15,0.2000000000000001,-8.009698349563146e-15,0.2000000000000001,2.000722411501851e-08
