NM0:cdb X,NM0:cdb Y,NM0:cgd X,NM0:cgd Y,NM0:id X,NM0:id Y,NM0:csb X,NM0:csb Y,NM0:cgs X,NM0:cgs Y,NM0:gm X,NM0:gm Y,NM0:self_gain X,NM0:self_gain Y,NM0:gds X,NM0:gds Y,NM0:gmoverid X,NM0:gmoverid Y,NM0:vdsat X,NM0:vdsat Y,NM0:vth X,NM0:vth Y,NM0:vds X,NM0:vds Y,NM0:vgs X,NM0:vgs Y
0.08000000000000002,-5.325992764327856e-15,0.08000000000000002,-2.900143127202862e-15,0.08000000000000002,6.95486726253971e-08,0.08000000000000002,-6.219294989943506e-15,0.08000000000000002,-2.996582369479008e-15,0.08000000000000002,2.1654307127217e-06,0.08000000000000002,73.45547298486417,0.08000000000000002,2.947950131868182e-08,0.08000000000000002,31.1354715749277,0.08000000000000002,0.04354391983933279,0.08000000000000002,0.2642648364102932,0.08000000000000002,0.2,0.08000000000000002,0.08000000000000002
0.08800000000000002,-5.32605302846388e-15,0.08800000000000002,-2.900186296140564e-15,0.08800000000000002,8.914464464302967e-08,0.08800000000000002,-6.224566613753834e-15,0.08800000000000002,-3.028807434265909e-15,0.08800000000000002,2.756341296557584e-06,0.08800000000000002,72.95774249960805,0.08800000000000002,3.7779969638896e-08,0.08800000000000002,30.91987538261804,0.08800000000000002,0.04360778884346203,0.08800000000000002,0.2642648364102932,0.08800000000000002,0.2,0.08800000000000002,0.08800000000000002
0.09600000000000003,-5.326131008272047e-15,0.09600000000000003,-2.900242461455887e-15,0.09600000000000003,1.140567178680361e-07,0.09600000000000003,-6.231383429348883e-15,0.09600000000000003,-3.070920445243999e-15,0.09600000000000003,3.499941005902358e-06,0.09600000000000003,72.41950112446334,0.09600000000000003,4.832870913992084e-08,0.09600000000000003,30.68596991132756,0.09600000000000003,0.04368872504704674,0.09600000000000003,0.2642648364102932,0.09600000000000003,0.2,0.09600000000000003,0.09600000000000003
0.104,-5.326231861345683e-15,0.104,-2.900315521004189e-15,0.104,1.456470955100259e-07,0.104,-6.240192221887619e-15,0.104,-3.125884754337291e-15,0.104,4.432576050024272e-06,0.104,71.84113973858763,0.104,6.169968998478218e-08,0.104,30.433672853053,0.104,0.04379094501837131,0.104,0.2642648364102932,0.104,0.2,0.104,0.104
0.112,-5.326362212975292e-15,0.112,-2.900410531712214e-15,0.112,1.855985572397444e-07,0.112,-6.251564821877573e-15,0.112,-3.19753682835236e-15,0.112,5.598256864008231e-06,0.112,71.22398126763257,0.112,7.860072919782617e-08,0.112,30.16325640636433,0.112,0.04391956718991454,0.112,0.2642648364102932,0.112,0.2,0.112,0.112
0.1200000000000001,-5.326530549988573e-15,0.1200000000000001,-2.900534047216566e-15,0.1200000000000001,2.35981118156153e-07,0.1200000000000001,-6.266230217387873e-15,0.1200000000000001,-3.290831404848848e-15,0.1200000000000001,7.050026825654483e-06,0.1200000000000001,70.57037332949743,0.1200000000000001,9.990065934237689e-08,0.1200000000000001,29.87538531617263,0.1200000000000001,0.04408075066004096,0.1200000000000001,0.2642648364102932,0.1200000000000001,0.2,0.1200000000000001,0.1200000000000001
0.1280000000000001,-5.326747702815646e-15,0.1280000000000001,-2.900694548725294e-15,0.1280000000000001,2.993304519701634e-07,0.1280000000000001,-6.28511283040383e-15,0.1280000000000001,-3.412145431725735e-15,0.1280000000000001,8.851539732282946e-06,0.1280000000000001,69.8837164875488,0.1280000000000001,1.266609759350739e-07,0.1280000000000001,29.5711301023922,0.1280000000000001,0.04428183520212631,0.1280000000000001,0.2642648364102932,0.1280000000000001,0.2,0.1280000000000001,0.1280000000000001
0.1360000000000001,-5.327027422004784e-15,0.1360000000000001,-2.900902990955927e-15,0.1360000000000001,3.787398732564365e-07,0.1360000000000001,-6.309376528848384e-15,0.1360000000000001,-3.569646012698266e-15,0.1360000000000001,1.10788774576314e-05,0.1360000000000001,69.16839758129163,0.1360000000000001,1.601725331949568e-07,0.1360000000000001,29.25194373868901,0.1360000000000001,0.04453147411259949,0.1360000000000001,0.2642648364102932,0.1360000000000001,0.2,0.1360000000000001,0.1360000000000001
0.1440000000000001,-5.327387043675735e-15,0.1440000000000001,-2.901173487037546e-15,0.1440000000000001,4.779679195039136e-07,0.1440000000000001,-6.340472369580306e-15,0.1440000000000001,-3.773719148799649e-15,0.1440000000000001,1.382263635707096e-05,0.1440000000000001,68.42959722874743,0.1440000000000001,2.019979207369065e-07,0.1440000000000001,28.91959020556906,0.1440000000000001,0.04483974888833253,0.1440000000000001,0.2642648364102932,0.1440000000000001,0.2,0.1440000000000001,0.1440000000000001
0.1520000000000001,-5.327848214907623e-15,0.1520000000000001,-2.901524155715237e-15,0.1520000000000001,6.01563750818139e-07,0.1520000000000001,-6.380185224034972e-15,0.1520000000000001,-4.037437931700376e-15,0.1520000000000001,1.71902953226112e-05,0.1520000000000001,67.6729458753989,0.1520000000000001,2.540202011341784e-07,0.1520000000000001,28.57601593438228,0.1520000000000001,0.04521825221870553,0.1520000000000001,0.2642648364102932,0.1520000000000001,0.2,0.1520000000000001,0.1520000000000001
0.1600000000000001,-5.328437608074904e-15,0.1600000000000001,-2.901978148329193e-15,0.1600000000000001,7.550125562788538e-07,0.1600000000000001,-6.430669720859841e-15,0.1600000000000001,-4.377014543523394e-15,0.1600000000000001,2.130884095317222e-05,0.1600000000000001,66.90401580544108,0.1600000000000001,3.184986834742325e-07,0.1600000000000001,28.22316103513758,0.1600000000000001,0.04568012382230682,0.1600000000000001,0.2642648364102932,0.1600000000000001,0.2,0.1600000000000001,0.1600000000000001
0.1680000000000001,-5.329187485438323e-15,0.1680000000000001,-2.90256485760479e-15,0.1680000000000001,9.44902708273417e-07,0.1680000000000001,-6.494458825017292e-15,0.1680000000000001,-4.812122317973264e-15,0.1680000000000001,2.632755654650122e-05,0.1680000000000001,66.12765853696646,0.1680000000000001,3.981322963640649e-07,0.1680000000000001,27.86271678781152,0.1680000000000001,0.04624002275922428,0.1680000000000001,0.2642648364102932,0.1680000000000001,0.2,0.1680000000000001,0.1680000000000001
0.1760000000000001,-5.330135878944941e-15,0.1760000000000001,-2.903321279567999e-15,0.1760000000000001,1.179115258479655e-06,0.1760000000000001,-6.574419005929253e-15,0.1760000000000001,-5.36588763589312e-15,0.1760000000000001,3.242077473580966e-05,0.1760000000000001,65.34722723858501,0.1760000000000001,4.961308399121553e-07,0.1760000000000001,27.49584869564732,0.1760000000000001,0.04691402054406625,0.1760000000000001,0.2642648364102932,0.1760000000000001,0.2,0.1760000000000001,0.1760000000000001
