PM0:vgs X,PM0:vgs Y,PM0:vds X,PM0:vds Y,PM0:vth X,PM0:vth Y,PM0:vdsat X,PM0:vdsat Y,PM0:gmoverid X,PM0:gmoverid Y,PM0:self_gain X,PM0:self_gain Y,PM0:gds X,PM0:gds Y,PM0:gm X,PM0:gm Y,PM0:cgs X,PM0:cgs Y,PM0:id X,PM0:id Y,PM0:csb X,PM0:csb Y,PM0:cgd X,PM0:cgd Y,PM0:cdb X,PM0:cdb Y
0,0,0,-0.2,0,-0.2724479982008311,0,-0.04019992171373042,0,30.80994091735009,0,94.39360732561973,0,4.635869892505119e-10,0,4.375964822457912e-08,0,-3.095904944812198e-15,0,-1.420309414035314e-09,0,-8.830182140329812e-15,0,-3.099993248595832e-15,0,-7.995192178322372e-15
0.008,-0.008000000000000007,0.008,-0.2,0.008,-0.2724479982008311,0.008,-0.04020482274572887,0.008,30.74575357383149,0.008,94.27823915480032,0.008,5.925047599407107e-10,0.008,5.586030545804787e-08,0.008,-3.096279973250177e-15,0.008,-1.816846226527658e-09,0.008,-8.83035133777398e-15,0.008,-3.099991303415557e-15,0.008,-7.995194108459533e-15
0.016,-0.01600000000000001,0.016,-0.2,0.016,-0.2724479982008311,0.016,-0.04021107485693799,0.016,30.67426129935948,0.016,94.14968582865777,0.016,7.567860403072124e-10,0.016,7.125116793443798e-08,0.016,-3.096870400151134e-15,0.016,-2.322832427529074e-09,0.016,-8.830567814714278e-15,0.016,-3.099988798531765e-15,0.016,-7.99519657798909e-15
0.024,-0.02400000000000002,0.024,-0.2,0.024,-0.2724479982008311,0.024,-0.04021904330853704,0.024,30.59474475175139,0.024,94.00654732901378,0.024,9.659267680746566e-10,0.024,9.080344043937152e-08,0.024,-3.097736720079773e-15,0.024,-2.967942438351248e-09,0.024,-8.830844767391144e-15,0.024,-3.099985573134572e-15,0.024,-7.995199737491591e-15
0.032,-0.03200000000000003,0.032,-0.2,0.032,-0.2724479982008311,0.032,-0.04022918899633716,0.032,30.5064516804609,0.032,93.84732819877732,0.032,1.231888933325443e-09,0.032,1.156094850302345e-07,0.032,-3.098956686131029e-15,0.032,-3.789673316925283e-09,0.032,-8.831199068567117e-15,0.032,-3.099981420303128e-15,0.032,-7.995203779519236e-15
0.04,-0.04000000000000004,0.04,-0.2,0.04,-0.2724479982008311,0.04,-0.04024209215811856,0.04,30.40860655309991,0.04,93.67044618026678,0.04,1.569708006291631e-09,0.04,1.470352493220741e-07,0.04,-3.100630214332445e-15,0.04,-4.835316934359355e-09,0.04,-8.831652288396256e-15,0.04,-3.099976073826466e-15,0.04,-7.995208950262677e-15
0.048,-0.04800000000000004,0.048,-0.2,0.048,-0.2724479982008311,0.048,-0.04025848139553933,0.048,30.30042389841388,0.048,93.4742461460588,0.048,1.998237791130897e-09,0.048,1.867837711465263e-07,0.048,-3.102885674721549e-15,0.048,-6.164394685168829e-09,0.048,-8.832231996810092e-15,0.048,-3.099969191281009e-15,0.048,-7.995215564443121e-15
0.056,-0.05600000000000005,0.056,-0.2,0.056,-0.2724479982008311,0.056,-0.04027926896686637,0.056,30.18112597542277,0.056,93.2570204176499,0.056,2.541059753053114e-09,0.056,2.369716612729427e-07,0.056,-3.105887956827305e-15,0.056,-7.851650808310612e-09,0.056,-8.832973423866807e-15,0.056,-3.09996033231561e-15,0.056,-7.995224024310726e-15
0.064,-0.06400000000000006,0.064,-0.2,0.064,-0.2724479982008311,0.064,-0.04030559338027642,0.064,30.04996530245584,0.064,93.01703653005549,0.064,3.227588122532966e-09,0.064,3.002206822976221e-07,0.064,-3.109848802953074e-15,0.064,-9.990716467048252e-09,0.064,-8.833921574524573e-15,0.064,-3.099948930809993e-15,0.064,-7.995234843864354e-15
0.07200000000000001,-0.07200000000000006,0.07200000000000001,-0.2,0.07200000000000001,-0.2724479982008311,0.07200000000000001,-0.04033887034941126,0.07200000000000001,29.90625240237814,0.07200000000000001,92.75257330847391,0.07200000000000001,4.09440690172899e-09,0.07200000000000001,3.797667763073397e-07,0.07200000000000001,-3.115040035330686e-15,0.07200000000000001,-1.269857460163634e-08,0.07200000000000001,-8.835133919073357e-15,0.07200000000000001,-3.099934259215932e-15,0.07200000000000001,-7.995248679699754e-15
0.08000000000000002,-0.08000000000000007,0.08000000000000002,-0.2,0.08000000000000002,-0.2724479982008311,0.08000000000000002,-0.04038085313919194,0.08000000000000002,29.7493888006872,0.08000000000000002,92.46196570346487,0.08000000000000002,5.186880483609928e-09,0.08000000000000002,4.795891653835124e-07,0.08000000000000002,-3.121810468582253e-15,0.08000000000000002,-1.612097544160118e-08,0.08000000000000002,-8.836683810802635e-15,0.08000000000000002,-3.099915382948546e-15,0.08000000000000002,-7.995266370254732e-15
0.08800000000000002,-0.08800000000000008,0.08800000000000002,-0.2,0.08800000000000002,-0.2724479982008311,0.08800000000000002,-0.04043370319708051,0.08800000000000002,29.57890480544821,0.08800000000000002,92.14365808040169,0.08800000000000002,6.56108628100945e-09,0.08800000000000002,6.045624909133491e-07,0.08800000000000002,-3.130607503005113e-15,0.08800000000000002,-2.043897486265246e-08,0.08800000000000002,-8.838664819109086e-15,0.08800000000000002,-3.099891102154144e-15,0.08800000000000002,-7.995288985662666e-15
0.09600000000000003,-0.09600000000000009,0.09600000000000003,-0.2,0.09600000000000003,-0.2724479982008311,0.09600000000000003,-0.04050007169409123,0.09600000000000003,29.39450085671519,0.09600000000000003,91.79626446644887,0.09600000000000003,8.286126074383079e-09,0.09600000000000003,7.60635420526407e-07,0.09600000000000003,-3.142004642589618e-15,0.09600000000000003,-2.587679325118434e-08,0.09600000000000003,-8.841196209551107e-15,0.09600000000000003,-3.099859877530696e-15,0.09600000000000003,-7.995317890960551e-15
0.104,-0.1040000000000001,0.104,-0.2,0.104,-0.2724479982008311,0.104,-0.04058319214584129,0.104,29.19609022357152,0.104,91.41863251011119,0.104,1.04468834627201e-08,0.104,9.55039800154367e-07,0.104,-3.156736478094196e-15,0.104,-3.27112224171047e-08,0.104,-8.844429852001407e-15,0.104,-3.099819736115322e-15,0.104,-7.995354826030196e-15
0.112,-0.1120000000000001,0.112,-0.2,0.112,-0.2724479982008311,0.112,-0.04068698359948422,0.112,28.98383954285772,0.112,91.00990551850418,0.112,1.314730877370707e-08,0.112,1.196535329317681e-06,0.112,-3.175743018973723e-15,0.112,-4.128284413115409e-08,0.112,-8.84855889227231e-15,0.112,-3.099768152097025e-15,0.112,-7.995402006376959e-15
