NM0:vgs X,NM0:vgs Y,NM0:vds X,NM0:vds Y,NM0:vth X,NM0:vth Y,NM0:vdsat X,NM0:vdsat Y,NM0:gmoverid X,NM0:gmoverid Y,NM0:self_gain X,NM0:self_gain Y,NM0:gm X,NM0:gm Y,NM0:cgs X,NM0:cgs Y,NM0:id X,NM0:id Y,NM0:csb X,NM0:csb Y,NM0:cgd X,NM0:cgd Y,NM0:cdb X,NM0:cdb Y,NM0:gds X,NM0:gds Y
0,0,0,0.2,0,0.2415253619001211,0,0.04287826212441243,0,33.60864434938783,0,130.6377856853042,0,1.454215554250084e-07,0,-2.911337595106719e-15,0,4.326909509948204e-09,0,-6.205589941407572e-15,0,-2.900034784941308e-15,0,-5.325836246256568e-15,0,1.113166107815981e-09
0.008,0.008,0.008,0.2,0.008,0.2415253619001211,0.008,0.04288788762701461,0.008,33.49134155912968,0.008,130.1810809598795,0.008,1.895303983118712e-07,0.008,-2.917864027917071e-15,0.008,5.659086703891944e-09,0.008,-6.206893985776355e-15,0.008,-2.900045821110721e-15,0.008,-5.325851125103791e-15,0.008,1.455898175943727e-09
0.016,0.016,0.016,0.2,0.016,0.2415253619001211,0.016,0.04290041717877373,0.016,33.35981035813244,0.016,129.6688504713113,0.016,2.466644485921704e-07,0.016,-2.926845825289743e-15,0.016,7.394060497225702e-09,0.016,-6.208605377698486e-15,0.016,-2.900060356646394e-15,0.016,-5.325870653282161e-15,0.016,1.90226448137399e-09
0.024,0.024,0.024,0.2,0.024,0.2415253619001211,0.024,0.04291669974579279,0.024,33.21270888067499,0.024,129.0958158183066,0.024,3.205090499504928e-07,0.024,-2.939061387310589e-15,0.024,9.650193196867299e-09,0.024,-6.210851102596516e-15,0.024,-2.900079500299398e-15,0.024,-5.325896281319688e-15,0.024,2.482722216199377e-09
0.032,0.032,0.032,0.2,0.032,0.2415253619001211,0.032,0.04293781966101565,0.032,33.04869059919553,0.032,128.4566635826734,0.032,4.157221671524583e-07,0.032,-2.955536591518141e-15,0.032,1.257908155870067e-08,0.032,-6.213797572478e-15,0.032,-2.900104711670181e-15,0.032,-5.325929910950239e-15,0.032,3.236283393620166e-09
0.04,0.04,0.04,0.2,0.04,0.2415253619001211,0.04,0.04296515597265672,0.04,32.86644440026271,0.04,127.7461968654516,0.04,5.381624870690237e-07,0.04,-2.97762307995702e-15,0.04,1.637422313706486e-08,0.04,-6.21766275980545e-15,0.04,-2.900137911949025e-15,0.04,-5.325974034592099e-15,0.04,4.212747622035606e-09
0.048,0.048,0.048,0.2,0.048,0.2415253619001211,0.048,0.04300045410937105,0.048,32.66474523880294,0.048,126.9595269559738,0.048,6.951605225486772e-07,0.048,-3.007101058196093e-15,0.048,2.128167615221832e-08,0.048,-6.222731989824077e-15,0.048,-2.900181629418343e-15,0.048,-5.326031917332245e-15,0.048,5.475449847806543e-09
0.056,0.056,0.056,0.2,0.056,0.2415253619001211,0.056,0.04304591125329806,0.056,32.44251554458717,0.056,126.0923055764297,0.056,8.95837662078164e-07,0.056,-3.046314088276002e-15,0.056,2.761307667452942e-08,0.056,-6.229378439183426e-15,0.056,-2.900239190490978e-15,0.056,-5.326107833926493e-15,0.056,7.104617985870363e-09
0.064,0.064,0.064,0.2,0.064,0.2415253619001211,0.064,0.0431042764332557,0.064,32.19889643485259,0.064,125.1409937119816,0.064,1.151478139856612e-06,0.064,-3.098345485716384e-15,0.064,3.576141652250956e-08,0.064,-6.238089647388614e-15,0.064,-2.900314970295708e-15,0.064,-5.326207376675012e-15,0.064,9.201446350240741e-09
0.07200000000000001,0.07200000000000001,0.07200000000000001,0.2,0.07200000000000001,0.2415253619001211,0.07200000000000001,0.04317896567372858,0.07200000000000001,31.93332614968212,0.07200000000000001,124.1031565589117,0.07200000000000001,1.475959152898707e-06,0.07200000000000001,-3.167248529743977e-15,0.07200000000000001,4.622002584500624e-08,0.07200000000000001,-6.249501637399686e-15,0.07200000000000001,-2.900414720952223e-15,0.07200000000000001,-5.326337854016765e-15,0.07200000000000001,1.189300251358289e-08
