PM0:vgs X,PM0:vgs Y,PM0:vds X,PM0:vds Y,PM0:vdsat X,PM0:vdsat Y,PM0:gmoverid X,PM0:gmoverid Y,PM0:self_gain X,PM0:self_gain Y,PM0:gds X,PM0:gds Y,PM0:gm X,PM0:gm Y,PM0:cgs X,PM0:cgs Y,PM0:id X,PM0:id Y,PM0:csb X,PM0:csb Y,PM0:cgd X,PM0:cgd Y,PM0:cdb X,PM0:cdb Y,PM0:vth X,PM0:vth Y
0.1280000000000001,-0.1280000000000001,0.1280000000000001,-0.2,0.1280000000000001,-0.03774111367705649,0.1280000000000001,28.97785816892397,0.1280000000000001,524.8349917703117,0.1280000000000001,9.819357597193603e-10,0.1280000000000001,5.153542463712853e-07,0.1280000000000001,-4.357286844238498e-15,0.1280000000000001,-1.778441471482778e-08,0.1280000000000001,-9.128303601784921e-15,0.1280000000000001,-3.101662125703925e-15,0.1280000000000001,-7.998609777076441e-15,0.1280000000000001,-0.2525273259577732
0.1360000000000001,-0.1360000000000001,0.1360000000000001,-0.2,0.1360000000000001,-0.03804410259377387,0.1360000000000001,28.64703877414891,0.1360000000000001,517.5149524558543,0.1360000000000001,1.239663398275e-09,0.1360000000000001,6.415443446195494e-07,0.1360000000000001,-4.754321199760674e-15,0.1360000000000001,-2.239478748641438e-08,0.1360000000000001,-9.215692042689809e-15,0.1360000000000001,-3.102159960426386e-15,0.1360000000000001,-7.999612800565059e-15,0.1360000000000001,-0.2525273259577732
0.1440000000000001,-0.1440000000000001,0.1440000000000001,-0.2,0.1440000000000001,-0.03841454490061053,0.1440000000000001,28.3080577972497,0.1440000000000001,509.7840512466546,0.1440000000000001,1.56175879521754e-09,0.1440000000000001,7.961597256960918e-07,0.1440000000000001,-5.268802901638117e-15,0.1440000000000001,-2.812484460188086e-08,0.1440000000000001,-9.328145338429548e-15,0.1440000000000001,-3.102805959992392e-15,0.1440000000000001,-8.000905908923894e-15,0.1440000000000001,-0.2525273259577732
0.1520000000000001,-0.1520000000000001,0.1520000000000001,-0.2,0.1520000000000001,-0.03886460913675928,0.1520000000000001,27.9629268880581,0.1520000000000001,501.6367707987079,0.1520000000000001,1.963530356189861e-09,0.1520000000000001,9.849790272443188e-07,0.1520000000000001,-5.93403341924145e-15,0.1520000000000001,-3.522446101618326e-08,0.1520000000000001,-9.472521413776099e-15,0.1520000000000001,-3.103643593050606e-15,0.1520000000000001,-8.002570099371534e-15,0.1520000000000001,-0.2525273259577732
0.1600000000000001,-0.1600000000000001,0.1600000000000001,-0.2,0.1600000000000001,-0.03940776009947829,0.1600000000000001,27.61322617367738,0.1600000000000001,493.0563094859133,0.1600000000000001,2.463835987258007e-09,0.1600000000000001,1.214809879056015e-06,0.1600000000000001,-6.791898253749375e-15,0.1600000000000001,-4.399376850164024e-08,0.1600000000000001,-9.657335234267592e-15,0.1600000000000001,-3.104728659638054e-15,0.1600000000000001,-8.004707061415534e-15,0.1600000000000001,-0.2525273259577732
0.1680000000000001,-0.1680000000000001,0.1680000000000001,-0.2,0.1680000000000001,-0.04005863971636603,0.1680000000000001,27.25981439495196,0.1680000000000001,484.0101748391654,0.1680000000000001,3.085921146028678e-09,0.1680000000000001,1.493617233429218e-06,0.1680000000000001,-7.894481291701501e-15,0.1680000000000001,-5.479190769940075e-08,0.1680000000000001,-9.89301364434586e-15,0.1680000000000001,-3.106132506964724e-15,0.1680000000000001,-8.007443187416955e-15,0.1680000000000001,-0.2525273259577732
0.1760000000000001,-0.1760000000000002,0.1760000000000001,-0.2,0.1760000000000001,-0.04083287012352221,0.1760000000000001,26.90256436618915,0.1760000000000001,474.4467620500077,0.1760000000000001,3.858455723086734e-09,0.1760000000000001,1.830631824331822e-06,0.1760000000000001,-9.305549327489393e-15,0.1760000000000001,-6.80467408312874e-08,0.1760000000000001,-1.019208840382128e-14,0.1760000000000001,-3.10794589564374e-15,0.1760000000000001,-8.010933498266561e-15,0.1760000000000001,-0.2525273259577732
0.1840000000000001,-0.1840000000000002,0.1840000000000001,-0.2,0.1840000000000001,-0.04174677585560102,0.1840000000000001,26.54017378353652,0.1840000000000001,464.2939338004818,0.1840000000000001,4.816808707471746e-09,0.1840000000000001,2.236415063156471e-06,0.1840000000000001,-1.110152219711657e-14,0.1840000000000001,-8.426527581083098e-08,0.1840000000000001,-1.056924213971737e-14,0.1840000000000001,-3.110283521551318e-15,0.1840000000000001,-8.015364794377037e-15,0.1840000000000001,-0.2525273259577732
0.1920000000000001,-0.1920000000000002,0.1920000000000001,-0.2,0.1920000000000001,-0.04281702852339565,0.1920000000000001,26.17010118339687,0.1920000000000001,453.4605639132473,0.1920000000000001,6.0046034351645e-09,0.1920000000000001,2.722850859785116e-06,0.1920000000000001,-1.337129373994993e-14,0.1920000000000001,-1.040443382879357e-07,0.1920000000000001,-1.104107851211963e-14,0.1920000000000001,-3.11328910148327e-15,0.1920000000000001,-8.020956906812429e-15,0.1920000000000001,-0.2525273259577732
0.2000000000000001,-0.2000000000000002,0.2000000000000001,-0.2,0.2000000000000001,-0.04406022471602575,0.2000000000000001,25.78866454238131,0.2000000000000001,441.8416903040411,0.2000000000000001,7.475601121259869e-09,0.2000000000000001,3.303032235456246e-06,0.2000000000000001,-1.621396643273241e-14,0.2000000000000001,-1.280807786997473e-07,0.2000000000000001,-1.162544344948139e-14,0.2000000000000001,-3.117140772295526e-15,0.2000000000000001,-8.02796041274151e-15,0.2000000000000001,-0.2525273259577732
