NM0:vgs X,NM0:vgs Y,NM0:vds X,NM0:vds Y,NM0:vth X,NM0:vth Y,NM0:vdsat X,NM0:vdsat Y,NM0:gmoverid X,NM0:gmoverid Y,NM0:self_gain X,NM0:self_gain Y,NM0:gm X,NM0:gm Y,NM0:cgs X,NM0:cgs Y,NM0:id X,NM0:id Y,NM0:csb X,NM0:csb Y,NM0:cgd X,NM0:cgd Y,NM0:cdb X,NM0:cdb Y,NM0:gds X,NM0:gds Y
0,0,0,0.2,0,0.2472796206145076,0,0.04301811701383488,0,33.32634189387641,0,110.2536530899818,0,1.594340154621718e-07,0,-2.906992681651146e-15,0,4.784024101244333e-09,0,-6.204385171841197e-15,0,-2.900024142471678e-15,0,-5.325822501662119e-15,0,1.446065604121546e-09
0.008,0.008,0.008,0.2,0.008,0.2472796206145076,0.008,0.04302635382821429,0.008,33.2210511701635,0.008,109.9056480268195,0.008,2.074029340660561e-07,0.008,-2.911467217283108e-15,0.008,6.243117965921062e-09,0.008,-6.205300118758701e-15,0.008,-2.900031709428034e-15,0.008,-5.325832940660499e-15,0.008,1.8870998696577e-09
0.016,0.016,0.016,0.2,0.016,0.2472796206145076,0.016,0.0430370571849692,0.016,33.10296765684688,0.016,109.5154153816289,0.016,2.694566817082238e-07,0.016,-2.917645199099315e-15,0.016,8.139955662481851e-09,0.016,-6.206497085830603e-15,0.016,-2.900041646667789e-15,0.016,-5.325846598300584e-15,0.016,2.460445232931334e-09
0.024,0.024,0.024,0.2,0.024,0.2472796206145076,0.024,0.04305094494098227,0.024,32.97084116624801,0.024,109.0788451481654,0.024,3.495733071667283e-07,0.024,-2.92605971460976e-15,0.024,1.060249912005482e-08,0.024,-6.208062838270251e-15,0.024,-2.900054696140225e-15,0.024,-5.325864465506682e-15,0.024,3.204776386217616e-09
0.032,0.032,0.032,0.2,0.032,0.2472796206145076,0.032,0.04306893414450935,0.032,32.82339783623482,0.032,108.5917553949435,0.032,4.527856842294888e-07,0.032,-2.937411334172747e-15,0.032,1.379460145295943e-08,0.032,-6.210110738517468e-15,0.032,-2.900071831770074e-15,0.032,-5.325887837458942e-15,0.032,4.169613821811121e-09
0.04,0.04,0.04,0.2,0.04,0.2472796206145076,0.04,0.04309219183508955,0.04,32.65937131654015,0.04,108.0499966387308,0.04,5.854329576135344e-07,0.04,-2.952620493476188e-15,0.04,1.792542052192229e-08,0.04,-6.212788836425201e-15,0.04,-2.900094331823358e-15,0.04,-5.32591840649636e-15,0.04,5.418167291304518e-09
0.048,0.048,0.048,0.2,0.048,0.2472796206145076,0.048,0.04312219679199522,0.048,32.47754320663751,0.048,107.4495868469474,0.048,7.554613359165127e-07,0.048,-2.972896116039412e-15,0.048,2.326103727387212e-08,0.048,-6.216290376800195e-15,0.048,-2.900123873739879e-15,0.048,-5.32595838303651e-15,0.048,7.030844492614025e-09
0.056,0.056,0.056,0.2,0.056,0.2472796206145076,0.056,0.04316081370598101,0.056,32.27679335496026,0.056,106.7868789497947,0.056,9.727805469286037e-07,0.056,-2.999825404130879e-15,0.056,3.013869882807366e-08,0.056,-6.220867415579228e-15,0.056,-2.900162658331193e-15,0.056,-5.326010652711809e-15,0.056,9.109551252883342e-09
0.064,0.064,0.064,0.2,0.064,0.2472796206145076,0.064,0.04321038104535378,0.064,32.05615987791233,0.064,106.058760165518,0.064,1.249682368200889e-06,0.064,-3.035491138194577e-15,0.064,3.898415718052727e-08,0.064,-6.226848410791392e-15,0.064,-2.900213572305854e-15,0.064,-5.326078980138781e-15,0.064,1.178292454343802e-08
0.07200000000000001,0.07200000000000001,0.07200000000000001,0.2,0.07200000000000001,0.2472796206145076,0.07200000000000001,0.04327381345428478,0.07200000000000001,31.81490758614417,0.07200000000000001,105.262878435147,0.07200000000000001,1.601327849571478e-06,0.07200000000000001,-3.082624570209593e-15,0.07200000000000001,5.033262637227725e-08,0.07200000000000001,-6.234660855946455e-15,0.07200000000000001,-2.900280400721693e-15,0.07200000000000001,-5.326168272411583e-15,0.07200000000000001,1.521265495849103e-08
0.08000000000000002,0.08000000000000002,0.08000000000000002,0.2,0.08000000000000002,0.2472796206145076,0.08000000000000002,0.04335471878242488,0.08000000000000002,31.55260184158493,0.08000000000000002,104.3978855742553,0.08000000000000002,2.046310407421806e-06,0.08000000000000002,-3.14480408866964e-15,0.08000000000000002,6.485393580751684e-08,0.08000000000000002,-6.244860240286778e-15,0.08000000000000002,-2.900368104305373e-15,0.08000000000000002,-5.326284918520103e-15,0.08000000000000002,1.9601071383446e-08
0.08800000000000002,0.08800000000000002,0.08800000000000002,0.2,0.08800000000000002,0.2472796206145076,0.08800000000000002,0.04345752872313195,0.08800000000000002,31.26918269179877,0.08800000000000002,103.4636792986174,0.08800000000000002,2.607303221547405e-06,0.08800000000000002,-3.226712210756183e-15,0.08800000000000002,8.338251927323625e-08,0.08800000000000002,-6.258166823781261e-15,0.08800000000000002,-2.900483180749854e-15,0.08800000000000002,-5.326437224282272e-15,0.08800000000000002,2.520017883785279e-08
0.09600000000000003,0.09600000000000003,0.09600000000000003,0.2,0.09600000000000003,0.2472796206145076,0.09600000000000003,0.04358764047132316,0.09600000000000003,30.96503152247713,0.09600000000000003,102.4616173364615,0.09600000000000003,3.311801613330933e-06,0.09600000000000003,-3.334465892902192e-15,0.09600000000000003,1.069529549088163e-07,0.09600000000000003,-6.275511843925246e-15,0.09600000000000003,-2.900634134197527e-15,0.09600000000000003,-5.326635965635977e-15,0.09600000000000003,3.232236323632977e-08
0.104,0.104,0.104,0.2,0.104,0.2472796206145076,0.104,0.04375156477577846,0.104,30.64101968603656,0.104,101.3946672280758,0.104,4.192974408810124e-06,0.104,-3.476037072055447e-15,0.104,1.368418694463993e-07,0.104,-6.298094707864298e-15,0.104,-2.900832083143271e-15,0.104,-5.326895085352763e-15,0.104,4.135300724818699e-08
0.112,0.112,0.112,0.2,0.112,0.2472796206145076,0.112,0.04395707329360821,0.112,30.29852608906816,0.112,100.2674467380667,0.112,5.290642197130548e-06,0.112,-3.6617805105498e-15,0.112,1.746171476550733e-07,0.112,-6.327452249709929e-15,0.112,-2.90109154373325e-15,0.112,-5.327232557617785e-15,0.112,5.276530288989544e-08
0.1200000000000001,0.1200000000000001,0.1200000000000001,0.2,0.1200000000000001,0.2472796206145076,0.1200000000000001,0.04421333539061394,0.1200000000000001,29.93940931304225,0.1200000000000001,99.08610459484355,0.1200000000000001,6.652403345947376e-06,0.1200000000000001,-3.905081921833364e-15,0.1200000000000001,2.221955444413342e-07,0.1200000000000001,-6.365539870072233e-15,0.1200000000000001,-2.901431432234019e-15,0.1200000000000001,-5.327671438140554e-15,0.1200000000000001,6.713760090931628e-08
0.1280000000000001,0.1280000000000001,0.1280000000000001,0.2,0.1280000000000001,0.2472796206145076,0.1280000000000001,0.04453103172599328,0.1280000000000001,29.56592051137595,0.1280000000000001,97.85799291110692,0.1280000000000001,8.334927573066257e-06,0.1280000000000001,-4.223126338139057e-15,0.1280000000000001,2.819099637500794e-07,0.1280000000000001,-6.414821698205412e-15,0.1280000000000001,-2.901876335810314e-15,0.1280000000000001,-5.328241098717603e-15,0.1280000000000001,8.51737024755618e-08
0.1360000000000001,0.1360000000000001,0.1360000000000001,0.2,0.1360000000000001,0.2472796206145076,0.1360000000000001,0.04492242950057997,0.1360000000000001,29.18054718969216,0.1360000000000001,96.59109490814649,0.1360000000000001,1.040542697363939e-05,0.1360000000000001,-4.637756678650835e-15,0.1360000000000001,3.565877950281669e-07,0.1360000000000001,-6.478361876023431e-15,0.1360000000000001,-2.902458101724081e-15,0.1360000000000001,-5.32897860507065e-15,0.1360000000000001,1.077265661346365e-07
0.1440000000000001,0.1440000000000001,0.1440000000000001,0.2,0.1440000000000001,0.2472796206145076,0.1440000000000001,0.04540140263939491,0.1440000000000001,28.78578594967206,0.1440000000000001,95.29319764411025,0.1440000000000001,1.294328942233836e-05,0.1440000000000001,-5.176332985062841e-15,0.1440000000000001,4.496416895244399e-07,0.1440000000000001,-6.559900391447841e-15,0.1440000000000001,-2.903217786352774e-15,0.1440000000000001,-5.329930121730159e-15,0.1440000000000001,1.35825953397822e-07
0.1520000000000001,0.1520000000000001,0.1520000000000001,0.2,0.1520000000000001,0.2472796206145076,0.1520000000000001,0.04598337998647282,0.1520000000000001,28.38385458703132,0.1520000000000001,93.97084031926606,0.1520000000000001,1.604181289499261e-05,0.1520000000000001,-5.872397800637629e-15,0.1520000000000001,5.651738685482986e-07,0.1520000000000001,-6.663883331542309e-15,0.1520000000000001,-2.904207978435499e-15,0.1520000000000001,-5.331152101726667e-15,0.1520000000000001,1.707105399982646e-07
0.1600000000000001,0.1600000000000001,0.1600000000000001,0.2,0.1600000000000001,0.2472796206145076,0.1600000000000001,0.04668520634201815,0.1600000000000001,27.97636954786079,0.1600000000000001,92.6281213320482,0.1600000000000001,1.980990765920096e-05,0.1600000000000001,-6.765790198592862e-15,0.1600000000000001,7.080942947759254e-07,0.1600000000000001,-6.795398822949119e-15,0.1600000000000001,-2.905495453578037e-15,0.1600000000000001,-5.332711831901074e-15,0.1600000000000001,2.138649405204656e-07
0.1680000000000001,0.1680000000000001,0.1680000000000001,0.2,0.1680000000000001,0.2472796206145076,0.1680000000000001,0.04752490523220523,0.1680000000000001,27.56403093663917,0.1680000000000001,91.26550300667786,0.1680000000000001,2.437353865928661e-05,0.1680000000000001,-7.901640972591709e-15,0.1680000000000001,8.842516075172246e-07,0.1680000000000001,-6.959949625627356e-15,0.1680000000000001,-2.907164015938002e-15,0.1680000000000001,-5.334686673944352e-15,0.1680000000000001,2.670619002396032e-07
0.1760000000000001,0.1760000000000001,0.1760000000000001,0.2,0.1760000000000001,0.2472796206145076,0.1760000000000001,0.04852133872988871,0.1760000000000001,27.14636965124219,0.1760000000000001,89.87879775484168,0.1760000000000001,2.987657448023648e-05,0.1760000000000001,-9.327496449173319e-15,0.1760000000000001,1.100573478887559e-06,0.1760000000000001,-7.162982021541111e-15,0.1760000000000001,-2.909317231525057e-15,0.1760000000000001,-5.337161148298784e-15,0.1760000000000001,3.324095918787148e-07
0.1840000000000001,0.1840000000000001,0.1840000000000001,0.2,0.1840000000000001,0.2472796206145076,0.1840000000000001,0.04969376809328924,0.1840000000000001,26.72161460624343,0.1840000000000001,88.45853646955237,0.1840000000000001,3.648061504825643e-05,0.1840000000000001,-1.108783351301626e-14,0.1840000000000001,1.365209984191515e-06,0.1840000000000001,-7.409109380704907e-15,0.1840000000000001,-2.912080572052428e-15,0.1840000000000001,-5.340221036384129e-15,0.1840000000000001,4.124035565613629e-07
0.1920000000000001,0.1920000000000001,0.1920000000000001,0.2,0.1920000000000001,0.2472796206145076,0.1920000000000001,0.05106132867486445,0.1920000000000001,26.28672812788072,0.1920000000000001,86.98989485810563,0.1920000000000001,4.436332023587002e-05,0.1920000000000001,-1.321571337098187e-14,0.1920000000000001,1.687669915626563e-06,0.1920000000000001,-7.701044918799672e-15,0.1920000000000001,-2.915602329690529e-15,0.1920000000000001,-5.34394419496583e-15,0.1920000000000001,5.099824561029033e-07
0.2000000000000001,0.2000000000000001,0.2000000000000001,0.2,0.2000000000000001,0.2472796206145076,0.2000000000000001,0.05264244232517551,0.2000000000000001,25.83763328662153,0.2000000000000001,85.45328137315587,0.2000000000000001,5.371479116736912e-05,0.2000000000000001,-1.572248318779882e-14,0.2000000000000001,2.07893620043333e-06,0.2000000000000001,-8.038404581545555e-15,0.2000000000000001,-2.920052646008849e-15,0.2000000000000001,-5.348388977908631e-15,0.2000000000000001,6.285866417792468e-07
0.2080000000000001,0.2080000000000001,0.2080000000000001,0.2,0.2080000000000001,0.2472796206145076,0.2080000000000001,0.05445419903547447,0.2080000000000001,25.36962172514967,0.2080000000000001,83.82558135940761,0.2080000000000001,6.473169261197747e-05,0.2080000000000001,-1.85880792080684e-14,0.2080000000000001,2.551543468754725e-06,0.2080000000000001,-8.41671985463971e-15,0.2080000000000001,-2.925620255192723e-15,0.2080000000000001,-5.353582839281337e-15,0.2080000000000001,7.722188329888956e-07
0.2160000000000001,0.2160000000000001,0.2160000000000001,0.2,0.2160000000000001,0.2472796206145076,0.2160000000000001,0.05651174553550047,0.2160000000000001,24.87789266688744,0.2160000000000001,82.08193087355788,0.2160000000000001,7.760905539260064e-05,0.2160000000000001,-2.175573888447805e-14,0.2160000000000001,3.119599253734062e-06,0.2160000000000001,-8.827102221150432e-15,0.2160000000000001,-2.93250712231013e-15,0.2160000000000001,-5.359514994916483e-15,0.2160000000000001,9.455071849144555e-07
0.2240000000000001,0.2240000000000001,0.2240000000000001,0.2,0.2240000000000001,0.2472796206145076,0.2240000000000001,0.05882772098979961,0.2240000000000001,24.35814387056341,0.2240000000000001,80.19779325315177,0.2240000000000001,9.253003961203903e-05,0.2240000000000001,-2.513453960415034e-14,0.2240000000000001,3.798731139331326e-06,0.2240000000000001,-9.256894066712199e-15,0.2240000000000001,-2.940921914798063e-15,0.2240000000000001,-5.366136748872333e-15,0.2240000000000001,1.153772888986601e-06
0.2320000000000002,0.2320000000000002,0.2320000000000002,0.2,0.2320000000000002,0.2472796206145076,0.2320000000000002,0.06141177830221854,0.2320000000000002,23.80712246353112,0.2320000000000002,78.15106089084733,0.2320000000000002,0.0001096543189208746,0.2320000000000002,-2.861059046527712e-14,0.2320000000000002,4.605945934629823e-06,0.2320000000000002,-9.691295498848939e-15,0.2320000000000002,-2.951073832212365e-15,0.2320000000000002,-5.373370704109912e-15,0.2320000000000002,1.403107234513777e-06
0.2400000000000002,0.2400000000000002,0.2400000000000002,0.2,0.2400000000000002,0.2472796206145076,0.2400000000000002,0.06427022390488983,0.2400000000000002,23.22305179132855,0.2400000000000002,75.92391731812396,0.2400000000000002,0.0001291060867047308,0.2400000000000002,-3.206402173742294e-14,0.2400000000000002,5.559393652046651e-06,0.2400000000000002,-1.011553436358903e-14,0.2400000000000002,-2.963168382160118e-15,0.2400000000000002,-5.381126566043919e-15,0.2400000000000002,1.700466615332446e-06
0.2480000000000002,0.2480000000000002,0.2480000000000002,0.2,0.2480000000000002,0.2472796206145076,0.2480000000000002,0.06740579989425692,0.2480000000000002,22.60587683017596,0.2480000000000002,73.50426341403495,0.2480000000000002,0.0001509629058967033,0.2480000000000002,-3.538642493602367e-14,0.2480000000000002,6.678038062216746e-06,0.2480000000000002,-1.051691280641747e-14,0.2480000000000002,-2.977406142931192e-15,0.2480000000000002,-5.389318694845724e-15,0.2480000000000002,2.053797955179268e-06
0.2560000000000002,0.2560000000000002,0.2560000000000002,0.2,0.2560000000000002,0.2472796206145076,0.2560000000000002,0.07081762104887268,0.2560000000000002,21.95730704238782,0.2560000000000002,70.88661218692323,0.2560000000000002,0.0001752466614926502,0.2560000000000002,-3.849366383795063e-14,0.2560000000000002,7.981245658185436e-06,0.2560000000000002,-1.088616534426983e-14,0.2560000000000002,-2.993984668947198e-15,0.2560000000000002,-5.397880465138768e-15,0.2560000000000002,2.472210987182411e-06
0.2640000000000002,0.2640000000000002,0.2640000000000002,0.2,0.2640000000000002,0.2472796206145076,0.2640000000000002,0.07450126696369287,0.2640000000000002,21.28067156418336,0.2640000000000002,68.0724584537613,0.2640000000000002,0.0002019177020525941,0.2640000000000002,-4.133154001906032e-14,0.2640000000000002,9.488314381823188e-06,0.2640000000000002,-1.121790632348517e-14,0.2640000000000002,-3.0131029086023e-15,0.2640000000000002,-5.406772568933668e-15,0.2640000000000002,2.966217272580924e-06
