NM0:vgs X,NM0:vgs Y,NM0:vds X,NM0:vds Y,NM0:vth X,NM0:vth Y,NM0:gmoverid X,NM0:gmoverid Y,NM0:self_gain X,NM0:self_gain Y,NM0:gds X,NM0:gds Y,NM0:gm X,NM0:gm Y,NM0:cgs X,NM0:cgs Y,NM0:id X,NM0:id Y,NM0:csb X,NM0:csb Y,NM0:cgd X,NM0:cgd Y,NM0:cdb X,NM0:cdb Y,NM0:vdsat X,NM0:vdsat Y
0.09600000000000003,0.09600000000000003,0.09600000000000003,0.2,0.09600000000000003,0.2298855757036051,0.09600000000000003,30.99148426361954,0.09600000000000003,193.7062532276347,0.09600000000000003,1.046552710093542e-08,0.09600000000000003,2.02723804277447e-06,0.09600000000000003,-4.664251484744171e-15,0.09600000000000003,6.541274475203826e-08,0.09600000000000003,-6.500430931563679e-15,0.09600000000000003,-2.902767315931447e-15,0.09600000000000003,-5.329214108215413e-15,0.09600000000000003,0.04347053417348443
0.104,0.104,0.104,0.2,0.104,0.2298855757036051,0.104,30.58640028217562,0.104,190.9877392362311,0.104,1.340175953317175e-08,0.104,2.559571755028081e-06,0.104,-5.249457630373008e-15,0.104,8.368332782457746e-08,0.104,-6.594615355066735e-15,0.104,-2.903661551661224e-15,0.104,-5.330299295104294e-15,0.104,0.04373490357824132
0.112,0.112,0.112,0.2,0.112,0.2298855757036051,0.112,30.16609375663663,0.112,188.1329809629294,0.112,1.710940456083772e-08,0.112,3.218843282531141e-06,0.112,-6.021446568190974e-15,0.112,1.067040139557041e-07,0.112,-6.717676892154297e-15,0.112,-2.904842599172404e-15,0.112,-5.331721800966861e-15,0.112,0.04406373880789309
0.1200000000000001,0.1200000000000001,0.1200000000000001,0.2,0.1200000000000001,0.2298855757036051,0.1200000000000001,29.7337730652407,0.1200000000000001,185.1543475627677,0.1200000000000001,2.177491958256821e-08,0.1200000000000001,4.031721028542151e-06,0.1200000000000001,-7.037006425099052e-15,0.1200000000000001,1.355939936134731e-07,0.1200000000000001,-6.87788159833605e-15,0.1200000000000001,-2.906400820309144e-15,0.1200000000000001,-5.333581585933937e-15,0.1200000000000001,0.0444699687474869
0.1280000000000001,0.1280000000000001,0.1280000000000001,0.2,0.1280000000000001,0.2298855757036051,0.1280000000000001,29.29265812340151,0.1280000000000001,182.063228074358,0.1280000000000001,2.762602918159851e-08,0.1280000000000001,5.029684051678239e-06,0.1280000000000001,-8.36795128291869e-15,0.1280000000000001,1.717045970004741e-07,0.1280000000000001,-7.085421792695254e-15,0.1280000000000001,-2.908453783939475e-15,0.1280000000000001,-5.336004486795174e-15,0.1280000000000001,0.04496816387134017
0.1360000000000001,0.1360000000000001,0.1360000000000001,0.2,0.1360000000000001,0.2298855757036051,0.1360000000000001,28.84563492202889,0.1360000000000001,178.8678278708743,0.1360000000000001,3.494038176104285e-08,0.1360000000000001,6.249710190576849e-06,0.1360000000000001,-1.010315082068146e-14,0.1360000000000001,2.166605177471187e-07,0.1360000000000001,-7.352532768481608e-15,0.1360000000000001,-2.911153470754774e-15,0.1360000000000001,-5.339146038416167e-15,0.1360000000000001,0.04557445447564899
0.1440000000000001,0.1440000000000001,0.1440000000000001,0.2,0.1440000000000001,0.2298855757036051,0.1440000000000001,28.39487855927,0.1440000000000001,175.5708080667714,0.1440000000000001,4.405601698222915e-08,0.1440000000000001,7.734950501773375e-06,0.1440000000000001,-1.234909151718841e-14,0.1440000000000001,2.724065359850907e-07,0.1440000000000001,-7.693342357055417e-15,0.1440000000000001,-2.914694620602254e-15,0.1440000000000001,-5.34319359077146e-15,0.1440000000000001,0.04630635580521038
0.1520000000000001,0.1520000000000001,0.1520000000000001,0.2,0.1520000000000001,0.2298855757036051,0.1520000000000001,27.94149739489139,0.1520000000000001,172.1671206997325,0.1520000000000001,5.538395049520924e-08,0.1520000000000001,9.535295289736696e-06,0.1520000000000001,-1.522732026223553e-14,0.1520000000000001,3.412592804584109e-07,0.1520000000000001,-8.123242897943399e-15,0.1520000000000001,-2.919323812246983e-15,0.1520000000000001,-5.348364755530994e-15,0.1520000000000001,0.04718249214302554
0.1600000000000001,0.1600000000000001,0.1600000000000001,0.2,0.1600000000000001,0.2298855757036051,0.1600000000000001,27.4852620775389,0.1600000000000001,168.6424665260402,0.1600000000000001,6.942317132077165e-08,0.1600000000000001,1.170769484559479e-05,0.1600000000000001,-1.886652354903503e-14,0.1600000000000001,4.259626420384784e-07,0.1600000000000001,-8.657534522675804e-15,0.1600000000000001,-2.925348376017252e-15,0.1600000000000001,-5.354899564642751e-15,0.1600000000000001,0.04822221947223396
0.1680000000000001,0.1680000000000001,0.1680000000000001,0.2,0.1680000000000001,0.2298855757036051,0.1680000000000001,27.02448231390046,0.1680000000000001,164.9727967736188,0.1680000000000001,8.677832479619048e-08,0.1680000000000001,1.431606294095702e-05,0.1680000000000001,-2.33869858025321e-14,0.1680000000000001,5.297442067767266e-07,0.1680000000000001,-9.309141682925156e-15,0.1680000000000001,-2.933143623681826e-15,0.1680000000000001,-5.363043730810558e-15,0.1680000000000001,0.04944515528045598
