PM0:id X,PM0:id Y,PM0:gm X,PM0:gm Y,PM0:gds X,PM0:gds Y,PM0:gmoverid X,PM0:gmoverid Y,PM0:self_gain X,PM0:self_gain Y,PM0:cgs X,PM0:cgs Y,PM0:cdb X,PM0:cdb Y,PM0:csb X,PM0:csb Y,PM0:cgd X,PM0:cgd Y,PM0:vdsat X,PM0:vdsat Y,PM0:vth X,PM0:vth Y
0,-1.699390979575559e-10,0,5.476162118963789e-09,0,9.291453477886586e-12,0,32.22426548045454,0,589.3762619591122,0,-1.538555864194522e-15,0,-4.0217056443831e-15,0,-4.440653733366451e-15,0,-1.55001247606433e-15,0,-0.03650189868900404,0,-0.2521888350007543
0.006,-2.061452210832633e-10,0.006,6.628603655129194e-09,0.006,1.127151065462119e-11,0.006,32.1550221168129,0.006,588.0847615054638,0.006,-1.539847466719065e-15,0.006,-4.021711473841208e-15,0.006,-4.44116473665315e-15,0.006,-1.550015200494467e-15,0.006,-0.03650702616139161,0.006,-0.2521888350007543
0.012,-2.499568547239817e-10,0.012,8.018555012296744e-09,0.012,1.366772689106764e-11,0.012,32.07975835704664,0.012,586.6780245321671,0.012,-1.541621591211177e-15,0.012,-4.021718559257242e-15,0.012,-4.441785823528506e-15,0.012,-1.55001851963414e-15,0.012,-0.03651322885805443,0.012,-0.2521888350007543
0.018,-3.029370580496641e-10,0.018,9.69339314403595e-09,0.018,1.656573486233355e-11,0.018,31.99804504651416,0.018,585.1471863211071,0.018,-1.5439826542679e-15,0.018,-4.021727170983684e-15,0.018,-4.442540684290144e-15,0.018,-1.5500225632381e-15,0.018,-0.0365207268905428,0.018,-0.2521888350007543
0.024,-3.669593459644535e-10,0.024,1.170946838561965e-08,0.024,2.006822423427269e-11,0.024,31.90944446228857,0.024,583.4830351168846,0.024,-1.547057940421217e-15,0.024,-4.021737637484966e-15,0.024,-4.443458098626875e-15,0.024,-1.550027489351377e-15,0.024,-0.03652978369061576,0.024,-0.2521888350007543
0.03,-4.442661029628005e-10,0.03,1.413366594223822e-08,0.03,2.429817330465256e-11,0.03,31.81351521278765,0.03,581.676069432427,0.03,-1.551002592060011e-15,0.03,-4.02175035779618e-15,0.03,-4.444573025383286e-15,0.03,-1.550033490470124e-15,0.03,-0.0365407139794747,0.03,-0.2521888350007543
0.036,-5.37537056700544e-10,0.036,1.704520192154224e-08,0.036,2.940264731877755e-11,0.036,31.70981830999355,0.036,579.7165723460753,0.036,-1.556005682580176e-15,0.036,-4.021765816638763e-15,0.036,-4.445927924085685e-15,0.036,-1.55004080104109e-15,0.036,-0.03655389302786728,0.036,-0.2521888350007543
0.042,-6.499692970414328e-10,0.042,2.053768030933009e-08,0.042,3.555725174665293e-11,0.042,31.59792452110731,0.042,577.594704328164,0.042,-1.562297605319876e-15,0.042,-4.021784602753514e-15,0.042,-4.44757435678664e-15,0.042,-1.550049706589275e-15,0.042,-0.03656976736082557,0.042,-0.2521888350007543
0.04799999999999999,-7.853704889034107e-10,0.04799999999999999,2.472143867461427e-08,0.04799999999999999,4.297134054012654e-11,0.04799999999999999,31.47742307827899,0.04799999999999999,575.300615802978,0.04799999999999999,-1.570159059536265e-15,0.04799999999999999,-4.021807431126373e-15,0.04799999999999999,-4.449574928611982e-15,0.04799999999999999,-1.550060554825243e-15,0.04799999999999999,-0.03658886706258858,0.04799999999999999,-0.2521888350007543
0.05399999999999999,-9.482670981942843e-10,0.05399999999999999,2.972621182775733e-08,0.05399999999999999,5.189409266705663e-11,0.05399999999999999,31.34793178018139,0.05399999999999999,572.8245798317639,0.05399999999999999,-1.579931972977858e-15,0.05399999999999999,-4.021835169919793e-15,0.05399999999999999,-4.452005637041609e-15,0.05399999999999999,-1.550073769158611e-15,0.05399999999999999,-0.03661181983086979,0.05399999999999999,-0.2521888350007543
0.05999999999999999,-1.144029630318897e-09,0.05999999999999999,3.57041443330693e-08,0.05999999999999999,6.262158545509965e-11,0.05999999999999999,31.20910845363094,0.05999999999999999,570.1571442752683,0.05999999999999999,-1.59203277009529e-15,0.05999999999999999,-4.021868873085632e-15,0.05999999999999999,-4.454958713677079e-15,0.05999999999999999,-1.550089865134631e-15,0.05999999999999999,-0.03663936691506421,0.05999999999999999,-0.2521888350007543
0.06599999999999999,-1.379017072418811e-09,0.06599999999999999,4.283318498692272e-08,0.06599999999999999,7.550501110974982e-11,0.06599999999999999,31.06066365317731,0.06599999999999999,567.2893011652276,0.06599999999999999,-1.606968477306259e-15,0.06599999999999999,-4.021909819828334e-15,0.06599999999999999,-4.458546058288228e-15,0.06599999999999999,-1.55010947041995e-15,0.06599999999999999,-0.03667238104532842,0.06599999999999999,-0.2521888350007543
0.07199999999999999,-1.660742938017728e-09,0.07199999999999999,5.132089951410159e-08,0.07199999999999999,9.096020403624287e-11,0.07199999999999999,30.90237435808283,0.07199999999999999,564.2126692421765,0.07199999999999999,-1.625356253691168e-15,0.07199999999999999,-4.02195956231326e-15,0.07199999999999999,-4.462903383488633e-15,0.07199999999999999,-1.550133349094615e-15,0.07199999999999999,-0.0367118864192747,0.07199999999999999,-0.2521888350007543
0.078,-1.998065543107361e-09,0.078,6.140874229946443e-08,0.078,1.09478672565455e-10,0.078,30.73409827711298,0.078,560.919682897593,0.078,-1.6479470485841e-15,0.078,-4.022019983277849e-15,0.078,-4.46819520957202e-15,0.078,-1.550162431164526e-15,0.078,-0.03675908075192775,0.078,-0.2521888350007543
0.08400000000000001,-2.40140540605495e-09,0.08400000000000001,7.337683448692827e-08,0.08400000000000001,1.316403609058507e-10,0.08400000000000001,30.55578819208048,0.08400000000000001,557.4037778535677,0.08400000000000001,-1.675654217824674e-15,0.08400000000000001,-4.022093365505119e-15,0.08400000000000001,-4.474620872777118e-15,0.08400000000000001,-1.550197848396083e-15,0.08400000000000001,-0.03681535931474127,0.08400000000000001,-0.2521888350007543
0.09000000000000001,-2.882992973173018e-09,0.09000000000000001,8.754930469502963e-08,0.09000000000000001,1.581284076930322e-10,0.09000000000000001,30.36750556475303,0.09000000000000001,553.6595604313254,0.09000000000000001,-1.70958807811021e-15,0.09000000000000001,-4.022182475460277e-15,0.09000000000000001,-4.482421736160003e-15,0.09000000000000001,-1.550240977797447e-15,0.09000000000000001,-0.03688234078508804,0.09000000000000001,-0.2521888350007543
