NM0:cgs X,NM0:cgs Y,NM0:cdb X,NM0:cdb Y,NM0:csb X,NM0:csb Y,NM0:cgd X,NM0:cgd Y,NM0:id X,NM0:id Y,NM0:gm X,NM0:gm Y,NM0:gds X,NM0:gds Y,NM0:vth X,NM0:vth Y,NM0:gmoverid X,NM0:gmoverid Y,NM0:self_gain X,NM0:self_gain Y,NM0:vdsat X,NM0:vdsat Y
0.09600000000000002,-1.451908389028822e-15,0.09600000000000002,-2.692186308476106e-15,0.09600000000000002,-3.129314303273383e-15,0.09600000000000002,-1.449898543297025e-15,0.09600000000000002,3.714848987109878e-08,0.09600000000000002,9.464674597778241e-07,0.09600000000000002,8.064752350463871e-08,0.09600000000000002,0.3663703174794232,0.09600000000000002,25.47795256165048,0.09600000000000002,11.73585274101299,0.09600000000000002,0.0423425249103404
0.102,-1.452363504284414e-15,0.102,-2.692187135729727e-15,0.102,-3.129386786248893e-15,0.102,-1.449881275868239e-15,0.102,4.327968519608889e-08,0.102,1.101110922867153e-06,0.102,9.388802727420389e-08,0.102,0.3663703174794232,0.102,25.44174988263383,0.102,11.72791627255425,0.102,0.04234871065340871
0.108,-1.452900450729668e-15,0.108,-2.692188095164475e-15,0.108,-3.129470843044543e-15,0.108,-1.449861073249733e-15,0.108,5.041149569660949e-08,0.108,1.280610541391632e-06,0.108,1.092720038146176e-07,0.108,0.3663703174794232,0.108,25.40314518706584,0.108,11.71947522408591,0.108,0.04235590372765852
0.114,-1.453532982079727e-15,0.114,-2.692189207807731e-15,0.114,-3.129568312076237e-15,0.114,-1.449837437153706e-15,0.114,5.870447430169469e-08,0.114,1.488863293071084e-06,0.114,1.271391302041358e-07,0.114,0.3663703174794232,0.114,25.36200713256217,0.114,11.71050400203738,0.114,0.04236426499107304
0.12,-1.454277167096583e-15,0.12,-2.692190498010776e-15,0.12,-3.129681321391559e-15,0.12,-1.449809784839954e-15,0.12,6.834428104408467e-08,0.12,1.730354366271269e-06,0.12,1.478811841984913e-07,0.12,0.3663703174794232,0.12,25.31820282127128,0.12,11.7009772111963,0.12,0.0423739801855019
0.126,-1.455151777986749e-15,0.126,-2.692191993968665e-15,0.126,-3.129812333622508e-15,0.126,-1.449777434844114e-15,0.126,7.954545839962208e-08,0.126,2.010240910363669e-06,0.126,1.719496422727411e-07,0.126,0.3663703174794232,0.126,25.27159882763032,0.126,11.69086997677546,0.126,0.04238526358427651
0.132,-1.456178743494312e-15,0.132,-2.692193728319702e-15,0.132,-3.129964197698267e-15,0.132,-1.449739590311389e-15,0.132,9.25557412115309e-08,0.132,2.334446678873068e-06,0.132,1.998643009750267e-07,0.132,0.3663703174794232,0.132,25.22206241537983,0.132,11.68015832484642,0.132,0.04239836212396498
0.138,-1.457383677234385e-15,0.138,-2.692195738836113e-15,0.138,-3.130140208257763e-15,0.138,-1.449695319542566e-15,0.138,1.076609701976339e-07,0.138,2.709768798475299e-06,0.138,2.322230427061956e-07,0.138,0.3663703174794232,0.138,25.16946295728984,0.138,11.66881962658482,0.138,0.04241356007181833
0.144,-1.458796493408183e-15,0.144,-2.692198069218971e-15,0.144,-3.130344173802637e-15,0.144,-1.449643533299117e-15,0.144,1.25190685780909e-07,0.144,3.143998013581404e-06,0.144,2.697128785817945e-07,0.144,0.3663703174794232,0.144,25.11367356783376,0.144,11.65683311124477,0.144,0.04243118428261879
0.15,-1.460452123811685e-15,0.15,-2.692200770011938e-15,0.15,-3.130580494729819e-15,0.15,-1.449582958347512e-15,0.15,1.455244874605795e-07,0.15,3.646053884858033e-06,0.15,3.131224133756396e-07,0.15,0.3663703174794232,0.15,25.05457295420864,0.15,11.64418045182865,0.15,0.04245161009993232
0.1560000000000001,-1.462391351974465e-15,0.1560000000000001,-2.692203899649959e-15,0.1560000000000001,-3.130854252471894e-15,0.1560000000000001,-1.449512106650261e-15,0.1560000000000001,1.690992532319465e-07,0.1560000000000001,4.226136563482083e-06,0.1560000000000001,3.63355890768755e-07,0.1560000000000001,0.3663703174794232,0.1560000000000001,24.99204748423718,0.1560000000000001,11.63084642591265,0.1560000000000001,0.04247526795677772
0.1620000000000001,-1.464661782294737e-15,0.1620000000000001,-2.692207525660542e-15,0.1620000000000001,-3.131171311041244e-15,0.1620000000000001,-1.449429239534502e-15,0.1620000000000001,1.964173237681724e-07,0.1620000000000001,4.895896924917367e-06,0.1620000000000001,4.214489913446459e-07,0.1620000000000001,0.3663703174794232,0.1620000000000001,24.92599346037404,0.1620000000000001,11.61681965187972,0.1620000000000001,0.04250265072907224
0.1680000000000001,-1.467318964075072e-15,0.1680000000000001,-2.692211726036561e-15,0.1680000000000001,-3.131538432303415e-15,0.1680000000000001,-1.449332326091676e-15,0.1680000000000001,2.280557673203855e-07,0.1680000000000001,5.668627031022917e-06,0.1680000000000001,4.885865711213341e-07,0.1680000000000001,0.3663703174794232,0.1680000000000001,24.85631957679747,0.1680000000000001,11.60209339772293,0.1680000000000001,0.04253432189135844
0.1740000000000001,-1.470427692243098e-15,0.1740000000000001,-2.692216590800391e-15,0.1740000000000001,-3.131963406270873e-15,0.1740000000000001,-1.44921899499025e-15,0.1740000000000001,2.64676853726922e-07,0.1740000000000001,6.559473102457311e-06,0.1740000000000001,5.661225450557675e-07,0.1740000000000001,0.3663703174794232,0.1740000000000001,24.78294952093167,0.1740000000000001,11.58666645542469,0.1740000000000001,0.04257092451769971
0.1800000000000001,-1.474063507985606e-15,0.1800000000000001,-2.692222223779378e-15,0.1800000000000001,-3.132455197573653e-15,0.1800000000000001,-1.449086478827885e-15,0.1800000000000001,3.070398797329786e-07,0.1800000000000001,7.585673429894304e-06,0.1800000000000001,6.556021380668731e-07,0.1800000000000001,0.3663703174794232,0.1800000000000001,24.70582466127377,0.1800000000000001,11.57054406848281,0.1800000000000001,0.04261319116055275
0.1860000000000001,-1.478314423093537e-15,0.1860000000000001,-2.69222874461156e-15,0.1860000000000001,-3.133024108975946e-15,0.1860000000000001,-1.448931550126503e-15,0.1860000000000001,3.560145032224922e-07,0.1860000000000001,8.766823937052963e-06,0.1860000000000001,7.587867458369619e-07,0.1860000000000001,0.3663703174794232,0.1860000000000001,24.62490673974641,0.1860000000000001,11.5537388932419,0.1860000000000001,0.04266195462612807
0.1920000000000001,-1.483282890834862e-15,0.1920000000000001,-2.692236290997638e-15,0.1920000000000001,-3.133681962294116e-15,0.1920000000000001,-1.44875044810857e-15,0.1920000000000001,4.125957611914022e-07,0.1920000000000001,1.012517443337991e-05,0.1920000000000001,8.776816690106244e-07,0.1920000000000001,0.3663703174794232,0.1920000000000001,24.5401804587888,0.1920000000000001,11.53627196611457,0.1920000000000001,0.04271815964542262
0.1980000000000001,-1.489088042636489e-15,0.1980000000000001,-2.692245021209351e-15,0.1980000000000001,-3.134442296231145e-15,0.1980000000000001,-1.448538795523636e-15,0.1980000000000001,4.779209655835925e-07,0.1980000000000001,1.168595895738102e-05,0.1980000000000001,1.014567007256193e-06,0.1980000000000001,0.3663703174794232,0.1980000000000001,24.45165582114521,0.1980000000000001,11.51817363841217,0.1980000000000001,0.0427828754148788
0.2040000000000001,-1.495868202307514e-15,0.2040000000000001,-2.692255116854424e-15,0.2040000000000001,-3.135320579339514e-15,0.2040000000000001,-1.448291505075708e-15,0.2040000000000001,5.532886926736961e-07,0.2040000000000001,1.347776400342218e-05,0.2040000000000001,1.172032023474033e-06,0.2040000000000001,0.3663703174794232,0.2040000000000001,24.35937004434431,0.2040000000000001,11.4994844283116,0.2040000000000001,0.04285730894858761
0.2100000000000001,-1.503783675926758e-15,0.2100000000000001,-2.692266785882165e-15,0.2100000000000001,-3.136334434382239e-15,0.2100000000000001,-1.448002675511807e-15,0.2100000000000001,6.401801056276448e-07,0.2100000000000001,1.553293882343865e-05,0.2100000000000001,1.353013312136642e-06,0.2100000000000001,0.3663703174794232,0.2100000000000001,24.26338883331409,0.2100000000000001,11.48025572557705,0.2100000000000001,0.04294281914432239
0.2160000000000001,-1.513019793073626e-15,0.2160000000000001,-2.692280265789451e-15,0.2160000000000001,-3.137503867558711e-15,0.2160000000000001,-1.447665478275267e-15,0.2160000000000001,7.40282876133311e-07,0.2160000000000001,1.788805236044529e-05,0.2160000000000001,1.560837127364252e-06,0.2160000000000001,0.3663703174794232,0.2160000000000001,24.16380675536475,0.2160000000000001,11.46055026936245,0.2160000000000001,0.04304093141769625
0.2220000000000001,-1.523790140213675e-15,0.2220000000000001,-2.692295826951175e-15,0.2220000000000001,-3.138851492135716e-15,0.2220000000000001,-1.447272036940292e-15,0.2220000000000001,8.555179991890767e-07,0.2220000000000001,2.058440163762745e-05,0.2220000000000001,1.799266242666143e-06,0.2220000000000001,0.3663703174794232,0.2220000000000001,24.06074642482429,0.2220000000000001,11.44044230337229,0.2220000000000001,0.04315335270191593
0.2280000000000001,-1.536339875394588e-15,0.2280000000000001,-2.69231377594916e-15,0.2280000000000001,-3.140402730691132e-15,0.2280000000000001,-1.446813303593236e-15,0.2280000000000001,9.880698243958656e-07,0.2280000000000001,2.366857649569314e-05,0.2280000000000001,2.072551720406135e-06,0.2280000000000001,0.3663703174794232,0.2280000000000001,23.95435617405547,0.2280000000000001,11.42001729686875,0.2280000000000001,0.04328198654476761
0.2340000000000001,-1.55094894013576e-15,0.2340000000000001,-2.692334458705561e-15,0.2340000000000001,-3.142185973179652e-15,0.2340000000000001,-1.446278939095856e-15,0.2340000000000001,1.14041965582569e-06,0.2340000000000001,2.719308529953264e-05,0.2340000000000001,2.385489957890167e-06,0.2340000000000001,0.3663703174794232,0.2340000000000001,23.84480586890064,0.2340000000000001,11.39937110596073,0.2340000000000001,0.0434289479599396
