NM0:id X,NM0:id Y,NM0:gm X,NM0:gm Y,NM0:gds X,NM0:gds Y,NM0:vth X,NM0:vth Y,NM0:vdsat X,NM0:vdsat Y,NM0:self_gain X,NM0:self_gain Y,NM0:gmoverid X,NM0:gmoverid Y,NM0:cgs X,NM0:cgs Y,NM0:cdb X,NM0:cdb Y,NM0:csb X,NM0:csb Y,NM0:cgd X,NM0:cgd Y
0,2.404298848495197e-09,0,7.434679835916614e-08,0,1.463476995821715e-09,0,0.2959582545539182,0,0.0435538312649507,0,50.80148070070744,0,30.92244623388812,0,-1.449486594896054e-15,0,-2.692183687643372e-15,0,-3.129084646904342e-15,0,-1.450001246219192e-15
0.006,2.894157446980113e-09,0.006,8.939762176793242e-08,0.006,1.761610348810851e-09,0.006,0.2959582545539182,0.006,0.04355557259341358,0.006,50.74767063458668,0.006,30.88899858265792,0.006,-1.449623612552572e-15,0.006,-2.692184199076146e-15,0.006,-3.129129478892565e-15,0.006,-1.450001503133614e-15
0.012,3.483092368430612e-09,0.012,1.074626755155829e-07,0.012,2.120028476779923e-09,0.012,0.2959582545539182,0.012,0.0435576659363251,0.012,50.68926040031607,0.012,30.85266414272537,0.012,-1.449814583620903e-15,0.012,-2.69218481343316e-15,0.012,-3.129183332281011e-15,0.012,-1.450001812899622e-15
0.018,4.190917696954332e-09,0.018,1.291355994475402e-07,0.018,2.550782423492377e-09,0.018,0.2959582545539182,0.018,0.04356018161303121,0.018,50.62587787112612,0.018,30.81320423987325,0.018,-1.450070471448176e-15,0.018,-2.692185551402552e-15,0.018,-3.129248020000827e-15,0.018,-1.450002186386101e-15
0.024,5.041341335010083e-09,0.024,1.551239109002428e-07,0.024,3.068289526329842e-09,0.024,0.2959582545539182,0.024,0.04356320372662238,0.024,50.55712949155597,0.024,30.77036528340482,0.024,-1.45040451118702e-15,0.024,-2.692186437824396e-15,0.024,-3.129325718642327e-15,0.024,-1.450002636696121e-15
0.03,6.062709423962337e-09,0.03,1.862699462625495e-07,0.03,3.68978505453262e-09,0.03,0.2959582545539182,0.03,0.04356683278351088,0.03,50.48260088585135,0.03,30.72387883499688,0.03,-1.45083267897962e-15,0.03,-2.692187502522051e-15,0.03,-3.129419041190022e-15,0.03,-1.450003179625876e-15
0.036,7.288886926765818e-09,0.036,2.235753922010744e-07,0.036,4.435856161448992e-09,0.036,0.2959582545539182,0.036,0.04357118878530017,0.036,50.40185796467362,0.036,30.67346193359215,0.036,-1.451374257836042e-15,0.036,-2.692188781299314e-15,0.036,-3.129531124227979e-15,0.036,-1.450003834217782e-15
0.042,8.760297507997138e-09,0.042,2.68229949208519e-07,0.042,5.331072017851571e-09,0.042,0.2959582545539182,0.042,0.04357641487014464,0.042,50.31444863440731,0.042,30.61881773339107,0.042,-1.452052520047517e-15,0.042,-2.692190317136213e-15,0.042,-3.129665732463196e-15,0.042,-1.450004623427017e-15
0.04799999999999999,1.052514928979899e-08,0.04799999999999999,3.216447331299864e-07,0.04799999999999999,6.404726008266658e-09,0.04799999999999999,0.2959582545539182,0.04799999999999999,0.04358268159101949,0.04799999999999999,50.21990522542816,0.04799999999999999,30.55963651880227,0.04799999999999999,-1.452895550008991e-15,0.04799999999999999,-2.692192161622625e-15,0.04799999999999999,-3.129827383961729e-15,0.04799999999999999,-1.450005574924683e-15
0.05399999999999999,1.264087689228386e-08,0.05399999999999999,3.854910860735471e-07,0.05399999999999999,7.691708092469892e-09,0.05399999999999999,0.2959582545539182,0.05399999999999999,0.0435901919289696,0.05399999999999999,50.11774776670727,0.05399999999999999,30.49559716652089,0.05399999999999999,-1.45393723616119e-15,0.05399999999999999,-2.692194376676526e-15,0.05399999999999999,-3.130021500138537e-15,0.05399999999999999,-1.450006722065537e-15
0.05999999999999999,1.517583439761093e-08,0.05999999999999999,4.617455357834583e-07,0.05999999999999999,9.233527857591061e-09,0.05999999999999999,0.2959582545539182,0.05999999999999999,0.04359918715046752,0.05999999999999999,50.00748824338559,0.05999999999999999,30.42636913021447,0.05999999999999999,-1.455218466551258e-15,0.05999999999999999,-2.69219703660266e-15,0.05999999999999999,-3.130254585302501e-15,0.05999999999999999,-1.450008105053846e-15
0.06599999999999999,1.821127851716401e-08,0.06599999999999999,5.527417112494292e-07,0.06599999999999999,1.10795114036457e-08,0.06599999999999999,0.2959582545539182,0.06599999999999999,0.0436099536288313,0.06599999999999999,49.88863597970125,0.06599999999999999,30.35161502676693,0.06599999999999999,-1.456788569426944e-15,0.06599999999999999,-2.692200230558004e-15,0.06599999999999999,-3.130534441449032e-15,0.06599999999999999,-1.450009772347773e-15
