PM0:id X,PM0:id Y,PM0:gm X,PM0:gm Y,PM0:gds X,PM0:gds Y,PM0:gmoverid X,PM0:gmoverid Y,PM0:self_gain X,PM0:self_gain Y,PM0:cgs X,PM0:cgs Y,PM0:cdb X,PM0:cdb Y,PM0:csb X,PM0:csb Y,PM0:cgd X,PM0:cgd Y,PM0:vdsat X,PM0:vdsat Y,PM0:vth X,PM0:vth Y
0,-2.208849323461236e-10,0,7.096280862424697e-09,0,1.412164691194877e-11,0,32.12659765742595,0,502.5108549074621,0,-1.541370343366639e-15,0,-4.021697383178787e-15,0,-4.440023512378682e-15,0,-1.550009016556581e-15,0,-0.03683285206077157,0,-0.253608153092768
0.006,-2.677897541432923e-10,0.006,8.585131311377094e-09,0.006,1.712099727057438e-11,0.006,32.05922431747545,0.006,501.4387407287448,0.006,-1.542309993391178e-15,0.006,-4.021701648180737e-15,0.006,-4.440397378377072e-15,0.006,-1.550010977932871e-15,0.006,-0.0368378553876557,0.006,-0.253608153092768
0.012,-3.245179561202176e-10,0.012,1.038003142309091e-08,0.012,2.074880056274937e-11,0.012,31.98600173840152,0.012,500.2713960115044,0.012,-1.543603115461263e-15,0.012,-4.021706828281038e-15,0.012,-4.440851452436014e-15,0.012,-1.550013365802631e-15,0.012,-0.03684390481955051,0.012,-0.253608153092768
0.018,-3.930833357501078e-10,0.018,1.254191733777321e-08,0.018,2.513402584536728e-11,0.018,31.90651111715581,0.018,499.0015294380287,0.018,-1.545325880653033e-15,0.018,-4.021713119645788e-15,0.018,-4.441402924337083e-15,0.018,-1.550016272860299e-15,0.018,-0.03685121399601089,0.018,-0.253608153092768
0.024,-4.758989754526735e-10,0.024,1.514325936612189e-08,0.024,3.043127615138889e-11,0.024,31.82032454412355,0.024,497.6215683754933,0.024,-1.547571077447228e-15,0.024,-4.021720760432773e-15,0.024,-4.442072661571223e-15,0.024,-1.550019811932585e-15,0.024,-0.03686003854273439,0.024,-0.253608153092768
0.03,-5.758523343529401e-10,0.03,1.827007205093135e-08,0.03,3.682563803369031e-11,0.03,31.72700958665433,0.03,496.1237069189892,0.03,-1.550451723770454e-15,0.03,-4.021730039757161e-15,0.03,-4.44288599363001e-15,0.03,-1.55002412034589e-15,0.03,-0.03687068379815931,0.03,-0.253608153092768
0.036,-6.963932944231402e-10,0.036,2.202422785708881e-08,0.036,4.453838074372577e-11,0.036,31.62613499227206,0.036,494.4999681020378,0.036,-1.554105460205969e-15,0.036,-4.021741308561614e-15,0.036,-4.44387366243643e-15,0.036,-1.550029365239077e-15,0.036,-0.03688351379667731,0.036,-0.253608153092768
0.042,-8.416370859730022e-10,0.042,2.652610921472204e-08,0.042,5.3833637175901e-11,0.042,31.51727761907474,0.042,492.7422817085194,0.042,-1.558699891491474e-15,0.042,-4.021754992790817e-15,0.042,-4.445072973597362e-15,0.042,-1.550035750025306e-15,0.042,-0.03689896166162208,0.042,-0.253608153092768
0.04799999999999999,-1.016484231628174e-09,0.04799999999999999,3.191763557841855e-08,0.04799999999999999,6.50262160652522e-11,0.04799999999999999,31.40003067623815,0.04799999999999999,490.8425787284007,0.04799999999999999,-1.564439078313388e-15,0.04799999999999999,-4.021771609352415e-15,0.04799999999999999,-4.446529190158665e-15,0.04799999999999999,-1.550043522250041e-15,0.04799999999999999,-0.03691754156303417,0.04799999999999999,-0.253608153092768
0.05399999999999999,-1.226759873814937e-09,0.05399999999999999,3.836570415640159e-08,0.05399999999999999,7.849071442292091e-11,0.05399999999999999,31.27401331753611,0.05399999999999999,488.7929029372933,0.05399999999999999,-1.571571423167025e-15,0.05399999999999999,-4.021791785444016e-15,0.05399999999999999,-4.448297218838604e-15,0.05399999999999999,-1.550052983144953e-15,0.05399999999999999,-0.03693986239128944,0.05399999999999999,-0.253608153092768
