PM0:id X,PM0:id Y,PM0:gm X,PM0:gm Y,PM0:gds X,PM0:gds Y,PM0:gmoverid X,PM0:gmoverid Y,PM0:self_gain X,PM0:self_gain Y,PM0:cgs X,PM0:cgs Y,PM0:cdb X,PM0:cdb Y,PM0:csb X,PM0:csb Y,PM0:cgd X,PM0:cgd Y,PM0:vdsat X,PM0:vdsat Y,PM0:vth X,PM0:vth Y
0,-4.727114982280173e-10,0,1.491528247524883e-08,0,6.126737671022204e-11,0,31.55261297872808,0,243.4457500244224,0,-1.54642327244132e-15,0,-4.021677993656744e-15,0,-4.438887647658174e-15,0,-1.550002161175635e-15,0,-0.03851383543043161,0,-0.2621558589783525
0.006,-5.711381931796445e-10,0.006,1.798813541140841e-08,0.006,7.401331251673914e-11,0.006,31.49524248996275,0.006,243.0391884884242,0.006,-1.546725912569087e-15,0.006,-4.021679459562595e-15,0.006,-4.439016149210099e-15,0.006,-1.550002619303311e-15,0.006,-0.03851811634712592,0.006,-0.2621558589783525
0.012,-6.898114489453762e-10,0.012,2.168280159654638e-08,0.012,8.937781750591926e-11,0.012,31.43294027203276,0.012,242.597125345004,0.012,-1.547149412784554e-15,0.012,-4.021681232448135e-15,0.012,-4.439171558202812e-15,0.012,-1.550003174524814e-15,0.012,-0.03852327663730789,0.012,-0.2621558589783525
0.018,-8.328186308326369e-10,0.018,2.612164345219015e-08,0.018,1.078885928573533e-10,0.018,31.36534529993185,0.018,242.1168240346532,0.018,-1.547719179986267e-15,0.018,-4.021683376540212e-15,0.018,-4.439359503116616e-15,0.018,-1.550003847412428e-15,0.018,-0.0385294932742536,0.018,-0.2621558589783525
0.024,-1.005048525136987e-09,0.024,3.14500637524677e-08,0.024,1.301765674999e-10,0.024,31.29208534797967,0.024,241.5954296267019,0.024,-1.548466039817398e-15,0.024,-4.021685969484826e-15,0.024,-4.439586787877943e-15,0.024,-1.550004662895709e-15,0.024,-0.03853697768094228,0.024,-0.2621558589783525
0.03,-1.212341404544507e-09,0.03,3.784054510287686e-08,0.03,1.569951778428302e-10,0.03,31.21278002615961,0.03,241.0299833588488,0.03,-1.549427388219225e-15,0.03,-4.021689105144095e-15,0.03,-4.439861636609635e-15,0.03,-1.550005651183837e-15,0.03,-0.03854598206906211,0.03,-0.2621558589783525
0.036,-1.461665174851468e-09,0.036,4.549731669807921e-08,0.036,1.892429945623291e-10,0.036,31.12704465656946,0.036,240.4174421531583,0.036,-1.550648586609798e-15,0.036,-4.021692896973445e-15,0.036,-4.440193989037875e-15,0.036,-1.550006848883013e-15,0.036,-0.03855680683025167,0.036,-0.2621558589783525
0.042,-1.761321596686261e-09,0.042,5.466172597682545e-08,0.042,2.279902129944037e-10,0.042,31.03449509205796,0.042,239.7547037607583,0.042,-1.552184651739651e-15,0.042,-4.021697482098173e-15,0.042,-4.440595856905285e-15,0.042,-1.550008300350055e-15,0.042,-0.0385698091190209,0.042,-0.2621558589783525
0.04799999999999999,-2.121187058648975e-09,0.04799999999999999,6.561839846541992e-08,0.04799999999999999,2.745095896482365e-10,0.04799999999999999,30.93475356990422,0.04799999999999999,239.0386381383069,0.04799999999999999,-1.554102301750577e-15,0.04799999999999999,-4.021703026232523e-15,0.04799999999999999,-4.441081753792495e-15,0.04799999999999999,-1.550010059332009e-15,0.04799999999999999,-0.03858541277436406,0.04799999999999999,-0.2621558589783525
0.05399999999999999,-2.552992895182056e-09,0.05399999999999999,7.870227484659884e-08,0.05399999999999999,3.303124800834192e-10,0.05399999999999999,30.82745567488699,0.05399999999999999,238.2661255388318,0.05399999999999999,-1.556482432481206e-15,0.05399999999999999,-4.021709729612798e-15,0.05399999999999999,-4.441669213181637e-15,0.05399999999999999,-1.550012190952051e-15,0.05399999999999999,-0.03860411973074078,0.05399999999999999,-0.2621558589783525
0.05999999999999999,-3.070650794674217e-09,0.05999999999999999,9.430662036619056e-08,0.05999999999999999,3.971907140751313e-10,0.05999999999999999,30.71225845541806,0.05999999999999999,237.4341016148526,0.05999999999999999,-1.55942311297204e-15,0.05999999999999999,-4.021717834149922e-15,0.05999999999999999,-4.44237941246048e-15,0.05999999999999999,-1.550014774114535e-15,0.05999999999999999,-0.03862652306824823,0.05999999999999999,-0.2621558589783525
0.06599999999999999,-3.690629434019375e-09,0.06599999999999999,1.12892108555911e-07,0.06599999999999999,4.772651344996939e-10,0.06599999999999999,30.58884969040864,0.06599999999999999,236.5396095280524,0.06599999999999999,-1.563043206803082e-15,0.06599999999999999,-4.021727632046696e-15,0.06599999999999999,-4.443237923922406e-15,0.06599999999999999,-1.550017904417333e-15,0.06599999999999999,-0.03865332184333398,0.06599999999999999,-0.2621558589783525
0.07199999999999999,-4.432389111856122e-09,0.07199999999999999,1.34997089620229e-07,0.07199999999999999,5.730417294509674e-10,0.07199999999999999,30.45695823984208,0.07199999999999999,235.579858642354,0.07199999999999999,-1.567486746751078e-15,0.07199999999999999,-4.021739476171829e-15,0.07199999999999999,-4.444275617718418e-15,0.07199999999999999,-1.550021697677929e-15,0.07199999999999999,-0.03868533782409685,0.07199999999999999,-0.2621558589783525
