PM0:id X,PM0:id Y,PM0:gm X,PM0:gm Y,PM0:gds X,PM0:gds Y,PM0:vth X,PM0:vth Y,PM0:vdsat X,PM0:vdsat Y,PM0:gmoverid X,PM0:gmoverid Y,PM0:self_gain X,PM0:self_gain Y,PM0:cgs X,PM0:cgs Y,PM0:cdb X,PM0:cdb Y,PM0:csb X,PM0:csb Y,PM0:cgd X,PM0:cgd Y
0,-2.114362574830456e-09,0,5.739188527257553e-08,0,5.077156201387932e-09,0,-0.2999821681477879,0,-0.04434587687700983,0,27.14382403840621,0,11.30394319104983,0,-1.54963195617429e-15,0,-4.02162854763717e-15,0,-4.438312247878481e-15,0,-1.549976111838008e-15
0.006,-2.488134904235937e-09,0.006,6.746789223931411e-08,0.006,5.970166014768076e-09,0.006,-0.2999821681477879,0.006,-0.0443487377739229,0.006,27.11584992278446,0.006,11.30084022327393,0.006,-1.549680709919575e-15,0.006,-4.021628724059077e-15,0.006,-4.438327713042636e-15,0.006,-1.549971789729335e-15
0.012,-2.927472640190523e-09,0.012,7.929300537052902e-08,0.012,7.018612223584003e-09,0.012,-0.2999821681477879,0.012,-0.04435210006344576,0.012,27.08582300413985,0.012,11.29753330780805,0.012,-1.549744573716752e-15,0.012,-4.021628931055647e-15,0.012,-4.438345858142117e-15,0.012,-1.549966686532635e-15
0.018,-3.443742732126793e-09,0.018,9.316565806164201e-08,0.018,8.249122897583103e-09,0.018,-0.2999821681477879,0.018,-0.04435605049807411,0.018,27.05360583505291,0.018,11.29400776523022,0.018,-1.549826213665844e-15,0.018,-4.021629173915708e-15,0.018,-4.438367146660912e-15,0.018,-1.549960661272676e-15
0.024,-4.05024780634415e-09,0.024,1.094338697361136e-07,0.024,9.692778089839436e-09,0.024,-0.2999821681477879,0.024,-0.04436069053757476,0.024,27.01905546984574,0.024,11.29024813338386,0.024,-1.549928774238374e-15,0.024,-4.021629458840729e-15,0.024,-4.438392122025903e-15,0.024,-1.549953547572133e-15
0.03,-4.762546848930871e-09,0.03,1.285031527310396e-07,0.03,1.138582676659446e-08,0.03,-0.2999821681477879,0.03,-0.04436613876063809,0.03,26.98202394994702,0.03,11.28623817710475,0.03,-1.55005596374924e-15,0.03,-4.021629793101732e-15,0.03,-4.438421421338219e-15,0.03,-1.549945149085898e-15
0.036,-5.598826800035166e-09,0.036,1.508456009810558e-07,0.036,1.337051264249988e-08,0.036,-0.2999821681477879,0.036,-0.04437253365003075,0.036,26.94235895796315,0.036,11.28196091012799,0.036,-1.550212155034326e-15,0.036,-4.021630185223018e-15,0.036,-4.438455791445649e-15,0.036,-1.549935234118441e-15
0.042,-6.580332619244723e-09,0.042,1.770103197230567e-07,0.042,1.569602401281357e-08,0.042,-0.2999821681477879,0.042,-0.04438003680321041,0.042,26.89990466647339,0.042,11.27739863156128,0.042,-1.550402504014477e-15,0.042,-4.021630645197245e-15,0.042,-4.438496107749387e-15,0.042,-1.549923529279345e-15
0.04799999999999999,-7.731864390824672e-09,0.04799999999999999,2.07635373595935e-07,0.04799999999999999,1.841958448668197e-08,0.04799999999999999,-0.2999821681477879,0.04799999999999999,-0.04438883662599456,0.04799999999999999,26.85450280917448,0.04799999999999999,11.27253297956113,0.04799999999999999,-1.550633089289879e-15,0.04799999999999999,-4.021631184737098e-15,0.04799999999999999,-4.438543396202286e-15,0.04799999999999999,-1.549909712006929e-15
0.05399999999999999,-9.082351160389528e-09,0.05399999999999999,2.434614503319967e-07,0.05399999999999999,2.160770352042086e-08,0.05399999999999999,-0.2999821681477879,0.05399999999999999,-0.04439915257269,0.05399999999999999,26.80599400303754,0.05399999999999999,11.26734500507691,0.05399999999999999,-1.550911076448822e-15,0.05399999999999999,-4.021631817569721e-15,0.05399999999999999,-4.438598859029342e-15,0.05399999999999999,-1.549893401760527e-15
0.05999999999999999,-1.066551244187533e-08,0.05999999999999999,2.85347458947551e-07,0.05999999999999999,2.533760784910765e-08,0.05999999999999999,-0.2999821681477879,0.05999999999999999,-0.04441124000186764,0.05999999999999999,26.75421935033419,0.05999999999999999,11.26181526870542,0.05999999999999999,-1.551244911402425e-15,0.05999999999999999,-4.021632559781009e-15,0.05999999999999999,-4.438663904785408e-15,0.05999999999999999,-1.549874149647724e-15
0.06599999999999999,-1.252061971764774e-08,0.06599999999999999,3.342883052518372e-07,0.06599999999999999,2.969887734909829e-08,0.06599999999999999,-0.2999821681477879,0.06599999999999999,-0.04442539572264594,0.06599999999999999,26.69902234838442,0.06599999999999999,11.25592396380555,0.06599999999999999,-1.551644547784471e-15,0.06599999999999999,-4.021633430218034e-15,0.06599999999999999,-4.438740183461244e-15,0.06599999999999999,-1.549851426213238e-15
0.07199999999999999,-1.469337178969889e-08,0.07199999999999999,3.914351140523892e-07,0.07199999999999999,3.479531157469133e-08,0.07199999999999999,-0.2999821681477879,0.07199999999999999,-0.04444196431146179,0.07199999999999999,26.64025113222709,0.07199999999999999,11.24965106899928,0.07199999999999999,-1.552121714296011e-15,0.07199999999999999,-4.021634450959165e-15,0.07199999999999999,-4.438829627458012e-15,0.07199999999999999,-1.54982460707021e-15
0.078,-1.723689954380436e-08,0.078,4.581181972697404e-07,0.078,4.074705625554226e-08,0.078,-0.2999821681477879,0.078,-0.04446134528372274,0.078,26.57776107059975,0.078,11.24297653299627,0.078,-1.552690228841283e-15,0.078,-4.021635647862916e-15,0.078,-4.438934499373153e-15,0.078,-1.549792956001807e-15
