PM0:id X,PM0:id Y,PM0:gm X,PM0:gm Y,PM0:gds X,PM0:gds Y,PM0:gmoverid X,PM0:gmoverid Y,PM0:self_gain X,PM0:self_gain Y,PM0:cgs X,PM0:cgs Y,PM0:cdb X,PM0:cdb Y,PM0:csb X,PM0:csb Y,PM0:cgd X,PM0:cgd Y,PM0:vdsat X,PM0:vdsat Y,PM0:vth X,PM0:vth Y
0,-6.269135077663614e-10,0,1.948476146139765e-08,0,1.504932257920224e-10,0,31.08046276206098,0,129.4726813041078,0,-1.547573114763982e-15,0,-4.021669768072199e-15,0,-4.438636466309858e-15,0,-1.549998516170768e-15,0,-0.03962412602151989,0,-0.2691672323950354
0.006,-7.55320356884472e-10,0.006,2.343757368237324e-08,0.006,1.812262374957663e-10,0.006,31.02997812749213,0.006,129.3277066623467,0.006,-1.547739213102958e-15,0.006,-4.021670631555016e-15,0.006,-4.438712159942699e-15,0.006,-1.549998200674145e-15,0.006,-0.03962788072072002,0.006,-0.2691672323950354
0.012,-9.097407988661089e-10,0.012,2.817940068628213e-08,0.012,2.181570052123968e-10,0.012,30.97519776135642,0.012,129.1702765118488,0.012,-1.547975865179592e-15,0.012,-4.021671672306242e-15,0.012,-4.438803391808819e-15,0.012,-1.549997818212828e-15,0.012,-0.03963239516654741,0.012,-0.2691672323950354
0.018,-1.095356445547421e-09,0.018,3.386382398513037e-08,0.018,2.625114714497267e-10,0.018,30.91580333694466,0.018,128.9994063806678,0.018,-1.548297602559316e-15,0.018,-4.021672926684332e-15,0.018,-4.438913348284032e-15,0.018,-1.549997354600534e-15,0.018,-0.03963782028618486,0.018,-0.2691672323950354
0.024,-1.318354262711125e-09,0.024,4.067315960617504e-08,0.024,3.157509295286357e-10,0.024,30.85146475790559,0.024,128.8140613454199,0.024,-1.548721999416545e-15,0.024,-4.021674438494905e-15,0.024,-4.439045868133042e-15,0.024,-1.549996792652919e-15,0.024,-0.03964433611012765,0.024,-0.2691672323950354
0.03,-1.586113736774438e-09,0.03,4.882350243333611e-08,0.03,3.796151399932922e-10,0.03,30.78184229074258,0.03,128.6131591964399,0.03,-1.549270307297268e-15,0.03,-4.021676260512608e-15,0.03,-4.43920557570811e-15,0.03,-1.549996111556326e-15,0.03,-0.0396521571110292,0.03,-0.2691672323950354
0.036,-1.907426645153062e-09,0.036,5.857056624825379e-08,0.036,4.561727785388806e-10,0.036,30.70658935334657,0.036,128.3955751061145,0.036,-1.549968221769637e-15,0.036,-4.021678456312619e-15,0.036,-4.439398041192623e-15,0.036,-1.549995286104498e-15,0.036,-0.03966153843790043,0.036,-0.2691672323950354
0.042,-2.292754509946229e-09,0.042,7.021642273798491e-08,0.042,5.47880318555437e-10,0.042,30.62535605021727,0.042,128.1601480467857,0.042,-1.550846808129718e-15,0.042,-4.021681102474192e-15,0.042,-4.439629973316281e-15,0.042,-1.549994285776031e-15,0.042,-0.03967278317017553,0.042,-0.2691672323950354
0.04799999999999999,-2.754529460425006e-09,0.04799999999999999,8.411725150610888e-08,0.04799999999999999,6.576505863608267e-10,0.04799999999999999,30.53779354266219,0.04799999999999999,127.9056892073644,0.04799999999999999,-1.551943618820687e-15,0.04799999999999999,-4.021684291231018e-15,0.04799999999999999,-4.439909451028833e-15,0.04799999999999999,-1.549993073619862e-15,0.04799999999999999,-0.03968625072545382,0.04799999999999999,-0.2691672323950354
0.05399999999999999,-3.307504928779812e-09,0.05399999999999999,1.00692222084565e-07,0.05399999999999999,7.889323744568533e-10,0.05399999999999999,30.44355933395756,0.05399999999999999,127.6309926486251,0.05399999999999999,-1.553304041776646e-15,0.05399999999999999,-4.021688133657758e-15,0.05399999999999999,-4.440246201873501e-15,0.05399999999999999,-1.549991604909639e-15,0.05399999999999999,-0.03970236656226369,0.05399999999999999,-0.2691672323950354
0.05999999999999999,-3.969163357317551e-09,0.05999999999999999,1.204336382828918e-07,0.05999999999999999,9.458026596082727e-10,0.05999999999999999,30.34232353310022,0.05999999999999999,127.3348484056624,0.05999999999999999,-1.554982926698977e-15,0.05999999999999999,-4.021692763499528e-15,0.05999999999999999,-4.440651936278922e-15,0.05999999999999999,-1.549989825520188e-15,0.05999999999999999,-0.03972163332329846,0.05999999999999999,-0.2691672323950354
0.06599999999999999,-4.760188907105669e-09,0.06599999999999999,1.439184853137648e-07,0.06599999999999999,1.133073151259659e-09,0.06599999999999999,30.23377613393653,0.06599999999999999,127.01605818986,0.06599999999999999,-1.557046545516451e-15,0.06599999999999999,-4.02169834177154e-15,0.06599999999999999,-4.441140748720213e-15,0.06599999999999999,-1.549987669970333e-15,0.06599999999999999,-0.039744643564386,0.06599999999999999,-0.2691672323950354
0.07199999999999999,-5.705014034311346e-09,0.07199999999999999,1.71821531645943e-07,0.07199999999999999,1.35641309650523e-09,0.07199999999999999,30.11763530636726,0.07199999999999999,126.6734537499215,0.07199999999999999,-1.559574954188415e-15,0.07199999999999999,-4.021705062280154e-15,0.07199999999999999,-4.441729598716107e-15,0.07199999999999999,-1.549985059065927e-15,0.07199999999999999,-0.03977209420782328,0.07199999999999999,-0.2691672323950354
0.078,-6.832449752369765e-09,0.078,2.049301514279866e-07,0.078,1.622490497492591e-09,0.078,29.99365664009163,0.078,126.3059178125771,0.078,-1.562664835808563e-15,0.078,-4.021713158244683e-15,0.078,-4.44243888695696e-15,0.078,-1.549981897064993e-15,0.078,-0.03980480284359286,0.078,-0.2691672323950354
0.08400000000000001,-8.176410443725022e-09,0.08400000000000001,2.441610509239785e-07,0.08400000000000001,1.939134165575099e-09,0.08400000000000001,29.86164320611217,0.08400000000000001,125.9124073302924,0.08400000000000001,-1.56643291987181e-15,0.08400000000000001,-4.021722910231754e-15,0.08400000000000001,-4.443293144516319e-15,0.08400000000000001,-1.549978068273227e-15,0.08400000000000001,-0.03984372597627771,0.08400000000000001,-0.2691672323950354
0.09000000000000001,-9.77674525125142e-09,0.09000000000000001,2.905791053574198e-07,0.09000000000000001,2.315519356925051e-09,0.09000000000000001,29.72145620459583,0.09000000000000001,125.4919785007979,0.09000000000000001,-1.571020089758339e-15,0.09000000000000001,-4.021734655651359e-15,0.09000000000000001,-4.444321856089363e-15,0.09000000000000001,-1.549973432963072e-15,0.09000000000000001,-0.03988997927603224,0.09000000000000001,-0.2691672323950354
