PM0:id X,PM0:id Y,PM0:gm X,PM0:gm Y,PM0:gds X,PM0:gds Y,PM0:gmoverid X,PM0:gmoverid Y,PM0:self_gain X,PM0:self_gain Y,PM0:cgs X,PM0:cgs Y,PM0:cdb X,PM0:cdb Y,PM0:csb X,PM0:csb Y,PM0:cgd X,PM0:cgd Y,PM0:vdsat X,PM0:vdsat Y,PM0:vth X,PM0:vth Y
0,-3.782033480963373e-10,0,1.202304306468222e-08,0,3.683166452935671e-11,0,31.78989188682648,0,326.4322484013517,0,-1.545296887335222e-15,0,-4.021683553299896e-15,0,-4.439140073523518e-15,0,-1.550004097707542e-15,0,-0.03786914564527957,0,-0.2585980093859254
0.006,-4.575975228135565e-10,0.006,1.451892790741546e-08,0.006,4.456290567149165e-11,0.006,31.72859918417178,0.006,325.80747796039,0.006,-1.54574051699065e-15,0.006,-4.021685635710061e-15,0.006,-4.439322617083552e-15,0.006,-1.550004976973453e-15,0.006,-0.03787371902261645,0.006,-0.2585980093859254
0.012,-5.534462299454678e-10,0.012,1.752322200456271e-08,0.012,5.389640731448436e-11,0.012,31.66201436928101,0.012,325.1278309204376,0.012,-1.546356460426714e-15,0.012,-4.021688158596446e-15,0.012,-4.439543768936147e-15,0.012,-1.550006044838979e-15,0.012,-0.0378792388188045,0.012,-0.2585980093859254
0.018,-6.690928469672369e-10,0.018,2.113647744160173e-08,0.018,6.515778866528836e-11,0.018,31.58975322618411,0.018,324.3891156309577,0.018,-1.547181315100214e-15,0.018,-4.021691215044999e-15,0.018,-4.439811686416279e-15,0.018,-1.550007341739861e-15,0.018,-0.03788589668543955,0.018,-0.2585980093859254
0.024,-8.085394634631483e-10,0.024,2.547822694359996e-08,0.024,7.87368746594952e-11,0.024,31.51142099209418,0.024,323.5869731149843,0.024,-1.548259557038846e-15,0.024,-4.021694917786142e-15,0.024,-4.44013624751616e-15,0.024,-1.550008916775713e-15,0.024,-0.03789392173786239,0.024,-0.2585980093859254
0.03,-9.765704884587935e-10,0.03,3.069030523116678e-08,0.03,9.509977614636139e-11,0.03,31.42661596975318,0.03,322.716902970765,0.03,-1.549645230804822e-15,0.03,-4.021699403330186e-15,0.03,-4.440529412714775e-15,0.03,-1.550010829564409e-15,0.03,-0.03790358745222423,0.03,-0.2585980093859254
0.036,-1.178897687717231e-09,0.036,3.69406808659707e-08,0.036,1.148030814528306e-10,0.036,31.33493408841229,0.036,321.774297331458,0.036,-1.551404000253085e-15,0.036,-4.021704836969072e-15,0.036,-4.441005662419181e-15,0.036,-1.550013152492591e-15,0.036,-0.03791521969909552,0.036,-0.2585980093859254
0.042,-1.422329895865216e-09,0.042,4.442785991126571e-08,0.042,1.385104874703918e-10,0.042,31.23597451937696,0.042,320.7544838130951,0.042,-1.553615636339032e-15,0.042,-4.021711418823972e-15,0.042,-4.441582525604336e-15,0.042,-1.550015973446562e-15,0.042,-0.03792920605951984,0.042,-0.2585980093859254
0.04799999999999999,-1.714971028387058e-09,0.04799999999999999,5.338592680056773e-08,0.04799999999999999,1.670122408831647e-10,0.04799999999999999,31.12934643758229,0.04799999999999999,319.6527782530291,0.04799999999999999,-1.556377033990078e-15,0.04799999999999999,-4.021719391154738e-15,0.04799999999999999,-4.442281218352314e-15,0.04799999999999999,-1.550019399125639e-15,0.04799999999999999,-0.03794600657529092,0.04799999999999999,-0.2585980093859254
0.05399999999999999,-2.06645042316678e-09,0.05399999999999999,6.409029192923367e-08,0.05399999999999999,2.012478072487493e-10,0.05399999999999999,31.01467699466325,0.05399999999999999,318.4645477901572,0.05399999999999999,-1.559805868901719e-15,0.05399999999999999,-4.021729047190424e-15,0.05399999999999999,-4.443127414681162e-15,0.05399999999999999,-1.550023559061435e-15,0.05399999999999999,-0.03796616608631739,0.05399999999999999,-0.2585980093859254
0.05999999999999999,-2.488189971429236e-09,0.05999999999999999,7.686421993050069e-08,0.05999999999999999,2.423322382794679e-10,0.05999999999999999,30.8916205281748,0.05999999999999999,317.1852844517435,0.05999999999999999,-1.564045027572257e-15,0.05999999999999999,-4.021740741791556e-15,0.05999999999999999,-4.444152176401829e-15,0.05999999999999999,-1.550028610492434e-15,0.05999999999999999,-0.03799032830278361,0.05999999999999999,-0.2585980093859254
0.06599999999999999,-2.99371295684724e-09,0.06599999999999999,9.208621782687714e-08,0.06599999999999999,2.915867672521006e-10,0.06599999999999999,30.75986897246058,0.06599999999999999,315.8106888549612,0.06599999999999999,-1.569267970517476e-15,0.06599999999999999,-4.021754904315498e-15,0.06599999999999999,-4.44539307383206e-15,0.06599999999999999,-1.550034744274305e-15,0.06599999999999999,-0.03801925174621115,0.06599999999999999,-0.2585980093859254
0.07199999999999999,-3.599000015858118e-09,0.07199999999999999,1.101983689375998e-07,0.07199999999999999,3.505742310854506e-10,0.07199999999999999,30.61916335559969,0.07199999999999999,314.3367628487776,0.07199999999999999,-1.575685219994193e-15,0.07199999999999999,-4.021772054127564e-15,0.07199999999999999,-4.44689553510464e-15,0.07199999999999999,-1.550042192043782e-15,0.07199999999999999,-0.03805382766850051,0.07199999999999999,-0.2585980093859254
0.078,-4.32289817324129e-09,0.078,1.317157074797373e-07,0.078,4.21139998221571e-10,0.078,30.4693061607483,0.078,312.7599089043041,0.078,-1.583552200278901e-15,0.078,-4.021792819283472e-15,0.078,-4.448714468588621e-15,0.078,-1.550051234898624e-15,0.078,-0.03809510001921086,0.078,-0.2585980093859254
0.08400000000000001,-5.18758951215656e-09,0.08400000000000001,1.572367413155311e-07,0.08400000000000001,5.054591781146635e-10,0.08400000000000001,30.31017419692504,0.08400000000000001,311.0770327724902,0.08400000000000001,-1.593178701070466e-15,0.08400000000000001,-4.021817959004454e-15,0.08400000000000001,-4.45091621060903e-15,0.08400000000000001,-1.550062213909669e-15,0.08400000000000001,-0.03814428747540252,0.08400000000000001,-0.2585980093859254
0.09000000000000001,-6.219126731338039e-09,0.09000000000000001,1.874552474172374e-07,0.09000000000000001,6.060910062461425e-10,0.09000000000000001,30.14173146370751,0.09000000000000001,309.2856443758366,0.09000000000000001,-1.604940283178711e-15,0.09000000000000001,-4.02184839067525e-15,0.09000000000000001,-4.453580859141283e-15,0.09000000000000001,-1.550075542844499e-15,0.09000000000000001,-0.03820280747258483,0.09000000000000001,-0.2585980093859254
0.09600000000000002,-7.448043654620016e-09,0.09600000000000002,2.231734872859341e-07,0.09600000000000002,7.260414449767707e-10,0.09600000000000002,29.96404130933383,0.09600000000000002,307.3839500898939,0.09600000000000002,-1.619292000184318e-15,0.09600000000000002,-4.021885222216736e-15,0.09600000000000002,-4.456805063285748e-15,0.09600000000000002,-1.550091723557523e-15,0.09600000000000002,-0.03827230207650531,0.09600000000000002,-0.2585980093859254
0.102,-8.910049724114804e-09,0.102,2.65317018086279e-07,0.102,8.688352233303611e-10,0.102,29.77727697974486,0.102,305.3709276072896,0.102,-1.636784869368714e-15,0.102,-4.02192979081742e-15,0.102,-4.460705347712515e-15,0.102,-1.550111364589814e-15,0.102,-0.0383546654124175,0.102,-0.2585980093859254
0.108,-1.064681866131331e-08,0.108,3.14951308699771e-07,0.108,1.038598767146052e-09,0.108,29.58172945062067,0.108,303.2463725767944,0.108,-1.658085587913538e-15,0.108,-4.021983709146841e-15,0.108,-4.465422060218252e-15,0.108,-1.550135203625476e-15,0.108,-0.03845207221984635,0.108,-0.2585980093859254
0.114,-1.27068828417811e-08,0.114,3.733004052106529e-07,0.114,1.24015575440447e-09,0.114,29.37781124644819,0.114,301.0109043842755,0.114,-1.684000052308472e-15,0.114,-4.022048920310811e-15,0.114,-4.471124037907169e-15,0.114,-1.550164134570818e-15,0.114,-0.03856700692765667,0.114,-0.2585980093859254
0.12,-1.514664649358021e-08,0.12,4.417679213725204e-07,0.12,1.479137377345578e-09,0.12,29.16605480972104,0.12,298.6659171342866,0.12,-1.715501293361161e-15,0.12,-4.022127762929609e-15,0.12,-4.47801409146729e-15,0.12,-1.550199240159083e-15,0.12,-0.03870229245062343,0.12,-0.2585980093859254
0.126,-1.803153254279728e-08,0.126,5.219606460562808e-07,0.126,1.762109809193134e-09,0.126,28.94710392790015,0.126,296.2134614614543,0.126,-1.753762475092692e-15,0.126,-4.022223047802633e-15,0.126,-4.486335404748645e-15,0.126,-1.550241831136347e-15,0.126,-0.03886111770027762,0.126,-0.2585980093859254
0.132,-2.143727966081711e-08,0.132,6.157150462295674e-07,0.132,2.096721859695027e-09,0.132,28.72169680143375,0.132,293.6560437821374,0.132,-1.800195605551827e-15,0.132,-4.022338147631781e-15,0.132,-4.496378934156813e-15,0.132,-1.55029349325153e-15,0.132,-0.03904706259069064,0.132,-0.2585980093859254
0.138,-2.545140757842733e-08,0.138,7.25126879994209e-07,0.138,2.491876353892573e-09,0.138,28.4906395920234,0.138,290.9963324871575,0.138,-1.856496544153758e-15,0.138,-4.022477101157785e-15,0.138,-4.5084918631297e-15,0.138,-1.550356143450018e-15,0.138,-0.03926411911743533,0.138,-0.2585980093859254
0.144,-3.017486964395073e-08,0.144,8.525839942580669e-07,0.144,2.957929366193249e-09,0.144,28.25476977190072,0.144,288.236765895229,0.144,-1.924696723037568e-15,0.144,-4.022644732741687e-15,0.144,-4.523087112481416e-15,0.144,-1.550432096846783e-15,0.144,-0.03951670691366296,0.144,-0.2585980093859254
0.15,-3.572391137757303e-08,0.15,1.00080213785684e-06,0.15,3.506922059527609e-09,0.15,28.01490933353859,0.15,285.3790648520004,0.15,-2.007221670040794e-15,0.15,-4.022846787787778e-15,0.15,-4.540653815714251e-15,0.15,-1.550524146214835e-15,0.15,-0.03980968156153755,0.15,-0.2585980093859254
0.1560000000000001,-4.223215170793101e-08,0.1560000000000001,1.172863247039104e-06,0.1560000000000001,4.152850477954293e-09,0.1560000000000001,27.77180891875778,0.1560000000000001,282.4236637618747,0.1560000000000001,-2.106955844497608e-15,0.1560000000000001,-4.023090083303983e-15,0.1560000000000001,-4.561768523641163e-15,0.1560000000000001,-1.550635655842456e-15,0.1560000000000001,-0.04014833388433601,0.1560000000000001,-0.2585980093859254
0.1620000000000001,-4.985289882735643e-08,0.1620000000000001,1.372255137575588e-06,0.1620000000000001,4.91197917382662e-09,0.1620000000000001,27.52608514793906,0.1620000000000001,279.3690870856337,0.1620000000000001,-2.227312359906158e-15,0.1620000000000001,-4.02338267113205e-15,0.1620000000000001,-4.587106684767162e-15,0.1620000000000001,-1.550770671648631e-15,0.1620000000000001,-0.04053837848587345,0.1620000000000001,-0.2585980093859254
0.1680000000000001,-5.876170425785291e-08,0.1680000000000001,1.602910863458547e-06,0.1680000000000001,5.803204967503166e-09,0.1680000000000001,27.27815477983497,0.1680000000000001,276.2113129614653,0.1680000000000001,-2.372304721292537e-15,0.1680000000000001,-4.023734008705902e-15,0.1680000000000001,-4.617453633312105e-15,0.1680000000000001,-1.550934049342605e-15,0.1680000000000001,-0.04098592996200626,0.1680000000000001,-0.2585980093859254
