NM0:cgd X,NM0:cgd Y,NM0:cgs X,NM0:cgs Y,NM0:cdb X,NM0:cdb Y,NM0:csb X,NM0:csb Y,NM0:gm X,NM0:gm Y,NM0:gds X,NM0:gds Y,NM0:gmoverid X,NM0:gmoverid Y,NM0:id X,NM0:id Y,NM0:self_gain X,NM0:self_gain Y,NM0:vdsat X,NM0:vdsat Y,NM0:vth X,NM0:vth Y
0,-2.001367950250563e-15,0,-4.040017536274034e-15,0,-5.004434920606358e-15,0,-6.706138245502265e-15,0,3.571914031600966e-10,0,8.352360475198749e-13,0,27.40714797196649,0,1.303281562851679e-11,0,427.6532415246326,0,0.03845079769705979,0,0.4761234363421349
0.01,-2.007895826593366e-15,0.01,-4.146297997348508e-15,0.01,-5.004478604346533e-15,0.01,-6.743802421168016e-15,0.01,4.696450939626447e-10,0.01,1.098543962190981e-12,0.01,27.3982656708176,0.01,1.714144984849017e-11,0.01,427.515975806708,0.01,0.03845088121455835,0.01,0.4761234363421349
0.02,-2.014548385712004e-15,0.02,-4.258829854559791e-15,0.02,-5.004525682995176e-15,0.02,-6.784292668706344e-15,0.02,6.173980785848111e-10,0.02,1.444714582920385e-12,0.02,27.38749586854321,0.02,2.25430971916015e-11,0.02,427.3495165645701,0.02,0.0384509910149985,0.02,0.4761234363421349
0.03,-2.021329396844295e-15,0.03,-4.378466621408838e-15,0.03,-5.004576400688267e-15,0.03,-6.8277949961172e-15,0.03,8.115016007450613e-10,0.03,1.899750990161279e-12,0.03,27.37536198045593,0.03,2.964353507138503e-11,0.03,427.1620885830774,0.03,0.03845113534617012,0.03,0.4761234363421349
0.04,-2.028242774382815e-15,0.04,-4.50574699533042e-15,0.04,-5.004631016310894e-15,0.04,-6.874503694735117e-15,0.04,1.066430820422471e-09,0.04,2.497784131732305e-12,0.04,27.36167115991521,0.04,3.897538699127504e-11,0.04,426.9507548207789,0.04,0.038451325033843,0.04,0.4761234363421349
0.05,-2.035292583688441e-15,0.05,-4.641244325204599e-15,0.05,-5.004689803565008e-15,0.05,-6.924620713881249e-15,0.05,1.401149435218114e-09,0.05,3.283593630538863e-12,0.05,27.34620461273217,0.05,5.123746992733498e-11,0.05,426.7121918457901,0.05,0.03845157428123236,0.05,0.4761234363421349
0.06,-2.04248304713183e-15,0.06,-4.785565561349469e-15,0.06,-5.004753051232723e-15,0.06,-6.978355117298824e-15,0.06,1.840485753686556e-09,0.06,4.315904535086782e-12,0.06,27.32871451763183,0.06,6.734625784085796e-11,0.06,426.4426468945398,0.06,0.03845190171449219,0.06,0.4761234363421349
0.07000000000000001,-2.049818550267076e-15,0.07000000000000001,-4.93934958989425e-15,0.07000000000000001,-5.004821063338482e-15,0.07000000000000001,-7.035922358184182e-15,0.07000000000000001,2.416922911024712e-09,0.07000000000000001,5.671692079251283e-12,0.07000000000000001,27.3089207140304,0.07000000000000001,8.850308792348964e-11,0.07000000000000001,426.1378927580582,0.07000000000000001,0.03845233174776716,0.07000000000000001,0.4761234363421349
0.08,-2.057303648115451e-15,0.08,-5.103264911073934e-15,0.08,-5.004894159190508e-15,0.08,-7.097543349201932e-15,0.08,3.172924106816117e-09,0.08,7.451796425262528e-12,0.08,27.28650718647664,0.08,1.162818305918861e-10,0.08,425.7931813675834,0.08,0.03845289636344895,0.08,0.4761234363421349
0.09,-2.06494307153124e-15,0.09,-5.278006618773609e-15,0.09,-5.004972673280429e-15,0.09,-7.163443303368985e-15,0.09,4.163947218411732e-09,0.09,9.788236768928061e-12,0.09,27.26111839668302,0.09,1.527431140670912e-10,0.09,425.4031974001522,0.09,0.03845363743086041,0.09,0.4761234363421349
0.09999999999999999,-2.072741733614862e-15,0.09999999999999999,-5.464292635179691e-15,0.09999999999999999,-5.005056955018779e-15,0.09999999999999999,-7.233850321832562e-15,0.09999999999999999,5.462345030849705e-09,0.09999999999999999,1.285372539966311e-11,0.09999999999999999,27.2323555428295,0.09999999999999999,2.005829396491316e-10,0.09999999999999999,424.9620138137439,0.09999999999999999,0.03845460972173768,0.09999999999999999,0.4761234363421349
0.11,-2.08070473613041e-15,0.11,-5.662859150681194e-15,0.11,-5.005147368283185e-15,0.11,-7.308993705538505e-15,0.11,7.162399341485559e-09,0.11,1.687402309346585e-11,0.11,27.19977286360105,0.11,2.633257370872337e-10,0.11,424.4630519830844,0.11,0.03845588482511456,0.11,0.4761234363421349
0.12,-2.088837375875349e-15,0.12,-5.874455216434748e-15,0.12,-5.005244290755732e-15,0.12,-7.389101969794994e-15,0.12,9.386801228089119e-09,0.12,2.214395438349349e-11,0.12,27.16287415300386,0.12,3.455747013525264e-10,0.12,423.8990500759979,0.12,0.03845755621990046,0.12,0.4761234363421349
0.13,-2.097145150939177e-15,0.13,-6.099836436592256e-15,0.13,-5.005348113026399e-15,0.13,-7.474400544001913e-15,0.13,1.229496779013955e-08,0.13,2.904812266841159e-11,0.13,27.12110971344532,0.13,4.533357526251705e-10,0.13,423.2620445213735,0.13,0.0384597458325866,0.13,0.4761234363421349
0.14,-2.105633766775197e-15,0.14,-6.339757710428863e-15,0.14,-5.005459237440548e-15,0.14,-7.565109143559706e-15,0.14,1.609367963364642e-08,0.14,3.808763961708872e-11,0.14,27.07387405061391,0.14,5.944358201503766e-10,0.14,422.543370905707,0.14,0.03846261249290212,0.14,0.4761234363421349
0.15,-2.114309141994791e-15,0.15,-6.594964982761261e-15,0.15,-5.005578076670765e-15,0.15,-7.661438807404922e-15,0.15,2.105063501361865e-08,0.15,4.991452044783731e-11,0.15,27.02050470565424,0.15,7.790615361723053e-10,0.15,421.733692415565,0.15,0.03846636280420741,0.15,0.4761234363421349
0.16,-2.123177413776674e-15,0.16,-6.866185975222016e-15,0.16,-5.005705051996782e-15,0.16,-7.763588602924171e-15,0.16,2.751164718177029e-08,0.16,6.537580613660996e-11,0.16,26.9602827281919,0.16,1.020451022256397e-09,0.16,420.8230660174448,0.16,0.03847126507027658,0.16,0.4761234363421349
0.17,-2.132244942764045e-15,0.17,-7.154119892044664e-15,0.17,-5.005840591282033e-15,0.17,-7.871742010302199e-15,0.17,3.592236171871893e-08,0.17,8.556996452883709e-11,0.17,26.89243541604563,0.17,1.335779450587954e-09,0.17,419.801058893896,0.17,0.03847766706756695,0.17,0.4761234363421349
0.18,-2.141518317300129e-15,0.18,-7.459426122624371e-15,0.18,-5.005985126641792e-15,0.18,-7.986063010711248e-15,0.18,4.685554014319954e-08,0.18,1.1191870185585e-10,0.18,26.81614207886779,0.18,1.747288662521957e-09,0.18,418.6569301308458,0.18,0.03848601862187831,0.18,0.4761234363421349
0.19,-2.151004356826957e-15,0.19,-7.78271199949379e-15,0.19,-5.006139091805869e-15,0.19,-8.10669191708192e-15,0.19,6.10451435762897e-08,0.19,1.46257987737971e-10,0.19,26.73054371319675,0.19,2.283722512801528e-09,0.19,417.3798950772887,0.19,0.03849690013837388,0.19,0.4761234363421349
0.2,-2.160710114242951e-15,0.2,-8.124519714298822e-15,0.2,-5.006302919188496e-15,0.2,-8.233741002301287e-15,0.2,7.942865370065411e-08,0.2,1.909528578136766e-10,0.2,26.63475758776913,0.2,2.982142950493175e-09,0.2,415.9594918351896,0.2,0.03851105843768668,0.2,0.4761234363421349
0.21,-2.170642876981595e-15,0.21,-8.485312545141267e-15,0.21,-5.006477036689346e-15,0.21,-8.367289997173529e-15,0.21,1.031992860155237e-07,0.21,2.490413973188159e-10,0.21,26.52789780231198,0.21,3.890217297233932e-09,0.21,414.3860704548279,0.21,0.03852945145583109,0.21,0.4761234363421349
0.2200000000000001,-2.180810166535772e-15,0.2200000000000001,-8.865460604926374e-15,0.2200000000000001,-5.006661864262347e-15,0.2200000000000001,-8.507381548762657e-15,0.2200000000000001,1.338699832138269e-07,0.2200000000000001,3.244142032652852e-10,0.2200000000000001,26.40910285872383,0.2200000000000001,5.069084883357721e-09,0.2200000000000001,412.6514248340617,0.2200000000000001,0.03855330355147635,0.2200000000000001,0.4761234363421349
0.2300000000000001,-2.191219736109799e-15,0.2300000000000001,-9.265226380061521e-15,0.2300000000000001,-5.006857810302666e-15,0.2300000000000001,-8.654016748005839e-15,0.2300000000000001,1.733513313043231e-07,0.2300000000000001,4.220365353216411e-10,0.2300000000000001,26.27757111225455,0.2300000000000001,6.596931330898963e-09,0.2300000000000001,410.7495839719403,0.2300000000000001,0.03858417329840275,0.2300000000000001,0.4761234363421349
0.2400000000000001,-2.201879566033331e-15,0.2400000000000001,-9.684750389215949e-15,0.2400000000000001,-5.007065267916822e-15,0.2400000000000001,-8.807150852712898e-15,0.2400000000000001,2.240458364401231e-07,0.2400000000000001,5.482212440933901e-10,0.2400000000000001,26.1326045755536,0.2400000000000001,8.573421629429512e-09,0.2400000000000001,408.6777717099133,0.2400000000000001,0.03862403567787451,0.2400000000000001,0.4761234363421349
0.2500000000000001,-2.21279785651781e-15,0.2500000000000001,-1.012403734935704e-14,0.2500000000000001,-5.007284611155129e-15,0.2500000000000001,-8.966689347028517e-15,0.2500000000000001,2.889613735381265e-07,0.2500000000000001,7.109613451124094e-10,0.2500000000000001,25.97366083738167,0.2500000000000001,1.112516930914365e-08,0.2500000000000001,406.4375307105327,0.2500000000000001,0.03867538046206509,0.2500000000000001,0.4761234363421349
0.2600000000000001,-2.223983017276545e-15,0.2600000000000001,-1.05829432867777e-14,0.2600000000000001,-5.007516191299429e-15,0.2600000000000001,-9.132484489759758e-15,0.2600000000000001,3.718471314023038e-07,0.2600000000000001,9.203317152768721e-10,0.2600000000000001,25.8004117293067,0.2600000000000001,1.441244954359511e-08,0.2600000000000001,404.035985319095,0.2600000000000001,0.03874132821512978,0.2600000000000001,0.4761234363421349
0.2700000000000001,-2.235443653463583e-15,0.2700000000000001,-1.10611640697123e-14,0.2700000000000001,-5.007760333310889e-15,0.2700000000000001,-9.304332510225456e-15,0.2700000000000001,4.773561239899557e-07,0.2700000000000001,1.1889697578186e-09,0.2700000000000001,25.61280573761903,0.2700000000000001,1.863740074883558e-08,0.2700000000000001,401.4871874165748,0.2700000000000001,0.03882576463656269,0.2700000000000001,0.4761234363421349
0.2800000000000001,-2.247188547314054e-15,0.2800000000000001,-1.155822586161319e-14,0.2800000000000001,-5.008017332551927e-15,0.2800000000000001,-9.481971610072335e-15,0.2800000000000001,6.112394235044759e-07,0.2800000000000001,1.532644964656821e-09,0.2800000000000001,25.41112896959812,0.2800000000000001,2.405400504138332e-08,0.2800000000000001,398.8134483848582,0.2800000000000001,0.03893349282687936,0.2800000000000001,0.4761234363421349
0.2900000000000001,-2.259226634789675e-15,0.2900000000000001,-1.207347799563951e-14,0.2900000000000001,-5.008287451901737e-15,0.2900000000000001,-9.665080921609114e-15,0.2900000000000001,7.805787949600375e-07,0.2900000000000001,1.970927091739337e-09,0.2900000000000001,25.19605680001398,0.2900000000000001,3.098019670244573e-08,0.2900000000000001,396.0465093973512,0.2900000000000001,0.03907040136831153,0.2900000000000001,0.4761234363421349
0.3000000000000001,-2.271566976447772e-15,0.3000000000000001,-1.260608874746321e-14,0.3000000000000001,-5.00857091938588e-15,0.3000000000000001,-9.853280556747547e-15,0.3000000000000001,9.940663884179548e-07,0.3000000000000001,2.527962192745324e-09,0.3000000000000001,24.96868538004366,0.3000000000000001,3.981252413214211e-08,0.3000000000000001,393.2283446606516,0.3000000000000001,0.0392436438117076,0.3000000000000001,0.4761234363421349
