NM0:cgd X,NM0:cgd Y,NM0:cgs X,NM0:cgs Y,NM0:cdb X,NM0:cdb Y,NM0:csb X,NM0:csb Y,NM0:gm X,NM0:gm Y,NM0:gds X,NM0:gds Y,NM0:gmoverid X,NM0:gmoverid Y,NM0:id X,NM0:id Y,NM0:self_gain X,NM0:self_gain Y,NM0:vdsat X,NM0:vdsat Y,NM0:vth X,NM0:vth Y
0,-2.001205200652693e-15,0,-3.559437093135369e-15,0,-5.004700685335748e-15,0,-6.491584041232668e-15,0,2.99756741678031e-10,0,9.232392303945813e-13,0,27.45005767759319,0,1.092010989102288e-11,0,324.6793808251828,0,0.04099673766208562,0,0.4996815222821272
0.01,-2.007718949886759e-15,0.01,-3.625253326515708e-15,0.01,-5.004724669031535e-15,0.01,-6.512362537012937e-15,0.01,3.943346814446813e-10,0.01,1.214804643067755e-12,0.01,27.44344000283083,0.01,1.436902902340626e-11,0.01,324.6074862282918,0.01,0.04099678368373717,0.01,0.4996815222821272
0.02,-2.014356192756385e-15,0.02,-3.694220640490223e-15,0.02,-5.004750539332358e-15,0.02,-6.534728765798251e-15,0.02,5.186846197080213e-10,0.02,1.598323000228139e-12,0.02,27.43525690628485,0.02,1.890580159931408e-11,0.02,324.5180227238086,0.02,0.04099684422132274,0.02,0.4996815222821272
0.03,-2.021120604420615e-15,0.03,-3.766855436671728e-15,0.03,-5.004778435548382e-15,0.03,-6.558791941255883e-15,0.03,6.821632135809665e-10,0.03,2.102730126000973e-12,0.03,27.42607743703076,0.03,2.487282838871406e-11,0.03,324.4178628278476,0.03,0.04099692384360123,0.03,0.4996815222821272
0.04,-2.028015998633366e-15,0.04,-3.843465333336557e-15,0.04,-5.004808506003112e-15,0.04,-6.584666961932625e-15,0.04,8.970421419389963e-10,0.04,2.766040627458839e-12,0.04,27.41575897306124,0.04,3.271997854833225e-11,0.04,324.3054830915874,0.04,0.04099702855323708,0.04,0.4996815222821272
0.05,-2.035046333370955e-15,0.05,-3.924383502975178e-15,0.05,-5.004840908204708e-15,0.05,-6.6124742193968e-15,0.05,1.179421760587236e-09,0.05,3.638178932077484e-12,0.05,27.40413917187308,0.05,4.303812122515511e-11,0.05,324.1791518796353,0.05,0.04099716623412722,0.05,0.4996815222821272
0.06,-2.042215716616485e-15,0.06,-4.009968426634209e-15,0.06,-5.004875809140158e-15,0.06,-6.6423394661215e-15,0.06,1.55041574386357e-09,0.06,4.784688800125075e-12,0.06,27.39103346022187,0.06,5.66030722734893e-11,0.06,324.0369036797213,0.06,0.04099734723764915,0.06,0.4996815222821272
0.07000000000000001,-2.049528412302122e-15,0.07000000000000001,-4.100603290648265e-15,0.07000000000000001,-5.004913385530266e-15,0.07000000000000001,-6.674393597860668e-15,0.07000000000000001,2.037697391261353e-09,0.07000000000000001,6.29158744520395e-12,0.07000000000000001,27.37623227361239,0.07000000000000001,7.443311676854056e-11,0.07000000000000001,323.8765111362604,0.07000000000000001,0.04099758514991109,0.07000000000000001,0.4996815222821272
0.08,-2.056988846394972e-15,0.08,-4.196695018809023e-15,0.08,-5.004953824035375e-15,0.08,-6.708772336843095e-15,0.08,2.677515612896419e-09,0.08,8.271712105325792e-12,0.08,27.35949804404956,0.08,9.786424115958399e-11,0.08,323.695454919482,0.08,0.04099789779509991,0.08,0.4996815222821272
0.09,-2.064601613107388e-15,0.09,-4.298672931169957e-15,0.09,-5.00499732140055e-15,0.09,-6.745615801173792e-15,0.09,3.517319693448892e-09,0.09,1.087300997912387e-11,0.09,27.34056194441081,0.09,1.28648438231368e-10,0.09,323.4908916852029,0.09,0.04099830854632015,0.09,0.4996815222821272
0.09999999999999999,-2.072371481206654e-15,0.09999999999999999,-4.406987016480058e-15,0.09999999999999999,-5.00504408452781e-15,0.09999999999999999,-6.785067945088724e-15,0.09999999999999999,4.61917139846159e-09,0.09999999999999999,1.428935476134472e-11,0.09999999999999999,27.31912041173789,0.09999999999999999,1.690820286013969e-10,0.09999999999999999,323.25962057834,0.09999999999999999,0.04099884803628145,0.09999999999999999,0.4996815222821272
0.11,-2.080303400391825e-15,0.11,-4.522105799380793e-15,0.11,-5.005094330462093e-15,0.11,-6.82727585424469e-15,0.11,6.064172815925378e-09,0.11,1.877464224532157e-11,0.11,27.29483149089986,0.11,2.221729677102997e-10,0.11,322.9980490007206,0.11,0.04099955638705958,0.11,0.4996815222821272
0.12,-2.088402507696915e-15,0.12,-4.644513776871142e-15,0.12,-5.005148286276653e-15,0.12,-6.872388880144263e-15,0.12,7.958200847839566e-09,0.12,2.466113297605867e-11,0.12,27.26731106594304,0.12,2.918586921624545e-10,0.12,322.7021587193697,0.12,0.04100048611225806,0.12,0.4996815222821272
0.13,-2.096674133869335e-15,0.13,-4.7747083921174e-15,0.13,-5.00520618884297e-15,0.13,-6.920557598214145e-15,0.13,1.043931714605541e-08,0.13,3.238328303153069e-11,0.13,27.23612908061547,0.13,3.832893438264331e-10,0.13,322.3674738565248,0.13,0.041001705888151,0.13,0.4996815222821272
0.14,-2.105123809660138e-15,0.14,-4.913196508438567e-15,0.14,-5.00526828446992e-15,0.14,-6.971932575106176e-15,0.14,1.368731848495851e-08,0.14,4.250864807926536e-11,0.14,27.20080589384838,0.14,5.03195362476946e-10,0.14,321.9890329006921,0.14,0.04100330544484277,0.14,0.4996815222821272
0.15,-2.113757271947985e-15,0.15,-5.060490343167009e-15,0.15,-5.005334828396926e-15,0.15,-7.026662932615674e-15,0.15,1.793601024032431e-08,0.15,5.577787646637505e-11,0.15,27.16080897246157,0.15,6.603636568282288e-10,0.15,321.5613676353705,0.15,0.04100540189636222,0.15,0.4996815222821272
0.16,-2.122580469601385e-15,0.16,-5.217102820916804e-15,0.16,-5.005406084126448e-15,0.16,-7.084894698358826e-15,0.16,2.3488927987784e-08,0.16,7.315634186911962e-11,0.16,27.1155501938323,0.16,8.662530803737324e-10,0.16,321.0784928230402,0.16,0.0410081479127828,0.16,0.4996815222821272
0.17,-2.131599568963249e-15,0.17,-5.383542309330485e-15,0.17,-5.005482322582237e-15,0.17,-7.146768937163038e-15,0.17,3.073940220274698e-08,0.17,9.590062420125489e-11,0.17,27.06438411736887,0.17,1.135788014292375e-09,0.17,320.5339116274985,0.17,0.04101174224040108,0.17,0.4996815222821272
