NM0:cgd X,NM0:cgd Y,NM0:cgs X,NM0:cgs Y,NM0:cdb X,NM0:cdb Y,NM0:csb X,NM0:csb Y,NM0:gm X,NM0:gm Y,NM0:gds X,NM0:gds Y,NM0:gmoverid X,NM0:gmoverid Y,NM0:id X,NM0:id Y,NM0:self_gain X,NM0:self_gain Y,NM0:vdsat X,NM0:vdsat Y,NM0:vth X,NM0:vth Y
0,-2.000617720561873e-15,0,-3.202527766260524e-15,0,-5.005792646761553e-15,0,-6.328000182956468e-15,0,2.924512281586692e-10,0,2.395505145922911e-12,0,27.53280488621582,0,1.06219521320329e-11,0,122.0833228667506,0,0.04712513959544212,0,0.5294757810623764
0.01,-2.007079383190729e-15,0.01,-3.237902059380282e-15,0.01,-5.005801385635804e-15,0.01,-6.335606277751173e-15,0.01,3.850748771755332e-10,0.01,3.154485229786389e-12,0.01,27.52820050052142,0.01,1.398841106304092e-11,0.01,122.0721763219697,0.01,0.04712516198374828,0.01,0.5294757810623764
0.02,-2.013660071251463e-15,0.02,-3.274055107604682e-15,0.02,-5.005810821019248e-15,0.02,-6.343804644334244e-15,0.02,5.069828629531658e-10,0.02,4.153666094501471e-12,0.02,27.52231806345054,0.02,1.842082374173772e-11,0.02,122.0567208385619,0.02,0.04712519146104269,0.02,0.5294757810623764
0.03,-2.020363099574848e-15,0.03,-3.31120564619738e-15,0.03,-5.00582100579872e-15,0.03,-6.352637837715672e-15,0.03,6.674271605153242e-10,0.03,5.46892733893741e-12,0.03,27.51576932630195,0.03,2.425620230502557e-11,0.03,122.0398661659679,0.03,0.04712523026855899,0.03,0.5294757810623764
0.04,-2.0271918959156e-15,0.04,-3.349468941219441e-15,0.04,-5.00583199652321e-15,0.04,-6.36215094189774e-15,0.04,8.78561855364104e-10,0.04,7.20006317215959e-12,0.04,27.50845768877012,0.04,3.193791421914814e-11,0.04,122.0214093066892,0.04,0.04712528135480668,0.04,0.5294757810623764
0.05,-2.034150005795036e-15,0.05,-3.388975822377779e-15,0.05,-5.005843853524571e-15,0.05,-6.372391565159763e-15,0.05,1.156360859112868e-09,0.05,9.478280803951494e-12,0.05,27.50027285174743,0.05,4.204910153720686e-11,0.05,122.0011184550241,0.05,0.04712534859780321,0.05,0.5294757810623764
0.06,-2.041241097247872e-15,0.06,-3.429872607715161e-15,0.06,-5.005856641090509e-15,0.06,-6.383409864664194e-15,0.06,1.521811756433699e-09,0.06,1.247604207384713e-11,0.06,27.49108896941591,0.06,5.53565798777636e-11,0.06,121.9787291054262,0.06,0.04712543709698125,0.06,0.5294757810623764
0.07000000000000001,-2.048468965836408e-15,0.07000000000000001,-3.472320824054367e-15,0.07000000000000001,-5.005870427631606e-15,0.07000000000000001,-6.395258547604864e-15,0.07000000000000001,2.002479469376201e-09,0.07000000000000001,1.641996539294977e-11,0.07000000000000001,27.48076258214543,0.07000000000000001,7.286844275440107e-11,0.07000000000000001,121.9539396980705,0.07000000000000001,0.04712555355621616,0.07000000000000001,0.5294757810623764
0.08,-2.055837539954201e-15,0.08,-3.516496742630255e-15,0.08,-5.005885285839309e-15,0.08,-6.40799284411955e-15,0.08,2.634552653294841e-09,0.08,2.16077281627266e-11,0.08,27.46913031418151,0.08,9.59096093857577e-11,0.08,121.9264067677162,0.08,0.04712570678613705,0.08,0.5294757810623764
0.09,-2.063350886441981e-15,0.09,-3.562590749519568e-15,0.09,-5.005901292831386e-15,0.09,-6.421670446663727e-15,0.09,3.465519398663917e-09,0.09,2.843019297452149e-11,0.09,27.4560063224675,0.09,1.262208444605545e-10,0.09,121.8957395670736,0.09,0.04712590836244372,0.09,0.5294757810623764
0.09999999999999999,-2.071013216538617e-15,0.09999999999999999,-3.61080656794418e-15,0.09999999999999999,-5.00591853028088e-15,0.09999999999999999,-6.43635141002452e-15,0.09999999999999999,4.557662104593001e-09,0.09999999999999999,3.740034648819509e-11,0.09999999999999999,27.4411794871323,0.09999999999999999,1.660884515227846e-10,0.09999999999999999,121.8614941450225,0.09999999999999999,0.04712617348808677,0.09999999999999999,0.5294757810623764
0.11,-2.078828892188953e-15,0.11,-3.661360344800488e-15,0.11,-5.005937084524056e-15,0.11,-6.452098005664145e-15,0.11,5.99261687109311e-09,0.11,4.919111056498529e-11,0.11,27.42441034070734,0.11,2.185140063350396e-10,0.11,121.8231668743562,0.11,0.04712652212146521,0.11,0.5294757810623764
0.12,-2.086802432727968e-15,0.12,-3.71447960752348e-15,0.12,-5.005957046642351e-15,0.12,-6.468974523647564e-15,0.12,7.877313569005363e-09,0.12,6.468468914594342e-11,0.12,27.40542774268654,0.12,2.874362898536711e-10,0.12,121.780187444858,0.12,0.04712698045135066,0.12,0.5294757810623764
0.13,-2.094938521956591e-15,0.13,-3.770402090347627e-15,0.13,-5.005978512512841e-15,0.13,-6.487047015062758e-15,0.13,1.035170269739739e-08,0.13,8.503688622862229e-11,0.13,27.38392531972842,0.13,3.78021174065805e-10,0.13,121.7319113680476,0.13,0.04712758282298172,0.13,0.5294757810623764
0.14,-2.103242015617905e-15,0.14,-3.829374421874889e-15,0.14,-5.006001582821263e-15,0.14,-6.506382967624339e-15,0.14,1.359878877601773e-08,0.14,1.117608123900593e-10,0.14,27.35955771067951,0.14,4.970398213858248e-10,0.14,121.6776120824556,0.14,0.04712837425021043,0.14,0.5294757810623764
0.15,-2.111717949272779e-15,0.15,-3.89165065922498e-15,0.15,-5.006026363031246e-15,0.15,-6.527050907109977e-15,0.15,1.785763267402707e-08,0.15,1.468356404517796e-10,0.15,27.33193668114331,0.15,6.533614424451147e-10,0.15,121.6164728064878,0.15,0.04712941368731424,0.15,0.5294757810623764
0.16,-2.120371546560431e-15,0.16,-3.957490648448692e-15,0.16,-5.006052963303127e-15,0.16,-6.549119917468901e-15,0.16,2.344016304224877e-08,0.16,1.928476351213026e-10,0.16,27.30062720620465,0.16,8.585943379598578e-10,0.16,121.5475783641564,0.16,0.04713077828321503,0.16,0.5294757810623764
0.17,-2.129208227810944e-15,0.17,-4.027158186753415e-15,0.17,-5.006081498355489e-15,0.17,-6.572659072924102e-15,0.17,3.07528566561899e-08,0.17,2.531726362247436e-10,0.17,27.26514366393273,0.17,1.127918412381329e-09,0.17,121.4699073121406,0.17,0.04713256890265474,0.17,0.5294757810623764
0.18,-2.138233618952454e-15,0.18,-4.100918959752272e-15,0.18,-5.006112087262657e-15,0.18,-6.597736776230666e-15,0.18,4.032461618329493e-08,0.18,3.322115986776601e-10,0.18,27.22494633854013,0.18,1.481164244701112e-09,0.18,121.3823248309319,0.18,0.04713491727611904,0.18,0.5294757810623764
0.19,-2.147453560624247e-15,0.19,-4.179038226662716e-15,0.19,-5.006144853181555e-15,0.19,-6.624419998520487e-15,0.19,5.28424988695977e-08,0.19,4.356937696790152e-10,0.19,27.17943850243178,0.19,1.944208662023211e-09,0.19,121.2835770144886,0.19,0.04713799523599781,0.19,0.5294757810623764
0.2,-2.156874117367258e-15,0.2,-4.261778228350121e-15,0.2,-5.006179923001919e-15,0.2,-6.652773417925292e-15,0.2,6.919733748798989e-08,0.2,5.710657029580337e-10,0.2,27.12796443249508,0.2,2.550775180874359e-09,0.2,121.1722874085384,0.2,0.04714202661360018,0.2,0.5294757810623764
0.21,-2.166501586714019e-15,0.21,-4.349395297496479e-15,0.21,-5.006217426914625e-15,0.21,-6.6828584564857e-15,0.21,9.054175069403293e-08,0.21,7.479886566576865e-10,0.21,27.06980881861729,0.21,3.344750315484571e-09,0.21,121.0469569132369,0.21,0.0471473025132581,0.21,0.5294757810623764
