NM0:cgd X,NM0:cgd Y,NM0:cgs X,NM0:cgs Y,NM0:cdb X,NM0:cdb Y,NM0:csb X,NM0:csb Y,NM0:gm X,NM0:gm Y,NM0:gds X,NM0:gds Y,NM0:gmoverid X,NM0:gmoverid Y,NM0:id X,NM0:id Y,NM0:self_gain X,NM0:self_gain Y,NM0:vdsat X,NM0:vdsat Y,NM0:vth X,NM0:vth Y
0,-2.001279476937214e-15,0,-3.71022644892963e-15,0,-5.004565151297223e-15,0,-6.559394801519129e-15,0,3.212184129313824e-10,0,8.73541812133042e-13,0,27.43320120699986,0,1.170914450079131e-11,0,367.7195624408878,0,0.03993832346873359,0,0.4906156685454241
0.01,-2.007799707294253e-15,0.01,-3.788785885741474e-15,0.01,-5.004595379748582e-15,0.01,-6.585538217244916e-15,0.01,4.224827850935204e-10,0.01,1.149224914826335e-12,0.01,27.425795120278,0.01,1.540461040845899e-11,0.01,367.6241087736632,0.01,0.03993838131347296,0.01,0.4906156685454241
0.02,-2.014443978369085e-15,0.02,-3.871478599232646e-15,0.02,-5.004627975576402e-15,0.02,-6.613666196542815e-15,0.02,5.555901235305063e-10,0.02,1.511782083738026e-12,0.02,27.41671118432183,0.02,2.026468540929215e-11,0.02,367.5067521350409,0.02,0.03993845738746358,0.02,0.4906156685454241
0.03,-2.021216008553232e-15,0.03,-3.958931044756963e-15,0.03,-5.004663111923757e-15,0.03,-6.643913114119503e-15,0.03,7.305337826918426e-10,0.03,1.988523402808513e-12,0.03,27.40650235851474,0.03,2.665552416635247e-11,0.03,367.3749987855637,0.03,0.03993855742182157,0.03,0.4906156685454241
0.04,-2.02811965781188e-15,0.04,-4.051525749681987e-15,0.04,-5.004700972866326e-15,0.04,-6.67641997836558e-15,0.04,9.604142427719692e-10,0.04,2.615316244206397e-12,0.04,27.3950083277687,0.04,3.505803444711443e-11,0.04,367.2268104859347,0.04,0.03993868894366559,0.04,0.4906156685454241
0.05,-2.035158933385603e-15,0.05,-4.149674014297133e-15,0.05,-5.004741753564656e-15,0.05,-6.711334117122755e-15,0.05,1.262410199033026e-09,0.05,3.439248710996603e-12,0.05,27.38204681806063,0.05,4.610360612761509e-11,0.05,367.0598741511813,0.05,0.03993886183521174,0.05,0.4906156685454241
0.06,-2.04233799567901e-15,0.06,-4.253815458671633e-15,0.06,-5.004785660563568e-15,0.06,-6.748808931221553e-15,0.06,1.659036272795879e-09,0.06,4.522117308891003e-12,0.06,27.36741086610041,0.06,6.062090355808195e-11,0.06,366.8715691063614,0.06,0.03993908906592433,0.06,0.4906156685454241
0.07000000000000001,-2.049661164292462e-15,0.07000000000000001,-4.364417134027302e-15,0.07000000000000001,-5.004832912034058e-15,0.07000000000000001,-6.789003532918709e-15,0.07000000000000001,2.17978275949541e-09,0.07000000000000001,5.944987480636119e-12,0.07000000000000001,27.35086583849412,0.07000000000000001,7.9697062380916e-11,0.07000000000000001,366.6589318472663,0.07000000000000001,0.03993938764992123,0.07000000000000001,0.4906156685454241
0.08,-2.057132924178446e-15,0.08,-4.481972180682005e-15,0.08,-5.004883737944506e-15,0.08,-6.832082252161162e-15,0.08,2.863250597847616e-09,0.08,7.814151498698477e-12,0.08,27.33214620801507,0.08,1.04757653381722e-10,0.08,366.4186186209109,0.08,0.03993977989677314,0.08,0.4906156685454241
0.09,-2.064757931898774e-15,0.09,-4.606998012407787e-15,0.09,-5.004938380146675e-15,0.09,-6.878213992707876e-15,0.09,3.759926885569524e-09,0.09,1.026890363087664e-11,0.09,27.310952108123,0.09,1.376710621722668e-10,0.09,366.1468663766735,0.09,0.03994029504387005,0.09,0.4906156685454241
0.09999999999999999,-2.072541021952355e-15,0.09999999999999999,-4.740034002771475e-15,0.09999999999999999,-5.004997092360822e-15,0.09999999999999999,-6.927571419563575e-15,0.09999999999999999,4.935786867623262e-09,0.09999999999999999,1.349167463410075e-11,0.09999999999999999,27.28694570557611,0.09999999999999999,1.808845819601981e-10,0.09999999999999999,365.839452957742,0.09999999999999999,0.03994097138408325,0.09999999999999999,0.4906156685454241
0.11,-2.080487213135645e-15,0.11,-4.88163864348269e-15,0.11,-5.00506014004311e-15,0.11,-6.980329959038902e-15,0.11,6.47695929217134e-09,0.11,1.772122332613562e-11,0.11,27.25974745620285,0.11,2.376016212542589e-10,0.11,365.4916578258448,0.11,0.03994185903516802,0.11,0.4906156685454241
0.12,-2.08860171488881e-15,0.12,-5.032386138957754e-15,0.12,-5.005127800117828e-15,0.12,-7.036666593186889e-15,0.12,8.495755558849375e-09,0.12,2.326978049543237e-11,0.12,27.2289323423048,0.12,3.120121035020644e-10,0.12,365.0982251644792,0.12,0.03994302353859346,0.12,0.4906156685454241
0.13,-2.096889933569982e-15,0.13,-5.192862396305503e-15,0.13,-5.005200360556361e-15,0.13,-7.096758431529358e-15,0.13,1.113844161619634e-08,0.13,3.054528957047968e-11,0.13,27.19402623351765,0.13,4.09591518989782e-10,0.13,364.653331915407,0.13,0.03994455052755831,0.13,0.4906156685454241
