NM1:cdb X,NM1:cdb Y,NM1:cgd X,NM1:cgd Y,NM1:csb X,NM1:csb Y,NM1:id X,NM1:id Y,NM1:cgs X,NM1:cgs Y,NM1:gm X,NM1:gm Y,NM1:gds X,NM1:gds Y,NM1:self_gain X,NM1:self_gain Y,NM1:gmoverid X,NM1:gmoverid Y,NM1:vdsat X,NM1:vdsat Y,NM1:vth X,NM1:vth Y,NM1:vds X,NM1:vds Y,NM1:vgs X,NM1:vgs Y,NM1:cgd X,NM1:cgd Y
0.1440000000000001,-1.05548528249656e-15,0.1440000000000001,-4.187227956283587e-16,0.1440000000000001,-1.351134424481685e-15,0.1440000000000001,1.701967578905053e-10,0.1440000000000001,-7.469977652583866e-16,0.1440000000000001,4.655156121738913e-09,0.1440000000000001,5.749696043929251e-11,0.1440000000000001,80.96351678718747,0.1440000000000001,27.35161575025969,0.1440000000000001,0.04779928869704368,0.1440000000000001,0.5207519285322714,0.1440000000000001,0.7,0.1440000000000001,0.1440000000000001,0.1440000000000001,-4.187227956283587e-16
0.1520000000000001,-1.055488484235205e-15,0.1520000000000001,-4.200657945977756e-16,0.1520000000000001,-1.353793595202993e-15,0.1520000000000001,2.118052721090368e-10,0.1520000000000001,-7.557718692355197e-16,0.1520000000000001,5.787790143790392e-09,0.1520000000000001,7.151471339321143e-11,0.1520000000000001,80.93145968392849,0.1520000000000001,27.3259975447816,0.1520000000000001,0.04780043404656324,0.1520000000000001,0.5207519285322714,0.1520000000000001,0.7,0.1520000000000001,0.1520000000000001,0.1520000000000001,-4.200657945977756e-16
0.1600000000000001,-1.055491870439426e-15,0.1600000000000001,-4.214307404869566e-16,0.1600000000000001,-1.356593414516025e-15,0.1600000000000001,2.635291285182085e-10,0.1600000000000001,-7.649244150107571e-16,0.1600000000000001,7.19373286618926e-09,0.1600000000000001,8.89254518790246e-11,0.1600000000000001,80.89621940831645,0.1600000000000001,27.29767714203927,0.1600000000000001,0.04780185776332769,0.1600000000000001,0.5207519285322714,0.1600000000000001,0.7,0.1600000000000001,0.1600000000000001,0.1600000000000001,-4.214307404869566e-16
0.1680000000000001,-1.055495450096452e-15,0.1680000000000001,-4.228181534380247e-16,0.1680000000000001,-1.359539110487941e-15,0.1680000000000001,3.278060758741755e-10,0.1680000000000001,-7.744778880231456e-16,0.1680000000000001,8.938083994770456e-09,0.1680000000000001,1.105412276711616e-10,0.1680000000000001,80.85746995102582,0.1680000000000001,27.26637745297259,0.1680000000000001,0.04780362689110607,0.1680000000000001,0.5207519285322714,0.1680000000000001,0.7,0.1680000000000001,0.1680000000000001,0.1680000000000001,-4.228181534380247e-16
0.1760000000000001,-1.055499232436121e-15,0.1760000000000001,-4.242285705176735e-16,0.1760000000000001,-1.362635831127863e-15,0.1760000000000001,4.076533530591956e-10,0.1760000000000001,-7.844547877561399e-16,0.1760000000000001,1.110113350689981e-08,0.1760000000000001,1.373650067947175e-10,0.1760000000000001,80.81485791712355,0.1760000000000001,27.23179786141727,0.1760000000000001,0.04780582438847739,0.1760000000000001,0.5207519285322714,0.1760000000000001,0.7,0.1760000000000001,0.1760000000000001,0.1760000000000001,-4.242285705176735e-16
0.1840000000000001,-1.055503226913807e-15,0.1840000000000001,-4.256625465537401e-16,0.1840000000000001,-1.36588860345169e-15,0.1840000000000001,5.068024813765399e-10,0.1840000000000001,-7.948774888301645e-16,0.1840000000000001,1.378179056499796e-08,0.1840000000000001,1.706342891218933e-10,0.1840000000000001,80.76800176518378,0.1840000000000001,27.19361343381746,0.1840000000000001,0.04780855281847966,0.1840000000000001,0.5207519285322714,0.1840000000000001,0.7,0.1840000000000001,0.1840000000000001,0.1840000000000001,-4.256625465537401e-16
0.1920000000000001,-1.055507443190151e-15,0.1920000000000001,-4.27120655004552e-16,0.1920000000000001,-1.369302288540169e-15,0.1920000000000001,6.298643311037537e-10,0.1920000000000001,-8.057680905950599e-16,0.1920000000000001,1.71017450869807e-08,0.1920000000000001,2.118742374932402e-10,0.1920000000000001,80.71649148720275,0.1920000000000001,27.15147444141829,0.1920000000000001,0.04781193886036441,0.1920000000000001,0.5207519285322714,0.1920000000000001,0.7,0.1920000000000001,0.1920000000000001,0.1920000000000001,-4.27120655004552e-16
0.2000000000000001,-1.055511891107428e-15,0.2000000000000001,-4.286034888544002e-16,0.2000000000000001,-1.372881532619596e-15,0.2000000000000001,7.82530877902364e-10,0.2000000000000001,-8.171482545869323e-16,0.2000000000000001,2.121050417815597e-08,0.2000000000000001,2.629622290754668e-10,0.2000000000000001,80.65988888491216,0.2000000000000001,27.10500630366572,0.2000000000000001,0.0478161388141075,0.2000000000000001,0.5207519285322714,0.2000000000000001,0.7,0.2000000000000001,0.2000000000000001,0.2000000000000001,-4.286034888544002e-16
0.2080000000000001,-1.05551658066247e-15,0.2080000000000001,-4.301116615260956e-16,0.2080000000000001,-1.376630714274888e-15,0.2080000000000001,9.71821292185479e-10,0.2080000000000001,-8.290390294152367e-16,0.2080000000000001,2.629146847315994e-08,0.2080000000000001,3.262060720489828e-10,0.2080000000000001,80.59772863213912,0.2080000000000001,27.05381008256872,0.2080000000000001,0.04782134529906021,0.2080000000000001,0.5207519285322714,0.2080000000000001,0.7,0.2080000000000001,0.2080000000000001,0.2080000000000001,-4.301116615260956e-16
0.2160000000000001,-1.055521521976077e-15,0.2160000000000001,-4.316458077987582e-16,0.2160000000000001,-1.380553887997856e-15,0.2160000000000001,1.206381423663533e-09,0.2160000000000001,-8.41460662909273e-16,0.2160000000000001,3.256923847046735e-08,0.2160000000000001,4.044385006691593e-10,0.2160000000000001,80.52952035125308,0.2160000000000001,26.99746368024103,0.2160000000000001,0.04782779538262517,0.2160000000000001,0.5207519285322714,0.2160000000000001,0.7,0.2160000000000001,0.2160000000000001,0.2160000000000001,-4.316458077987582e-16
